region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09161_Ingolstadt,-0.1092383861541748,RRm,year,precipitation,mm day-1,7
09162_09184_09179_09174_Region_um_München,-0.12077474594116211,RRm,year,precipitation,mm day-1,7
09162_München,-0.12609100341796875,RRm,year,precipitation,mm day-1,7
09163_09187_Region_um_Rosenheim,-0.12857341766357422,RRm,year,precipitation,mm day-1,7
09163_Rosenheim,-0.11421728134155273,RRm,year,precipitation,mm day-1,7
09171_Altötting,-0.11114907264709473,RRm,year,precipitation,mm day-1,7
09172_Berchtesgadener Land,-0.3204307556152344,RRm,year,precipitation,mm day-1,7
09173_Bad Tölz-Wolfratshausen,-0.20488929748535156,RRm,year,precipitation,mm day-1,7
09174_Dachau,-0.14237546920776367,RRm,year,precipitation,mm day-1,7
09175_Ebersberg,-0.08836746215820312,RRm,year,precipitation,mm day-1,7
09176_Eichstätt,-0.13185358047485352,RRm,year,precipitation,mm day-1,7
09177_Erding,-0.12798380851745605,RRm,year,precipitation,mm day-1,7
09178_Freising,-0.1432020664215088,RRm,year,precipitation,mm day-1,7
09179_Fürstenfeldbruck,-0.14003682136535645,RRm,year,precipitation,mm day-1,7
09180_Garmisch-Partenkirchen,-0.21467018127441406,RRm,year,precipitation,mm day-1,7
09181_Landsberg am Lech,-0.14000201225280762,RRm,year,precipitation,mm day-1,7
09182_Miesbach,-0.18768835067749023,RRm,year,precipitation,mm day-1,7
09183_Mühldorf a. Inn,-0.1031961441040039,RRm,year,precipitation,mm day-1,7
09184_München,-0.125868558883667,RRm,year,precipitation,mm day-1,7
09185_Neuburg-Schrobenhausen,-0.11360526084899902,RRm,year,precipitation,mm day-1,7
09186_Pfaffenhofen a.d. Ilm,-0.12152314186096191,RRm,year,precipitation,mm day-1,7
09187_Rosenheim,-0.12897157669067383,RRm,year,precipitation,mm day-1,7
09188_Starnberg,-0.13598370552062988,RRm,year,precipitation,mm day-1,7
09189_Traunstein,-0.1833195686340332,RRm,year,precipitation,mm day-1,7
09190_Weilheim-Schongau,-0.16823029518127441,RRm,year,precipitation,mm day-1,7
09261_09274_Region_um_Landshut,-0.12831497192382812,RRm,year,precipitation,mm day-1,7
09261_Landshut,-0.1490316390991211,RRm,year,precipitation,mm day-1,7
