region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09175_Ebersberg,0.30712389945983887,RRm,year,precipitation,mm day-1,7
09176_Eichstätt,0.2756063938140869,RRm,year,precipitation,mm day-1,7
09177_Erding,0.27944397926330566,RRm,year,precipitation,mm day-1,7
09178_Freising,0.2809107303619385,RRm,year,precipitation,mm day-1,7
09179_Fürstenfeldbruck,0.3287484645843506,RRm,year,precipitation,mm day-1,7
09180_Garmisch-Partenkirchen,0.4498772621154785,RRm,year,precipitation,mm day-1,7
09181_Landsberg am Lech,0.40670299530029297,RRm,year,precipitation,mm day-1,7
09182_Miesbach,0.4368886947631836,RRm,year,precipitation,mm day-1,7
09183_Mühldorf a. Inn,0.2680356502532959,RRm,year,precipitation,mm day-1,7
09184_München,0.31406426429748535,RRm,year,precipitation,mm day-1,7
09185_Neuburg-Schrobenhausen,0.29497504234313965,RRm,year,precipitation,mm day-1,7
09186_Pfaffenhofen a.d. Ilm,0.2738075256347656,RRm,year,precipitation,mm day-1,7
09187_Rosenheim,0.36824655532836914,RRm,year,precipitation,mm day-1,7
09188_Starnberg,0.4073305130004883,RRm,year,precipitation,mm day-1,7
09189_Traunstein,0.34050965309143066,RRm,year,precipitation,mm day-1,7
09190_Weilheim-Schongau,0.3862020969390869,RRm,year,precipitation,mm day-1,7
09261_09274_Region_um_Landshut,0.26229238510131836,RRm,year,precipitation,mm day-1,7
09261_Landshut,0.27028346061706543,RRm,year,precipitation,mm day-1,7
09262_09275_Region_um_Passau,0.2554612159729004,RRm,year,precipitation,mm day-1,7
09262_Passau,0.26633214950561523,RRm,year,precipitation,mm day-1,7
09263_09278_Region_um_Straubing,0.2602393627166748,RRm,year,precipitation,mm day-1,7
09263_Straubing,0.23605525493621826,RRm,year,precipitation,mm day-1,7
09271_Deggendorf,0.28673720359802246,RRm,year,precipitation,mm day-1,7
09272_Freyung-Grafenau,0.28455471992492676,RRm,year,precipitation,mm day-1,7
09273_Kelheim,0.2702815532684326,RRm,year,precipitation,mm day-1,7
09274_Landshut,0.26186466217041016,RRm,year,precipitation,mm day-1,7
09275_Passau,0.25496482849121094,RRm,year,precipitation,mm day-1,7
