region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,0.07636022567749023,RRm,year,precipitation,mm day-1,7
07338_Rhein-Pfalz-Kreis,0.07716894149780273,RRm,year,precipitation,mm day-1,7
07339_Mainz-Bingen,0.07418692111968994,RRm,year,precipitation,mm day-1,7
07340_Südwestpfalz,0.05843997001647949,RRm,year,precipitation,mm day-1,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.06906366348266602,RRm,year,precipitation,mm day-1,7
08111_Stuttgart,0.08191108703613281,RRm,year,precipitation,mm day-1,7
08115_Böblingen,0.06900477409362793,RRm,year,precipitation,mm day-1,7
08116_Esslingen,0.07956290245056152,RRm,year,precipitation,mm day-1,7
08117_Göppingen,0.0595705509185791,RRm,year,precipitation,mm day-1,7
08118_Ludwigsburg,0.08127045631408691,RRm,year,precipitation,mm day-1,7
08119_Rems-Murr-Kreis,0.06789827346801758,RRm,year,precipitation,mm day-1,7
08121_08125_Region_um_Heilbronn,0.0835261344909668,RRm,year,precipitation,mm day-1,7
08121_Heilbronn,0.08524799346923828,RRm,year,precipitation,mm day-1,7
08125_Heilbronn,0.08335757255554199,RRm,year,precipitation,mm day-1,7
08126_Hohenlohekreis,0.06518387794494629,RRm,year,precipitation,mm day-1,7
08127_Schwäbisch Hall,0.06357836723327637,RRm,year,precipitation,mm day-1,7
08128_Main-Tauber-Kreis,0.057666778564453125,RRm,year,precipitation,mm day-1,7
08135_Heidenheim,0.0691678524017334,RRm,year,precipitation,mm day-1,7
08136_Ostalbkreis,0.06402802467346191,RRm,year,precipitation,mm day-1,7
08211_08216_Region_um_Baden-Baden,0.05936169624328613,RRm,year,precipitation,mm day-1,7
08211_Baden-Baden,0.056845903396606445,RRm,year,precipitation,mm day-1,7
08212_08215_07334_Region_um_Karlsruhe,0.06039118766784668,RRm,year,precipitation,mm day-1,7
08212_Karlsruhe,0.05935096740722656,RRm,year,precipitation,mm day-1,7
08215_Karlsruhe,0.06843686103820801,RRm,year,precipitation,mm day-1,7
08216_Rastatt,0.06459665298461914,RRm,year,precipitation,mm day-1,7
08221_08226_08222_Region_um_Heidelberg,0.08199167251586914,RRm,year,precipitation,mm day-1,7
08221_Heidelberg,0.07195091247558594,RRm,year,precipitation,mm day-1,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,0.07323598861694336,RRm,year,precipitation,mm day-1,7
08222_Mannheim,0.06659078598022461,RRm,year,precipitation,mm day-1,7
08225_Neckar-Odenwald-Kreis,0.06263327598571777,RRm,year,precipitation,mm day-1,7
08226_Rhein-Neckar-Kreis,0.07789993286132812,RRm,year,precipitation,mm day-1,7
08231_08236_08235_Region_um_Pforzheim,0.058357954025268555,RRm,year,precipitation,mm day-1,7
08231_Pforzheim,0.05983281135559082,RRm,year,precipitation,mm day-1,7
08235_Calw,0.055474281311035156,RRm,year,precipitation,mm day-1,7
08236_Enzkreis,0.06403398513793945,RRm,year,precipitation,mm day-1,7
08237_Freudenstadt,0.047515869140625,RRm,year,precipitation,mm day-1,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,0.05167055130004883,RRm,year,precipitation,mm day-1,7
08311_Freiburg im Breisgau,0.10571455955505371,RRm,year,precipitation,mm day-1,7
08315_Breisgau-Hochschwarzwald,0.04673433303833008,RRm,year,precipitation,mm day-1,7
08316_Emmendingen,0.0732731819152832,RRm,year,precipitation,mm day-1,7
08317_Ortenaukreis,0.08076047897338867,RRm,year,precipitation,mm day-1,7
08325_Rottweil,0.0527951717376709,RRm,year,precipitation,mm day-1,7
08326_Schwarzwald-Baar-Kreis,0.05497169494628906,RRm,year,precipitation,mm day-1,7
08327_Tuttlingen,0.07439899444580078,RRm,year,precipitation,mm day-1,7
08335_Konstanz,0.10646367073059082,RRm,year,precipitation,mm day-1,7
08336_Lörrach,0.052568912506103516,RRm,year,precipitation,mm day-1,7
08337_Waldshut,0.07743453979492188,RRm,year,precipitation,mm day-1,7
08415_Reutlingen,0.06447887420654297,RRm,year,precipitation,mm day-1,7
08416_Tübingen,0.0768582820892334,RRm,year,precipitation,mm day-1,7
08417_Zollernalbkreis,0.05440974235534668,RRm,year,precipitation,mm day-1,7
08421_08425_09775_Region_um_Ulm,0.06890702247619629,RRm,year,precipitation,mm day-1,7
08421_Ulm,0.0720207691192627,RRm,year,precipitation,mm day-1,7
08425_Alb-Donau-Kreis,0.07151246070861816,RRm,year,precipitation,mm day-1,7
08426_Biberach,0.06743597984313965,RRm,year,precipitation,mm day-1,7
