region,ci_name,ci_frequency,standard_name,units,mid_month,RRm_year_1.5C_rcp85_ensemble-robustness
08118_Ludwigsburg,RRm,year,precipitation,mm day-1,7,1.0
08119_Rems-Murr-Kreis,RRm,year,precipitation,mm day-1,7,1.0
08121_08125_Region_um_Heilbronn,RRm,year,precipitation,mm day-1,7,1.0
08121_Heilbronn,RRm,year,precipitation,mm day-1,7,1.0
08125_Heilbronn,RRm,year,precipitation,mm day-1,7,1.0
08126_Hohenlohekreis,RRm,year,precipitation,mm day-1,7,1.0
08127_Schwäbisch Hall,RRm,year,precipitation,mm day-1,7,1.0
08128_Main-Tauber-Kreis,RRm,year,precipitation,mm day-1,7,1.0
08135_Heidenheim,RRm,year,precipitation,mm day-1,7,1.0
08136_Ostalbkreis,RRm,year,precipitation,mm day-1,7,1.0
08211_08216_Region_um_Baden-Baden,RRm,year,precipitation,mm day-1,7,
08211_Baden-Baden,RRm,year,precipitation,mm day-1,7,
08212_08215_07334_Region_um_Karlsruhe,RRm,year,precipitation,mm day-1,7,1.0
08212_Karlsruhe,RRm,year,precipitation,mm day-1,7,1.0
08215_Karlsruhe,RRm,year,precipitation,mm day-1,7,1.0
08216_Rastatt,RRm,year,precipitation,mm day-1,7,
08221_08226_08222_Region_um_Heidelberg,RRm,year,precipitation,mm day-1,7,1.0
08221_Heidelberg,RRm,year,precipitation,mm day-1,7,1.0
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,RRm,year,precipitation,mm day-1,7,1.0
08222_Mannheim,RRm,year,precipitation,mm day-1,7,1.0
08225_Neckar-Odenwald-Kreis,RRm,year,precipitation,mm day-1,7,1.0
08226_Rhein-Neckar-Kreis,RRm,year,precipitation,mm day-1,7,1.0
08231_08236_08235_Region_um_Pforzheim,RRm,year,precipitation,mm day-1,7,
08231_Pforzheim,RRm,year,precipitation,mm day-1,7,1.0
08235_Calw,RRm,year,precipitation,mm day-1,7,
08236_Enzkreis,RRm,year,precipitation,mm day-1,7,1.0
08237_Freudenstadt,RRm,year,precipitation,mm day-1,7,
08311_08316_08315_Region_um_Freiburg_im_Breisgau,RRm,year,precipitation,mm day-1,7,
08311_Freiburg im Breisgau,RRm,year,precipitation,mm day-1,7,
08315_Breisgau-Hochschwarzwald,RRm,year,precipitation,mm day-1,7,
08316_Emmendingen,RRm,year,precipitation,mm day-1,7,1.0
08317_Ortenaukreis,RRm,year,precipitation,mm day-1,7,1.0
08325_Rottweil,RRm,year,precipitation,mm day-1,7,
08326_Schwarzwald-Baar-Kreis,RRm,year,precipitation,mm day-1,7,
08327_Tuttlingen,RRm,year,precipitation,mm day-1,7,1.0
08335_Konstanz,RRm,year,precipitation,mm day-1,7,1.0
08336_Lörrach,RRm,year,precipitation,mm day-1,7,
08337_Waldshut,RRm,year,precipitation,mm day-1,7,1.0
08415_Reutlingen,RRm,year,precipitation,mm day-1,7,1.0
08416_Tübingen,RRm,year,precipitation,mm day-1,7,1.0
08417_Zollernalbkreis,RRm,year,precipitation,mm day-1,7,1.0
08421_08425_09775_Region_um_Ulm,RRm,year,precipitation,mm day-1,7,1.0
08421_Ulm,RRm,year,precipitation,mm day-1,7,1.0
08425_Alb-Donau-Kreis,RRm,year,precipitation,mm day-1,7,1.0
08426_Biberach,RRm,year,precipitation,mm day-1,7,1.0
08435_Bodenseekreis,RRm,year,precipitation,mm day-1,7,1.0
08436_Ravensburg,RRm,year,precipitation,mm day-1,7,1.0
08437_Sigmaringen,RRm,year,precipitation,mm day-1,7,1.0
09161_09176_09185_09186_Region_um_Ingolstadt,RRm,year,precipitation,mm day-1,7,1.0
09161_Ingolstadt,RRm,year,precipitation,mm day-1,7,1.0
09162_09184_09179_09174_Region_um_München,RRm,year,precipitation,mm day-1,7,1.0
09162_München,RRm,year,precipitation,mm day-1,7,1.0
09163_09187_Region_um_Rosenheim,RRm,year,precipitation,mm day-1,7,1.0
09163_Rosenheim,RRm,year,precipitation,mm day-1,7,1.0
09171_Altötting,RRm,year,precipitation,mm day-1,7,1.0
09172_Berchtesgadener Land,RRm,year,precipitation,mm day-1,7,1.0
09173_Bad Tölz-Wolfratshausen,RRm,year,precipitation,mm day-1,7,1.0
09174_Dachau,RRm,year,precipitation,mm day-1,7,1.0
09175_Ebersberg,RRm,year,precipitation,mm day-1,7,1.0
09176_Eichstätt,RRm,year,precipitation,mm day-1,7,1.0
09177_Erding,RRm,year,precipitation,mm day-1,7,1.0
09178_Freising,RRm,year,precipitation,mm day-1,7,1.0
09179_Fürstenfeldbruck,RRm,year,precipitation,mm day-1,7,1.0
09180_Garmisch-Partenkirchen,RRm,year,precipitation,mm day-1,7,1.0
09181_Landsberg am Lech,RRm,year,precipitation,mm day-1,7,1.0
09182_Miesbach,RRm,year,precipitation,mm day-1,7,1.0
09183_Mühldorf a. Inn,RRm,year,precipitation,mm day-1,7,1.0
09184_München,RRm,year,precipitation,mm day-1,7,1.0
09185_Neuburg-Schrobenhausen,RRm,year,precipitation,mm day-1,7,1.0
09186_Pfaffenhofen a.d. Ilm,RRm,year,precipitation,mm day-1,7,1.0
09187_Rosenheim,RRm,year,precipitation,mm day-1,7,1.0
09188_Starnberg,RRm,year,precipitation,mm day-1,7,1.0
09189_Traunstein,RRm,year,precipitation,mm day-1,7,1.0
09190_Weilheim-Schongau,RRm,year,precipitation,mm day-1,7,1.0
09261_09274_Region_um_Landshut,RRm,year,precipitation,mm day-1,7,1.0
09261_Landshut,RRm,year,precipitation,mm day-1,7,1.0
09262_09275_Region_um_Passau,RRm,year,precipitation,mm day-1,7,
09262_Passau,RRm,year,precipitation,mm day-1,7,
09263_09278_Region_um_Straubing,RRm,year,precipitation,mm day-1,7,1.0
09263_Straubing,RRm,year,precipitation,mm day-1,7,1.0
09271_Deggendorf,RRm,year,precipitation,mm day-1,7,1.0
09272_Freyung-Grafenau,RRm,year,precipitation,mm day-1,7,
09273_Kelheim,RRm,year,precipitation,mm day-1,7,1.0
09274_Landshut,RRm,year,precipitation,mm day-1,7,1.0
09275_Passau,RRm,year,precipitation,mm day-1,7,
09276_Regen,RRm,year,precipitation,mm day-1,7,
09277_Rottal-Inn,RRm,year,precipitation,mm day-1,7,1.0
09278_Straubing-Bogen,RRm,year,precipitation,mm day-1,7,1.0
09279_Dingolfing-Landau,RRm,year,precipitation,mm day-1,7,1.0
09361_09371_Region_um_Amberg,RRm,year,precipitation,mm day-1,7,1.0
09361_Amberg,RRm,year,precipitation,mm day-1,7,1.0
09362_09375_Region_um_Regensburg,RRm,year,precipitation,mm day-1,7,1.0
09362_Regensburg,RRm,year,precipitation,mm day-1,7,1.0
09363_09374_Region_um_Weiden_in_der_Oberpfalz,RRm,year,precipitation,mm day-1,7,1.0
09363_Weiden i.d. OPf.,RRm,year,precipitation,mm day-1,7,1.0
09371_Amberg-Sulzbach,RRm,year,precipitation,mm day-1,7,1.0
09372_Cham,RRm,year,precipitation,mm day-1,7,1.0
09373_Neumarkt i.d. OPf.,RRm,year,precipitation,mm day-1,7,1.0
09374_Neustadt a.d. Waldnaab,RRm,year,precipitation,mm day-1,7,1.0
09375_Regensburg,RRm,year,precipitation,mm day-1,7,1.0
09376_Schwandorf,RRm,year,precipitation,mm day-1,7,1.0
