region,RRm_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
07339_Mainz-Bingen,0.12208539,RRm,year,precipitation,mm day-1,7
07340_Südwestpfalz,0.12390441,RRm,year,precipitation,mm day-1,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.16822448,RRm,year,precipitation,mm day-1,7
08111_Stuttgart,0.16018201,RRm,year,precipitation,mm day-1,7
08115_Böblingen,0.14539354,RRm,year,precipitation,mm day-1,7
08116_Esslingen,0.17521955,RRm,year,precipitation,mm day-1,7
08117_Göppingen,0.1824524,RRm,year,precipitation,mm day-1,7
08118_Ludwigsburg,0.16283883,RRm,year,precipitation,mm day-1,7
08119_Rems-Murr-Kreis,0.18562041,RRm,year,precipitation,mm day-1,7
08121_08125_Region_um_Heilbronn,0.16520539,RRm,year,precipitation,mm day-1,7
08121_Heilbronn,0.17162237,RRm,year,precipitation,mm day-1,7
08125_Heilbronn,0.1645788,RRm,year,precipitation,mm day-1,7
08126_Hohenlohekreis,0.15503614,RRm,year,precipitation,mm day-1,7
08127_Schwäbisch Hall,0.15508144,RRm,year,precipitation,mm day-1,7
08128_Main-Tauber-Kreis,0.1329381,RRm,year,precipitation,mm day-1,7
08135_Heidenheim,0.16508304,RRm,year,precipitation,mm day-1,7
08136_Ostalbkreis,0.1622394,RRm,year,precipitation,mm day-1,7
08211_08216_Region_um_Baden-Baden,0.17725454,RRm,year,precipitation,mm day-1,7
08211_Baden-Baden,0.18272005,RRm,year,precipitation,mm day-1,7
08212_08215_07334_Region_um_Karlsruhe,0.14558421,RRm,year,precipitation,mm day-1,7
08212_Karlsruhe,0.14590701,RRm,year,precipitation,mm day-1,7
08215_Karlsruhe,0.1508791,RRm,year,precipitation,mm day-1,7
08216_Rastatt,0.17623289,RRm,year,precipitation,mm day-1,7
08221_08226_08222_Region_um_Heidelberg,0.16705789,RRm,year,precipitation,mm day-1,7
08221_Heidelberg,0.17499167,RRm,year,precipitation,mm day-1,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,0.16087045,RRm,year,precipitation,mm day-1,7
08222_Mannheim,0.16517901,RRm,year,precipitation,mm day-1,7
08225_Neckar-Odenwald-Kreis,0.14590465,RRm,year,precipitation,mm day-1,7
08226_Rhein-Neckar-Kreis,0.16649976,RRm,year,precipitation,mm day-1,7
08231_08236_08235_Region_um_Pforzheim,0.14791845,RRm,year,precipitation,mm day-1,7
08231_Pforzheim,0.14586994,RRm,year,precipitation,mm day-1,7
08235_Calw,0.14963344,RRm,year,precipitation,mm day-1,7
08236_Enzkreis,0.14590994,RRm,year,precipitation,mm day-1,7
08237_Freudenstadt,0.17864525,RRm,year,precipitation,mm day-1,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,0.2125466,RRm,year,precipitation,mm day-1,7
08311_Freiburg im Breisgau,0.22397985,RRm,year,precipitation,mm day-1,7
08315_Breisgau-Hochschwarzwald,0.2096984,RRm,year,precipitation,mm day-1,7
08316_Emmendingen,0.21565036,RRm,year,precipitation,mm day-1,7
08317_Ortenaukreis,0.21837613,RRm,year,precipitation,mm day-1,7
08325_Rottweil,0.16078672,RRm,year,precipitation,mm day-1,7
08326_Schwarzwald-Baar-Kreis,0.17456633,RRm,year,precipitation,mm day-1,7
08327_Tuttlingen,0.16937825,RRm,year,precipitation,mm day-1,7
08335_Konstanz,0.1829423,RRm,year,precipitation,mm day-1,7
08336_Lörrach,0.21994548,RRm,year,precipitation,mm day-1,7
08337_Waldshut,0.20349024,RRm,year,precipitation,mm day-1,7
08415_Reutlingen,0.17124009,RRm,year,precipitation,mm day-1,7
08416_Tübingen,0.15310623,RRm,year,precipitation,mm day-1,7
08417_Zollernalbkreis,0.1559808,RRm,year,precipitation,mm day-1,7
08421_08425_09775_Region_um_Ulm,0.17218654,RRm,year,precipitation,mm day-1,7
08421_Ulm,0.167801,RRm,year,precipitation,mm day-1,7
08425_Alb-Donau-Kreis,0.17221354,RRm,year,precipitation,mm day-1,7
08426_Biberach,0.17654538,RRm,year,precipitation,mm day-1,7
08435_Bodenseekreis,0.30084884,RRm,year,precipitation,mm day-1,7
08436_Ravensburg,0.2319366,RRm,year,precipitation,mm day-1,7
