region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
07316_Neustadt an der Weinstraße,2.552262783050537,HSf3,year,hot_spell_frequency,,7
07317_07340_Region_um_Pirmasens,2.2268943786621094,HSf3,year,hot_spell_frequency,,7
07317_Pirmasens,2.2963802814483643,HSf3,year,hot_spell_frequency,,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,2.866956949234009,HSf3,year,hot_spell_frequency,,7
07318_Speyer,3.3106093406677246,HSf3,year,hot_spell_frequency,,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,2.657806158065796,HSf3,year,hot_spell_frequency,,7
07319_Worms,3.0608601570129395,HSf3,year,hot_spell_frequency,,7
07320_07340_10045_07317_Region_um_Zweibrücken,2.241617202758789,HSf3,year,hot_spell_frequency,,7
07320_Zweibrücken,2.220752239227295,HSf3,year,hot_spell_frequency,,7
07331_Alzey-Worms,2.6031908988952637,HSf3,year,hot_spell_frequency,,7
07332_Bad Dürkheim,2.451195001602173,HSf3,year,hot_spell_frequency,,7
07333_Donnersbergkreis,2.4754762649536133,HSf3,year,hot_spell_frequency,,7
07334_Germersheim,3.3236336708068848,HSf3,year,hot_spell_frequency,,7
07335_Kaiserslautern,2.287442684173584,HSf3,year,hot_spell_frequency,,7
07336_Kusel,2.319190740585327,HSf3,year,hot_spell_frequency,,7
07337_Südliche Weinstraße,2.525681734085083,HSf3,year,hot_spell_frequency,,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,2.804591417312622,HSf3,year,hot_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,3.215365409851074,HSf3,year,hot_spell_frequency,,7
07339_Mainz-Bingen,2.5021047592163086,HSf3,year,hot_spell_frequency,,7
07340_Südwestpfalz,2.222071647644043,HSf3,year,hot_spell_frequency,,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,2.3055033683776855,HSf3,year,hot_spell_frequency,,7
08111_Stuttgart,2.433218479156494,HSf3,year,hot_spell_frequency,,7
08115_Böblingen,2.133688449859619,HSf3,year,hot_spell_frequency,,7
08116_Esslingen,2.1975669860839844,HSf3,year,hot_spell_frequency,,7
08117_Göppingen,1.8345775604248047,HSf3,year,hot_spell_frequency,,7
08118_Ludwigsburg,2.6068172454833984,HSf3,year,hot_spell_frequency,,7
08119_Rems-Murr-Kreis,2.3175110816955566,HSf3,year,hot_spell_frequency,,7
08121_08125_Region_um_Heilbronn,2.7027158737182617,HSf3,year,hot_spell_frequency,,7
