region,HSf3_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08216_Rastatt,2.1003499031066895,HSf3,year,hot_spell_frequency,,7
08221_08226_08222_Region_um_Heidelberg,2.4503865242004395,HSf3,year,hot_spell_frequency,,7
08221_Heidelberg,2.415627956390381,HSf3,year,hot_spell_frequency,,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,2.449549674987793,HSf3,year,hot_spell_frequency,,7
08222_Mannheim,2.580933094024658,HSf3,year,hot_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,2.0970396995544434,HSf3,year,hot_spell_frequency,,7
08226_Rhein-Neckar-Kreis,2.417863607406616,HSf3,year,hot_spell_frequency,,7
08231_08236_08235_Region_um_Pforzheim,1.9669585227966309,HSf3,year,hot_spell_frequency,,7
08231_Pforzheim,2.09541654586792,HSf3,year,hot_spell_frequency,,7
08235_Calw,1.7515546083450317,HSf3,year,hot_spell_frequency,,7
08236_Enzkreis,2.2366583347320557,HSf3,year,hot_spell_frequency,,7
08237_Freudenstadt,1.6410777568817139,HSf3,year,hot_spell_frequency,,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,1.94313383102417,HSf3,year,hot_spell_frequency,,7
08311_Freiburg im Breisgau,2.1628403663635254,HSf3,year,hot_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,1.6658310890197754,HSf3,year,hot_spell_frequency,,7
08316_Emmendingen,2.200791835784912,HSf3,year,hot_spell_frequency,,7
08317_Ortenaukreis,2.15919828414917,HSf3,year,hot_spell_frequency,,7
08325_Rottweil,1.7685688734054565,HSf3,year,hot_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,1.3657833337783813,HSf3,year,hot_spell_frequency,,7
08327_Tuttlingen,1.5152688026428223,HSf3,year,hot_spell_frequency,,7
08335_Konstanz,2.420797348022461,HSf3,year,hot_spell_frequency,,7
08336_Lörrach,2.2398927211761475,HSf3,year,hot_spell_frequency,,7
08337_Waldshut,2.1711721420288086,HSf3,year,hot_spell_frequency,,7
08415_Reutlingen,1.5379126071929932,HSf3,year,hot_spell_frequency,,7
08416_Tübingen,2.288550853729248,HSf3,year,hot_spell_frequency,,7
08417_Zollernalbkreis,1.570065975189209,HSf3,year,hot_spell_frequency,,7
08421_08425_09775_Region_um_Ulm,1.950955867767334,HSf3,year,hot_spell_frequency,,7
08421_Ulm,2.110647201538086,HSf3,year,hot_spell_frequency,,7
08425_Alb-Donau-Kreis,1.8160061836242676,HSf3,year,hot_spell_frequency,,7
08426_Biberach,1.9417387247085571,HSf3,year,hot_spell_frequency,,7
08435_Bodenseekreis,2.0192315578460693,HSf3,year,hot_spell_frequency,,7
08436_Ravensburg,1.7253148555755615,HSf3,year,hot_spell_frequency,,7
08437_Sigmaringen,1.6454232931137085,HSf3,year,hot_spell_frequency,,7
09161_09176_09185_09186_Region_um_Ingolstadt,2.336658477783203,HSf3,year,hot_spell_frequency,,7
09161_Ingolstadt,2.525707244873047,HSf3,year,hot_spell_frequency,,7
09162_09184_09179_09174_Region_um_München,2.2291970252990723,HSf3,year,hot_spell_frequency,,7
09162_München,2.556244373321533,HSf3,year,hot_spell_frequency,,7
09163_09187_Region_um_Rosenheim,1.9466211795806885,HSf3,year,hot_spell_frequency,,7
09163_Rosenheim,2.3009042739868164,HSf3,year,hot_spell_frequency,,7
09171_Altötting,2.530860424041748,HSf3,year,hot_spell_frequency,,7
09172_Berchtesgadener Land,1.1223667860031128,HSf3,year,hot_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,1.2620552778244019,HSf3,year,hot_spell_frequency,,7
09174_Dachau,2.2735419273376465,HSf3,year,hot_spell_frequency,,7
09175_Ebersberg,2.3085360527038574,HSf3,year,hot_spell_frequency,,7
09176_Eichstätt,2.239534616470337,HSf3,year,hot_spell_frequency,,7
09177_Erding,2.307828903198242,HSf3,year,hot_spell_frequency,,7
09178_Freising,2.287045478820801,HSf3,year,hot_spell_frequency,,7
09179_Fürstenfeldbruck,2.1275742053985596,HSf3,year,hot_spell_frequency,,7
09180_Garmisch-Partenkirchen,0.6962043046951294,HSf3,year,hot_spell_frequency,,7
09181_Landsberg am Lech,1.7650489807128906,HSf3,year,hot_spell_frequency,,7
09182_Miesbach,1.1886508464813232,HSf3,year,hot_spell_frequency,,7
09183_Mühldorf a. Inn,2.3704581260681152,HSf3,year,hot_spell_frequency,,7
09184_München,2.1666998863220215,HSf3,year,hot_spell_frequency,,7
09185_Neuburg-Schrobenhausen,2.4394514560699463,HSf3,year,hot_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,2.368821382522583,HSf3,year,hot_spell_frequency,,7
09187_Rosenheim,1.93467116355896,HSf3,year,hot_spell_frequency,,7
09188_Starnberg,1.995726466178894,HSf3,year,hot_spell_frequency,,7
09189_Traunstein,1.8092917203903198,HSf3,year,hot_spell_frequency,,7
09190_Weilheim-Schongau,1.6256203651428223,HSf3,year,hot_spell_frequency,,7
09261_09274_Region_um_Landshut,2.277644157409668,HSf3,year,hot_spell_frequency,,7
09261_Landshut,2.3094000816345215,HSf3,year,hot_spell_frequency,,7
09262_09275_Region_um_Passau,2.4105958938598633,HSf3,year,hot_spell_frequency,,7
09262_Passau,2.542741537094116,HSf3,year,hot_spell_frequency,,7
