region,ci_name,ci_frequency,standard_name,units,mid_month,HSf3_year_2C_rcp85_ensemble-robustness
07314_Ludwigshafen am Rhein,HSf3,year,hot_spell_frequency,,7,2
07315_07339_06414_06433_Region_um_Mainz,HSf3,year,hot_spell_frequency,,7,2
07315_Mainz,HSf3,year,hot_spell_frequency,,7,2
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,HSf3,year,hot_spell_frequency,,7,2
07316_Neustadt an der Weinstraße,HSf3,year,hot_spell_frequency,,7,2
07317_07340_Region_um_Pirmasens,HSf3,year,hot_spell_frequency,,7,2
07317_Pirmasens,HSf3,year,hot_spell_frequency,,7,2
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,HSf3,year,hot_spell_frequency,,7,2
07318_Speyer,HSf3,year,hot_spell_frequency,,7,2
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,HSf3,year,hot_spell_frequency,,7,2
07319_Worms,HSf3,year,hot_spell_frequency,,7,2
07320_07340_10045_07317_Region_um_Zweibrücken,HSf3,year,hot_spell_frequency,,7,2
07320_Zweibrücken,HSf3,year,hot_spell_frequency,,7,2
07331_Alzey-Worms,HSf3,year,hot_spell_frequency,,7,2
07332_Bad Dürkheim,HSf3,year,hot_spell_frequency,,7,2
07333_Donnersbergkreis,HSf3,year,hot_spell_frequency,,7,2
07334_Germersheim,HSf3,year,hot_spell_frequency,,7,2
07335_Kaiserslautern,HSf3,year,hot_spell_frequency,,7,2
07336_Kusel,HSf3,year,hot_spell_frequency,,7,2
07337_Südliche Weinstraße,HSf3,year,hot_spell_frequency,,7,2
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,HSf3,year,hot_spell_frequency,,7,2
07338_Rhein-Pfalz-Kreis,HSf3,year,hot_spell_frequency,,7,2
07339_Mainz-Bingen,HSf3,year,hot_spell_frequency,,7,2
07340_Südwestpfalz,HSf3,year,hot_spell_frequency,,7,2
08111_08115_08116_08118_08119_Region_um_Stuttgart,HSf3,year,hot_spell_frequency,,7,2
08111_Stuttgart,HSf3,year,hot_spell_frequency,,7,2
08115_Böblingen,HSf3,year,hot_spell_frequency,,7,2
08116_Esslingen,HSf3,year,hot_spell_frequency,,7,2
08117_Göppingen,HSf3,year,hot_spell_frequency,,7,2
08118_Ludwigsburg,HSf3,year,hot_spell_frequency,,7,2
08119_Rems-Murr-Kreis,HSf3,year,hot_spell_frequency,,7,2
08121_08125_Region_um_Heilbronn,HSf3,year,hot_spell_frequency,,7,2
08121_Heilbronn,HSf3,year,hot_spell_frequency,,7,2
08125_Heilbronn,HSf3,year,hot_spell_frequency,,7,2
08126_Hohenlohekreis,HSf3,year,hot_spell_frequency,,7,2
08127_Schwäbisch Hall,HSf3,year,hot_spell_frequency,,7,2
08128_Main-Tauber-Kreis,HSf3,year,hot_spell_frequency,,7,2
08135_Heidenheim,HSf3,year,hot_spell_frequency,,7,2
08136_Ostalbkreis,HSf3,year,hot_spell_frequency,,7,2
08211_08216_Region_um_Baden-Baden,HSf3,year,hot_spell_frequency,,7,2
08211_Baden-Baden,HSf3,year,hot_spell_frequency,,7,2
