region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09261_09274_Region_um_Landshut,0.6179186,HSf3,year,hot_spell_frequency,,7
09261_Landshut,0.62893754,HSf3,year,hot_spell_frequency,,7
09262_09275_Region_um_Passau,0.68444467,HSf3,year,hot_spell_frequency,,7
09262_Passau,0.74051774,HSf3,year,hot_spell_frequency,,7
09263_09278_Region_um_Straubing,0.6693942,HSf3,year,hot_spell_frequency,,7
09263_Straubing,0.7549938,HSf3,year,hot_spell_frequency,,7
09271_Deggendorf,0.6899861,HSf3,year,hot_spell_frequency,,7
09272_Freyung-Grafenau,0.30108446,HSf3,year,hot_spell_frequency,,7
09273_Kelheim,0.6285544,HSf3,year,hot_spell_frequency,,7
09274_Landshut,0.61732864,HSf3,year,hot_spell_frequency,,7
09275_Passau,0.6818454,HSf3,year,hot_spell_frequency,,7
09276_Regen,0.30123577,HSf3,year,hot_spell_frequency,,7
09277_Rottal-Inn,0.6750929,HSf3,year,hot_spell_frequency,,7
09278_Straubing-Bogen,0.66433513,HSf3,year,hot_spell_frequency,,7
09279_Dingolfing-Landau,0.6937732,HSf3,year,hot_spell_frequency,,7
09361_09371_Region_um_Amberg,0.5146159,HSf3,year,hot_spell_frequency,,7
09361_Amberg,0.5481638,HSf3,year,hot_spell_frequency,,7
09362_09375_Region_um_Regensburg,0.6517007,HSf3,year,hot_spell_frequency,,7
09362_Regensburg,0.7091173,HSf3,year,hot_spell_frequency,,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,0.44120657,HSf3,year,hot_spell_frequency,,7
09363_Weiden i.d. OPf.,0.479184,HSf3,year,hot_spell_frequency,,7
09371_Amberg-Sulzbach,0.51321596,HSf3,year,hot_spell_frequency,,7
09372_Cham,0.463456,HSf3,year,hot_spell_frequency,,7
09373_Neumarkt i.d. OPf.,0.49776435,HSf3,year,hot_spell_frequency,,7
09374_Neustadt a.d. Waldnaab,0.43927377,HSf3,year,hot_spell_frequency,,7
09375_Regensburg,0.64809054,HSf3,year,hot_spell_frequency,,7
09376_Schwandorf,0.5465125,HSf3,year,hot_spell_frequency,,7
