region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
06431_Bergstraße,0.46088099479675293,HSf3,year,hot_spell_frequency,,7
06432_Darmstadt-Dieburg,0.4954540729522705,HSf3,year,hot_spell_frequency,,7
06433_Groß-Gerau,0.6069191098213196,HSf3,year,hot_spell_frequency,,7
06434_Hochtaunuskreis,0.3310341238975525,HSf3,year,hot_spell_frequency,,7
06435_Main-Kinzig-Kreis,0.3365798592567444,HSf3,year,hot_spell_frequency,,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.4418559670448303,HSf3,year,hot_spell_frequency,,7
06436_Main-Taunus-Kreis,0.4931623041629791,HSf3,year,hot_spell_frequency,,7
06437_Odenwaldkreis,0.34167081117630005,HSf3,year,hot_spell_frequency,,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,0.46865159273147583,HSf3,year,hot_spell_frequency,,7
06438_Offenbach,0.6115268468856812,HSf3,year,hot_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,0.3016241788864136,HSf3,year,hot_spell_frequency,,7
06440_Wetteraukreis,0.4258660078048706,HSf3,year,hot_spell_frequency,,7
06531_Gießen,0.36197197437286377,HSf3,year,hot_spell_frequency,,7
06532_Lahn-Dill-Kreis,0.253445565700531,HSf3,year,hot_spell_frequency,,7
06533_Limburg-Weilburg,0.2433377057313919,HSf3,year,hot_spell_frequency,,7
06534_Marburg-Biedenkopf,0.2635958194732666,HSf3,year,hot_spell_frequency,,7
06535_Vogelsbergkreis,0.19678321480751038,HSf3,year,hot_spell_frequency,,7
06611_06633_03159_Region_um_Kassel,0.18566438555717468,HSf3,year,hot_spell_frequency,,7
06611_Kassel,0.1955280303955078,HSf3,year,hot_spell_frequency,,7
06631_Fulda,0.1620291769504547,HSf3,year,hot_spell_frequency,,7
06632_Hersfeld-Rotenburg,0.1939786672592163,HSf3,year,hot_spell_frequency,,7
06633_Kassel,0.19123683869838715,HSf3,year,hot_spell_frequency,,7
06634_Schwalm-Eder-Kreis,0.2112961709499359,HSf3,year,hot_spell_frequency,,7
06635_Waldeck-Frankenberg,0.16462090611457825,HSf3,year,hot_spell_frequency,,7
06636_Werra-Meißner-Kreis,0.20836374163627625,HSf3,year,hot_spell_frequency,,7
07111_07137_07141_07143_Region_um_Koblenz,0.28827959299087524,HSf3,year,hot_spell_frequency,,7
07111_Koblenz,0.3504296839237213,HSf3,year,hot_spell_frequency,,7
07131_Ahrweiler,0.19715964794158936,HSf3,year,hot_spell_frequency,,7
07132_Altenkirchen (Westerwald),0.22189459204673767,HSf3,year,hot_spell_frequency,,7
07133_Bad Kreuznach,0.3711559772491455,HSf3,year,hot_spell_frequency,,7
07134_Birkenfeld,0.21491241455078125,HSf3,year,hot_spell_frequency,,7
07135_Cochem-Zell,0.25742393732070923,HSf3,year,hot_spell_frequency,,7
07137_Mayen-Koblenz,0.3347522020339966,HSf3,year,hot_spell_frequency,,7
07138_Neuwied,0.30094391107559204,HSf3,year,hot_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,0.21550583839416504,HSf3,year,hot_spell_frequency,,7
07141_Rhein-Lahn-Kreis,0.304302841424942,HSf3,year,hot_spell_frequency,,7
07143_Westerwaldkreis,0.21715357899665833,HSf3,year,hot_spell_frequency,,7
07211_07235_Region_um_Trier,0.2615877687931061,HSf3,year,hot_spell_frequency,,7
07211_Trier,0.30321598052978516,HSf3,year,hot_spell_frequency,,7
07231_Bernkastel-Wittlich,0.2514494061470032,HSf3,year,hot_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,0.17674094438552856,HSf3,year,hot_spell_frequency,,7
07233_Vulkaneifel,0.13589872419834137,HSf3,year,hot_spell_frequency,,7
07235_Trier-Saarburg,0.25355958938598633,HSf3,year,hot_spell_frequency,,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),0.6259725093841553,HSf3,year,hot_spell_frequency,,7
07311_Frankenthal (Pfalz),0.6302791833877563,HSf3,year,hot_spell_frequency,,7
07312_07335_07332_Region_um_Kaiserslautern,0.39073729515075684,HSf3,year,hot_spell_frequency,,7
07312_Kaiserslautern,0.3305697441101074,HSf3,year,hot_spell_frequency,,7
07313_07337_Region_um_Landau_in_der_Pfalz,0.5554501414299011,HSf3,year,hot_spell_frequency,,7
07313_Landau in der Pfalz,0.5400853157043457,HSf3,year,hot_spell_frequency,,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,0.6233572959899902,HSf3,year,hot_spell_frequency,,7
07314_Ludwigshafen am Rhein,0.6204203367233276,HSf3,year,hot_spell_frequency,,7
07315_07339_06414_06433_Region_um_Mainz,0.5177050232887268,HSf3,year,hot_spell_frequency,,7
07315_Mainz,0.5826374292373657,HSf3,year,hot_spell_frequency,,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,0.5336154699325562,HSf3,year,hot_spell_frequency,,7
07316_Neustadt an der Weinstraße,0.5450634360313416,HSf3,year,hot_spell_frequency,,7
07317_07340_Region_um_Pirmasens,0.3821240961551666,HSf3,year,hot_spell_frequency,,7
07317_Pirmasens,0.3739112615585327,HSf3,year,hot_spell_frequency,,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,0.5328748226165771,HSf3,year,hot_spell_frequency,,7
07318_Speyer,0.6640288829803467,HSf3,year,hot_spell_frequency,,7
