region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
07332_Bad Dürkheim,2.033414125442505,HSf3,year,hot_spell_frequency,,7
07333_Donnersbergkreis,2.097428798675537,HSf3,year,hot_spell_frequency,,7
07334_Germersheim,2.262148141860962,HSf3,year,hot_spell_frequency,,7
07335_Kaiserslautern,1.9432284832000732,HSf3,year,hot_spell_frequency,,7
07336_Kusel,1.8745176792144775,HSf3,year,hot_spell_frequency,,7
07337_Südliche Weinstraße,2.0658698081970215,HSf3,year,hot_spell_frequency,,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,2.1399664878845215,HSf3,year,hot_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,2.3875482082366943,HSf3,year,hot_spell_frequency,,7
07339_Mainz-Bingen,2.090536117553711,HSf3,year,hot_spell_frequency,,7
07340_Südwestpfalz,1.9561970233917236,HSf3,year,hot_spell_frequency,,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,1.9327138662338257,HSf3,year,hot_spell_frequency,,7
08111_Stuttgart,2.1240944862365723,HSf3,year,hot_spell_frequency,,7
08115_Böblingen,1.8641961812973022,HSf3,year,hot_spell_frequency,,7
08116_Esslingen,1.7454572916030884,HSf3,year,hot_spell_frequency,,7
08117_Göppingen,1.4418177604675293,HSf3,year,hot_spell_frequency,,7
08118_Ludwigsburg,2.08919620513916,HSf3,year,hot_spell_frequency,,7
08119_Rems-Murr-Kreis,1.9484795331954956,HSf3,year,hot_spell_frequency,,7
08121_08125_Region_um_Heilbronn,2.113952159881592,HSf3,year,hot_spell_frequency,,7
08121_Heilbronn,2.231827735900879,HSf3,year,hot_spell_frequency,,7
08125_Heilbronn,2.1024417877197266,HSf3,year,hot_spell_frequency,,7
08126_Hohenlohekreis,2.0735464096069336,HSf3,year,hot_spell_frequency,,7
08127_Schwäbisch Hall,1.8385748863220215,HSf3,year,hot_spell_frequency,,7
08128_Main-Tauber-Kreis,1.9661368131637573,HSf3,year,hot_spell_frequency,,7
08135_Heidenheim,1.438435435295105,HSf3,year,hot_spell_frequency,,7
08136_Ostalbkreis,1.5448898077011108,HSf3,year,hot_spell_frequency,,7
08211_08216_Region_um_Baden-Baden,1.6755977869033813,HSf3,year,hot_spell_frequency,,7
08211_Baden-Baden,1.7245585918426514,HSf3,year,hot_spell_frequency,,7
08212_08215_07334_Region_um_Karlsruhe,2.185206174850464,HSf3,year,hot_spell_frequency,,7
08212_Karlsruhe,2.25774884223938,HSf3,year,hot_spell_frequency,,7
08215_Karlsruhe,2.1612136363983154,HSf3,year,hot_spell_frequency,,7
08216_Rastatt,1.6774911880493164,HSf3,year,hot_spell_frequency,,7
08221_08226_08222_Region_um_Heidelberg,2.1566452980041504,HSf3,year,hot_spell_frequency,,7
08221_Heidelberg,2.1765804290771484,HSf3,year,hot_spell_frequency,,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,2.184812068939209,HSf3,year,hot_spell_frequency,,7
08222_Mannheim,2.414574146270752,HSf3,year,hot_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,1.9676547050476074,HSf3,year,hot_spell_frequency,,7
08226_Rhein-Neckar-Kreis,2.1184515953063965,HSf3,year,hot_spell_frequency,,7
08231_08236_08235_Region_um_Pforzheim,1.54079270362854,HSf3,year,hot_spell_frequency,,7
08231_Pforzheim,2.1177093982696533,HSf3,year,hot_spell_frequency,,7
08235_Calw,1.1283454895019531,HSf3,year,hot_spell_frequency,,7
08236_Enzkreis,2.008314609527588,HSf3,year,hot_spell_frequency,,7
08237_Freudenstadt,1.1263985633850098,HSf3,year,hot_spell_frequency,,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,1.2695398330688477,HSf3,year,hot_spell_frequency,,7
08311_Freiburg im Breisgau,1.841496229171753,HSf3,year,hot_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,1.1133407354354858,HSf3,year,hot_spell_frequency,,7
08316_Emmendingen,1.6090108156204224,HSf3,year,hot_spell_frequency,,7
08317_Ortenaukreis,1.7338204383850098,HSf3,year,hot_spell_frequency,,7
08325_Rottweil,1.174311637878418,HSf3,year,hot_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,0.909926176071167,HSf3,year,hot_spell_frequency,,7
08327_Tuttlingen,1.0917906761169434,HSf3,year,hot_spell_frequency,,7
08335_Konstanz,1.5466314554214478,HSf3,year,hot_spell_frequency,,7
08336_Lörrach,1.3945579528808594,HSf3,year,hot_spell_frequency,,7
08337_Waldshut,1.5287370681762695,HSf3,year,hot_spell_frequency,,7
08415_Reutlingen,1.0909243822097778,HSf3,year,hot_spell_frequency,,7
08416_Tübingen,1.743898868560791,HSf3,year,hot_spell_frequency,,7
08417_Zollernalbkreis,1.022863745689392,HSf3,year,hot_spell_frequency,,7
08421_08425_09775_Region_um_Ulm,1.2638458013534546,HSf3,year,hot_spell_frequency,,7
08421_Ulm,1.4834636449813843,HSf3,year,hot_spell_frequency,,7
08425_Alb-Donau-Kreis,1.180981159210205,HSf3,year,hot_spell_frequency,,7
08426_Biberach,1.4111526012420654,HSf3,year,hot_spell_frequency,,7
08435_Bodenseekreis,1.5139784812927246,HSf3,year,hot_spell_frequency,,7
08436_Ravensburg,1.2170919179916382,HSf3,year,hot_spell_frequency,,7
08437_Sigmaringen,1.0934340953826904,HSf3,year,hot_spell_frequency,,7
09161_09176_09185_09186_Region_um_Ingolstadt,2.0097556114196777,HSf3,year,hot_spell_frequency,,7
09161_Ingolstadt,2.1513075828552246,HSf3,year,hot_spell_frequency,,7
09162_09184_09179_09174_Region_um_München,1.5991532802581787,HSf3,year,hot_spell_frequency,,7
09162_München,1.6241822242736816,HSf3,year,hot_spell_frequency,,7
09163_09187_Region_um_Rosenheim,1.3788256645202637,HSf3,year,hot_spell_frequency,,7
09163_Rosenheim,1.7643619775772095,HSf3,year,hot_spell_frequency,,7
09171_Altötting,2.0480422973632812,HSf3,year,hot_spell_frequency,,7
09172_Berchtesgadener Land,0.6851489543914795,HSf3,year,hot_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,0.6857600212097168,HSf3,year,hot_spell_frequency,,7
09174_Dachau,1.7131550312042236,HSf3,year,hot_spell_frequency,,7
09175_Ebersberg,1.5013912916183472,HSf3,year,hot_spell_frequency,,7
09176_Eichstätt,2.00557804107666,HSf3,year,hot_spell_frequency,,7
09177_Erding,1.7053868770599365,HSf3,year,hot_spell_frequency,,7
09178_Freising,1.9850454330444336,HSf3,year,hot_spell_frequency,,7
09179_Fürstenfeldbruck,1.5913429260253906,HSf3,year,hot_spell_frequency,,7
09180_Garmisch-Partenkirchen,0.3795859217643738,HSf3,year,hot_spell_frequency,,7
09181_Landsberg am Lech,1.2542212009429932,HSf3,year,hot_spell_frequency,,7
09182_Miesbach,0.5559151768684387,HSf3,year,hot_spell_frequency,,7
09183_Mühldorf a. Inn,1.82538640499115,HSf3,year,hot_spell_frequency,,7
09184_München,1.5002797842025757,HSf3,year,hot_spell_frequency,,7
09185_Neuburg-Schrobenhausen,2.020500421524048,HSf3,year,hot_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,2.010556221008301,HSf3,year,hot_spell_frequency,,7
09187_Rosenheim,1.368137240409851,HSf3,year,hot_spell_frequency,,7
09188_Starnberg,1.1948285102844238,HSf3,year,hot_spell_frequency,,7
09189_Traunstein,1.1709750890731812,HSf3,year,hot_spell_frequency,,7
09190_Weilheim-Schongau,0.937839150428772,HSf3,year,hot_spell_frequency,,7
09261_09274_Region_um_Landshut,2.112091302871704,HSf3,year,hot_spell_frequency,,7
09261_Landshut,2.2151834964752197,HSf3,year,hot_spell_frequency,,7
09262_09275_Region_um_Passau,2.222663640975952,HSf3,year,hot_spell_frequency,,7
09262_Passau,2.358957052230835,HSf3,year,hot_spell_frequency,,7
