region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
09376_Schwandorf,1.1318359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09377_Tirschenreuth,1.3345184326171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09461_Bamberg,1.3763580322265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09462_Bayreuth,0.6328582763671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09463_Coburg,1.840606689453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09464_Hof,0.3666839599609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09471_Bamberg,1.099822998046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09472_Bayreuth,1.31622314453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09473_Coburg,1.8708343505859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09474_Forchheim,1.0140380859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09475_Hof,1.0525054931640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09476_Kronach,1.882293701171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09477_Kulmbach,1.1144256591796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09478_Lichtenfels,1.099853515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,1.0581207275390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09561_Ansbach,0.31158447265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09562_Erlangen,0.7490386962890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09563_Fürth,-0.2666778564453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09564_Nürnberg,0.1583709716796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09565_Schwabach,0.0171356201171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09571_Ansbach,0.52203369140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09572_Erlangen-Höchstadt,0.957916259765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09573_Fürth,0.1203765869140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09574_Nürnberger Land,1.2756195068359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,0.9103546142578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09576_Roth,0.5909423828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,0.77850341796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09661_Aschaffenburg,0.6920013427734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
