region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09163_Rosenheim,16.152130126953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09171_Altötting,13.564682006835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09172_Berchtesgadener Land,16.326431274414062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,17.432662963867188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09174_Dachau,13.83355712890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09175_Ebersberg,15.234283447265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09176_Eichstätt,9.965896606445312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09177_Erding,13.80267333984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09178_Freising,12.749649047851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09179_Fürstenfeldbruck,14.185317993164062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09180_Garmisch-Partenkirchen,17.422698974609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09181_Landsberg am Lech,15.31878662109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09182_Miesbach,16.838302612304688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09183_Mühldorf a. Inn,13.8973388671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09184_München,15.865280151367188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09185_Neuburg-Schrobenhausen,10.985931396484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,12.158157348632812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09187_Rosenheim,15.937942504882812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09188_Starnberg,15.6396484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09189_Traunstein,16.665725708007812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09190_Weilheim-Schongau,17.393447875976562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09261_Landshut,12.29010009765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09262_Passau,13.547943115234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09263_Straubing,10.123855590820312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09271_Deggendorf,11.202880859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09272_Freyung-Grafenau,14.068008422851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09273_Kelheim,10.310806274414062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09274_Landshut,11.64312744140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09275_Passau,13.512802124023438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09276_Regen,13.382720947265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09277_Rottal-Inn,13.715469360351562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09278_Straubing-Bogen,10.230972290039062,DD,year,days_with_precipitation_amount_below_threshold,days,7
