region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09187_Rosenheim,-6.5354766845703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09188_Starnberg,-6.9779052734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09189_Traunstein,-6.6035919189453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09190_Weilheim-Schongau,-7.854522705078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09261_Landshut,-6.8863677978515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09262_Passau,-6.4209136962890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09263_Straubing,-7.7378997802734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09271_Deggendorf,-6.1144561767578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09272_Freyung-Grafenau,-5.25732421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09273_Kelheim,-6.3248748779296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09274_Landshut,-6.08770751953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09275_Passau,-5.8723297119140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09276_Regen,-5.4976959228515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09277_Rottal-Inn,-6.239959716796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09278_Straubing-Bogen,-6.470458984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09279_Dingolfing-Landau,-6.9236602783203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09361_Amberg,-6.9913177490234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09362_Regensburg,-7.212249755859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09363_Weiden i.d. OPf.,-6.997589111328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09371_Amberg-Sulzbach,-6.8763885498046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09372_Cham,-6.0466156005859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-6.4124298095703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-7.1593017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09375_Regensburg,-6.294708251953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09376_Schwandorf,-6.778564453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09377_Tirschenreuth,-8.427886962890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09461_Bamberg,-8.149642944335938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09462_Bayreuth,-6.78192138671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09463_Coburg,-6.2434844970703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09464_Hof,-8.6451416015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09471_Bamberg,-8.112701416015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09472_Bayreuth,-7.8714599609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09473_Coburg,-6.3856048583984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09474_Forchheim,-8.772018432617188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09475_Hof,-7.6920166015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09476_Kronach,-6.6551055908203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09477_Kulmbach,-7.8589019775390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09478_Lichtenfels,-7.2254638671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-8.496902465820312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09561_Ansbach,-7.142486572265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09562_Erlangen,-10.634445190429688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09563_Fürth,-8.6094970703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09564_Nürnberg,-9.036453247070312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09565_Schwabach,-8.246047973632812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09571_Ansbach,-5.8555450439453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09572_Erlangen-Höchstadt,-9.922866821289062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09573_Fürth,-8.043746948242188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09574_Nürnberger Land,-7.1932373046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
