region,DD_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08211_Baden-Baden,16.053665161132812,DD,year,days_with_precipitation_amount_below_threshold,days,7
08212_Karlsruhe,14.331329345703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08215_Karlsruhe,13.697494506835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
08216_Rastatt,15.87408447265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08221_Heidelberg,11.852096557617188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08222_Mannheim,10.5787353515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,10.842132568359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08226_Rhein-Neckar-Kreis,11.62469482421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08231_Pforzheim,13.51239013671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08235_Calw,15.027679443359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08236_Enzkreis,13.704788208007812,DD,year,days_with_precipitation_amount_below_threshold,days,7
08237_Freudenstadt,14.80621337890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08311_Freiburg im Breisgau,17.016677856445312,DD,year,days_with_precipitation_amount_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,16.017822265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08316_Emmendingen,17.166763305664062,DD,year,days_with_precipitation_amount_below_threshold,days,7
08317_Ortenaukreis,15.256439208984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08325_Rottweil,15.888671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,15.74847412109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08327_Tuttlingen,14.479354858398438,DD,year,days_with_precipitation_amount_below_threshold,days,7
08335_Konstanz,13.568008422851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
08336_Lörrach,16.932205200195312,DD,year,days_with_precipitation_amount_below_threshold,days,7
08337_Waldshut,14.154449462890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08415_Reutlingen,14.1260986328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08416_Tübingen,14.799118041992188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08417_Zollernalbkreis,16.002197265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08421_Ulm,10.968917846679688,DD,year,days_with_precipitation_amount_below_threshold,days,7
08425_Alb-Donau-Kreis,11.552536010742188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08426_Biberach,13.761810302734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08435_Bodenseekreis,12.830535888671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08436_Ravensburg,13.520645141601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
08437_Sigmaringen,14.205734252929688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09161_Ingolstadt,10.113540649414062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09162_München,14.2218017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09163_Rosenheim,15.116073608398438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09171_Altötting,12.990219116210938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09172_Berchtesgadener Land,15.992446899414062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,17.123779296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09174_Dachau,13.807403564453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09175_Ebersberg,14.048080444335938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09176_Eichstätt,8.170318603515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09177_Erding,12.614761352539062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09178_Freising,12.0867919921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09179_Fürstenfeldbruck,14.217315673828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09180_Garmisch-Partenkirchen,17.318557739257812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09181_Landsberg am Lech,15.30633544921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09182_Miesbach,16.408493041992188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09183_Mühldorf a. Inn,12.618011474609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09184_München,14.793426513671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09185_Neuburg-Schrobenhausen,9.961090087890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,10.962554931640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09187_Rosenheim,15.377838134765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09188_Starnberg,15.249786376953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09189_Traunstein,16.08868408203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09190_Weilheim-Schongau,17.3153076171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09261_Landshut,11.166519165039062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09262_Passau,12.606643676757812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09263_Straubing,8.053298950195312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09271_Deggendorf,9.524978637695312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09272_Freyung-Grafenau,13.712295532226562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09273_Kelheim,8.15374755859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09274_Landshut,10.80352783203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09275_Passau,12.73779296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09276_Regen,12.998779296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09277_Rottal-Inn,12.555801391601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09278_Straubing-Bogen,8.541641235351562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09279_Dingolfing-Landau,9.996658325195312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09361_Amberg,8.300003051757812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09362_Regensburg,8.077789306640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09363_Weiden i.d. OPf.,9.521728515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09371_Amberg-Sulzbach,8.35906982421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09372_Cham,10.844009399414062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09373_Neumarkt i.d. OPf.,7.9546051025390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,9.71221923828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09375_Regensburg,7.5307159423828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09376_Schwandorf,8.8905029296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09377_Tirschenreuth,10.860137939453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09461_Bamberg,8.52459716796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09462_Bayreuth,9.583740234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09463_Coburg,10.321762084960938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09464_Hof,15.022811889648438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09471_Bamberg,8.499481201171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09472_Bayreuth,9.511505126953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09473_Coburg,9.845077514648438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09474_Forchheim,8.7403564453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09475_Hof,13.92376708984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09476_Kronach,11.924407958984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09477_Kulmbach,10.265304565429688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09478_Lichtenfels,9.446762084960938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,11.770095825195312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09561_Ansbach,9.686752319335938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09562_Erlangen,8.5318603515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09563_Fürth,9.443283081054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09564_Nürnberg,8.704544067382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09565_Schwabach,8.659591674804688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09571_Ansbach,9.702224731445312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09572_Erlangen-Höchstadt,8.41973876953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09573_Fürth,9.614212036132812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09574_Nürnberger Land,7.67718505859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,9.896560668945312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09576_Roth,8.32647705078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,8.934524536132812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09661_Aschaffenburg,10.00823974609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09662_Schweinfurt,8.375198364257812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09663_Würzburg,8.117355346679688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09671_Aschaffenburg,10.424606323242188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09672_Bad Kissingen,10.6219482421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
