region,DSx5_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
06636_Werra-Meißner-Kreis,0.1628462,DSx5,year,dry_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,0.44921896,DSx5,year,dry_spell_duration,days,7
07111_Koblenz,0.3979318,DSx5,year,dry_spell_duration,days,7
07131_Ahrweiler,0.51208234,DSx5,year,dry_spell_duration,days,7
07132_Altenkirchen (Westerwald),0.37550676,DSx5,year,dry_spell_duration,days,7
07133_Bad Kreuznach,0.49523905,DSx5,year,dry_spell_duration,days,7
07134_Birkenfeld,0.4828744,DSx5,year,dry_spell_duration,days,7
07135_Cochem-Zell,0.4617274,DSx5,year,dry_spell_duration,days,7
07137_Mayen-Koblenz,0.4202427,DSx5,year,dry_spell_duration,days,7
07138_Neuwied,0.4007709,DSx5,year,dry_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,0.39573598,DSx5,year,dry_spell_duration,days,7
07141_Rhein-Lahn-Kreis,0.43660092,DSx5,year,dry_spell_duration,days,7
07143_Westerwaldkreis,0.48867384,DSx5,year,dry_spell_duration,days,7
07211_07235_Region_um_Trier,0.6246568,DSx5,year,dry_spell_duration,days,7
07211_Trier,0.66385263,DSx5,year,dry_spell_duration,days,7
07231_Bernkastel-Wittlich,0.58756435,DSx5,year,dry_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,0.5869348,DSx5,year,dry_spell_duration,days,7
07233_Vulkaneifel,0.6071289,DSx5,year,dry_spell_duration,days,7
07235_Trier-Saarburg,0.62022763,DSx5,year,dry_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),0.233767,DSx5,year,dry_spell_duration,days,7
07311_Frankenthal (Pfalz),0.2931198,DSx5,year,dry_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,0.38116452,DSx5,year,dry_spell_duration,days,7
07312_Kaiserslautern,0.45910743,DSx5,year,dry_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,0.2890162,DSx5,year,dry_spell_duration,days,7
07313_Landau in der Pfalz,0.2687829,DSx5,year,dry_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,0.23924315,DSx5,year,dry_spell_duration,days,7
07314_Ludwigshafen am Rhein,0.26832187,DSx5,year,dry_spell_duration,days,7
