region,ci_name,ci_frequency,standard_name,units,mid_month,DSx5_year_2C_rcp85_ensemble-robustness
08327_Tuttlingen,DSx5,year,dry_spell_duration,days,7,
08335_Konstanz,DSx5,year,dry_spell_duration,days,7,
08336_Lörrach,DSx5,year,dry_spell_duration,days,7,
08337_Waldshut,DSx5,year,dry_spell_duration,days,7,
08415_Reutlingen,DSx5,year,dry_spell_duration,days,7,
08416_Tübingen,DSx5,year,dry_spell_duration,days,7,
08417_Zollernalbkreis,DSx5,year,dry_spell_duration,days,7,
08421_08425_09775_Region_um_Ulm,DSx5,year,dry_spell_duration,days,7,
08421_Ulm,DSx5,year,dry_spell_duration,days,7,
08425_Alb-Donau-Kreis,DSx5,year,dry_spell_duration,days,7,
08426_Biberach,DSx5,year,dry_spell_duration,days,7,
08435_Bodenseekreis,DSx5,year,dry_spell_duration,days,7,
08436_Ravensburg,DSx5,year,dry_spell_duration,days,7,
08437_Sigmaringen,DSx5,year,dry_spell_duration,days,7,
09161_09176_09185_09186_Region_um_Ingolstadt,DSx5,year,dry_spell_duration,days,7,
09161_Ingolstadt,DSx5,year,dry_spell_duration,days,7,
09162_09184_09179_09174_Region_um_München,DSx5,year,dry_spell_duration,days,7,
09162_München,DSx5,year,dry_spell_duration,days,7,
09163_09187_Region_um_Rosenheim,DSx5,year,dry_spell_duration,days,7,
09163_Rosenheim,DSx5,year,dry_spell_duration,days,7,
09171_Altötting,DSx5,year,dry_spell_duration,days,7,
09172_Berchtesgadener Land,DSx5,year,dry_spell_duration,days,7,
09173_Bad Tölz-Wolfratshausen,DSx5,year,dry_spell_duration,days,7,
09174_Dachau,DSx5,year,dry_spell_duration,days,7,
09175_Ebersberg,DSx5,year,dry_spell_duration,days,7,
09176_Eichstätt,DSx5,year,dry_spell_duration,days,7,
09177_Erding,DSx5,year,dry_spell_duration,days,7,
09178_Freising,DSx5,year,dry_spell_duration,days,7,
09179_Fürstenfeldbruck,DSx5,year,dry_spell_duration,days,7,
09180_Garmisch-Partenkirchen,DSx5,year,dry_spell_duration,days,7,
09181_Landsberg am Lech,DSx5,year,dry_spell_duration,days,7,
09182_Miesbach,DSx5,year,dry_spell_duration,days,7,
09183_Mühldorf a. Inn,DSx5,year,dry_spell_duration,days,7,
09184_München,DSx5,year,dry_spell_duration,days,7,
09185_Neuburg-Schrobenhausen,DSx5,year,dry_spell_duration,days,7,
09186_Pfaffenhofen a.d. Ilm,DSx5,year,dry_spell_duration,days,7,
09187_Rosenheim,DSx5,year,dry_spell_duration,days,7,
09188_Starnberg,DSx5,year,dry_spell_duration,days,7,
09189_Traunstein,DSx5,year,dry_spell_duration,days,7,
09190_Weilheim-Schongau,DSx5,year,dry_spell_duration,days,7,
09261_09274_Region_um_Landshut,DSx5,year,dry_spell_duration,days,7,
09261_Landshut,DSx5,year,dry_spell_duration,days,7,
09262_09275_Region_um_Passau,DSx5,year,dry_spell_duration,days,7,
09262_Passau,DSx5,year,dry_spell_duration,days,7,
09263_09278_Region_um_Straubing,DSx5,year,dry_spell_duration,days,7,
09263_Straubing,DSx5,year,dry_spell_duration,days,7,
09271_Deggendorf,DSx5,year,dry_spell_duration,days,7,
09272_Freyung-Grafenau,DSx5,year,dry_spell_duration,days,7,
09273_Kelheim,DSx5,year,dry_spell_duration,days,7,
