region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
07320_Zweibrücken,0.2587919235229492,DSx5,year,dry_spell_duration,days,7
07331_Alzey-Worms,0.02460479736328125,DSx5,year,dry_spell_duration,days,7
07332_Bad Dürkheim,0.03121662139892578,DSx5,year,dry_spell_duration,days,7
07333_Donnersbergkreis,0.09325218200683594,DSx5,year,dry_spell_duration,days,7
07334_Germersheim,0.01422119140625,DSx5,year,dry_spell_duration,days,7
07335_Kaiserslautern,0.028188705444335938,DSx5,year,dry_spell_duration,days,7
07336_Kusel,0.13220596313476562,DSx5,year,dry_spell_duration,days,7
07337_Südliche Weinstraße,0.16742706298828125,DSx5,year,dry_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,0.003513336181640625,DSx5,year,dry_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,-0.08701801300048828,DSx5,year,dry_spell_duration,days,7
07339_Mainz-Bingen,0.08428764343261719,DSx5,year,dry_spell_duration,days,7
07340_Südwestpfalz,0.11803245544433594,DSx5,year,dry_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.19993209838867188,DSx5,year,dry_spell_duration,days,7
08111_Stuttgart,0.27997303009033203,DSx5,year,dry_spell_duration,days,7
08115_Böblingen,0.0710601806640625,DSx5,year,dry_spell_duration,days,7
08116_Esslingen,0.09704017639160156,DSx5,year,dry_spell_duration,days,7
08117_Göppingen,0.10211944580078125,DSx5,year,dry_spell_duration,days,7
08118_Ludwigsburg,0.03993415832519531,DSx5,year,dry_spell_duration,days,7
08119_Rems-Murr-Kreis,0.18537235260009766,DSx5,year,dry_spell_duration,days,7
08121_08125_Region_um_Heilbronn,0.032398223876953125,DSx5,year,dry_spell_duration,days,7
08121_Heilbronn,-0.09946632385253906,DSx5,year,dry_spell_duration,days,7
08125_Heilbronn,0.052280426025390625,DSx5,year,dry_spell_duration,days,7
08126_Hohenlohekreis,0.13744258880615234,DSx5,year,dry_spell_duration,days,7
