region,DSx5_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
07335_Kaiserslautern,2.3090710639953613,DSx5,year,dry_spell_duration,days,7
07336_Kusel,2.379570960998535,DSx5,year,dry_spell_duration,days,7
07337_Südliche Weinstraße,1.5865392684936523,DSx5,year,dry_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,1.7106962203979492,DSx5,year,dry_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,1.751826286315918,DSx5,year,dry_spell_duration,days,7
07339_Mainz-Bingen,1.7520904541015625,DSx5,year,dry_spell_duration,days,7
07340_Südwestpfalz,2.1181745529174805,DSx5,year,dry_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,1.9064888954162598,DSx5,year,dry_spell_duration,days,7
08111_Stuttgart,1.6878061294555664,DSx5,year,dry_spell_duration,days,7
08115_Böblingen,1.834040641784668,DSx5,year,dry_spell_duration,days,7
08116_Esslingen,1.6401023864746094,DSx5,year,dry_spell_duration,days,7
08117_Göppingen,1.6738128662109375,DSx5,year,dry_spell_duration,days,7
08118_Ludwigsburg,1.9151573181152344,DSx5,year,dry_spell_duration,days,7
08119_Rems-Murr-Kreis,1.5540337562561035,DSx5,year,dry_spell_duration,days,7
08121_08125_Region_um_Heilbronn,1.8443965911865234,DSx5,year,dry_spell_duration,days,7
08121_Heilbronn,1.7688102722167969,DSx5,year,dry_spell_duration,days,7
08125_Heilbronn,1.8469023704528809,DSx5,year,dry_spell_duration,days,7
08126_Hohenlohekreis,1.6359081268310547,DSx5,year,dry_spell_duration,days,7
08127_Schwäbisch Hall,1.4539966583251953,DSx5,year,dry_spell_duration,days,7
08128_Main-Tauber-Kreis,1.6102895736694336,DSx5,year,dry_spell_duration,days,7
08135_Heidenheim,1.485908031463623,DSx5,year,dry_spell_duration,days,7
08136_Ostalbkreis,1.6792998313903809,DSx5,year,dry_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,2.1215085983276367,DSx5,year,dry_spell_duration,days,7
08211_Baden-Baden,2.0813989639282227,DSx5,year,dry_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,1.8046445846557617,DSx5,year,dry_spell_duration,days,7
