region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07315_Mainz,-2.394594192504883,DSx5,year,dry_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,-1.7957382202148438,DSx5,year,dry_spell_duration,days,7
07316_Neustadt an der Weinstraße,-1.9395427703857422,DSx5,year,dry_spell_duration,days,7
07317_07340_Region_um_Pirmasens,-2.4607162475585938,DSx5,year,dry_spell_duration,days,7
07317_Pirmasens,-2.842662811279297,DSx5,year,dry_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,-2.406606674194336,DSx5,year,dry_spell_duration,days,7
07318_Speyer,-2.9202423095703125,DSx5,year,dry_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,-1.8803882598876953,DSx5,year,dry_spell_duration,days,7
07319_Worms,-1.6916589736938477,DSx5,year,dry_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,-2.4519643783569336,DSx5,year,dry_spell_duration,days,7
07320_Zweibrücken,-2.3474206924438477,DSx5,year,dry_spell_duration,days,7
07331_Alzey-Worms,-2.350996971130371,DSx5,year,dry_spell_duration,days,7
07332_Bad Dürkheim,-1.7973461151123047,DSx5,year,dry_spell_duration,days,7
07333_Donnersbergkreis,-1.935053825378418,DSx5,year,dry_spell_duration,days,7
07334_Germersheim,-2.4029321670532227,DSx5,year,dry_spell_duration,days,7
07335_Kaiserslautern,-2.3034868240356445,DSx5,year,dry_spell_duration,days,7
07336_Kusel,-2.484294891357422,DSx5,year,dry_spell_duration,days,7
07337_Südliche Weinstraße,-1.8147211074829102,DSx5,year,dry_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,-2.062999725341797,DSx5,year,dry_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,-2.214508056640625,DSx5,year,dry_spell_duration,days,7
07339_Mainz-Bingen,-1.9952526092529297,DSx5,year,dry_spell_duration,days,7
07340_Südwestpfalz,-2.434208869934082,DSx5,year,dry_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,-2.101869583129883,DSx5,year,dry_spell_duration,days,7
08111_Stuttgart,-2.006643295288086,DSx5,year,dry_spell_duration,days,7
08115_Böblingen,-2.2491025924682617,DSx5,year,dry_spell_duration,days,7
08116_Esslingen,-1.9288225173950195,DSx5,year,dry_spell_duration,days,7
08117_Göppingen,-2.2149438858032227,DSx5,year,dry_spell_duration,days,7
08118_Ludwigsburg,-2.1447954177856445,DSx5,year,dry_spell_duration,days,7
08119_Rems-Murr-Kreis,-2.223957061767578,DSx5,year,dry_spell_duration,days,7
08121_08125_Region_um_Heilbronn,-2.317996025085449,DSx5,year,dry_spell_duration,days,7
08121_Heilbronn,-2.6682538986206055,DSx5,year,dry_spell_duration,days,7
08125_Heilbronn,-2.2837934494018555,DSx5,year,dry_spell_duration,days,7
08126_Hohenlohekreis,-1.9733943939208984,DSx5,year,dry_spell_duration,days,7
08127_Schwäbisch Hall,-1.6795454025268555,DSx5,year,dry_spell_duration,days,7
08128_Main-Tauber-Kreis,-1.392685890197754,DSx5,year,dry_spell_duration,days,7
08135_Heidenheim,-1.6650381088256836,DSx5,year,dry_spell_duration,days,7
08136_Ostalbkreis,-1.3522777557373047,DSx5,year,dry_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,-1.6657228469848633,DSx5,year,dry_spell_duration,days,7
08211_Baden-Baden,-2.049086570739746,DSx5,year,dry_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,-2.393373489379883,DSx5,year,dry_spell_duration,days,7
