region,DSx5_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
06632_Hersfeld-Rotenburg,7.180061340332031,DSx5,year,dry_spell_duration,days,7
06633_Kassel,8.937356948852539,DSx5,year,dry_spell_duration,days,7
06634_Schwalm-Eder-Kreis,8.827775955200195,DSx5,year,dry_spell_duration,days,7
06635_Waldeck-Frankenberg,10.111818313598633,DSx5,year,dry_spell_duration,days,7
06636_Werra-Meißner-Kreis,8.740631103515625,DSx5,year,dry_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,10.379291534423828,DSx5,year,dry_spell_duration,days,7
07111_Koblenz,11.10806655883789,DSx5,year,dry_spell_duration,days,7
07131_Ahrweiler,11.103525161743164,DSx5,year,dry_spell_duration,days,7
07132_Altenkirchen (Westerwald),8.920530319213867,DSx5,year,dry_spell_duration,days,7
07133_Bad Kreuznach,9.755607604980469,DSx5,year,dry_spell_duration,days,7
07134_Birkenfeld,9.439302444458008,DSx5,year,dry_spell_duration,days,7
07135_Cochem-Zell,10.655633926391602,DSx5,year,dry_spell_duration,days,7
07137_Mayen-Koblenz,11.346223831176758,DSx5,year,dry_spell_duration,days,7
07138_Neuwied,9.935247421264648,DSx5,year,dry_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,10.503341674804688,DSx5,year,dry_spell_duration,days,7
07141_Rhein-Lahn-Kreis,10.309076309204102,DSx5,year,dry_spell_duration,days,7
07143_Westerwaldkreis,9.562467575073242,DSx5,year,dry_spell_duration,days,7
07211_07235_Region_um_Trier,10.903984069824219,DSx5,year,dry_spell_duration,days,7
07211_Trier,10.547990798950195,DSx5,year,dry_spell_duration,days,7
07231_Bernkastel-Wittlich,11.28951644897461,DSx5,year,dry_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,11.937768936157227,DSx5,year,dry_spell_duration,days,7
07233_Vulkaneifel,11.967315673828125,DSx5,year,dry_spell_duration,days,7
07235_Trier-Saarburg,10.944211959838867,DSx5,year,dry_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),9.27791976928711,DSx5,year,dry_spell_duration,days,7
07311_Frankenthal (Pfalz),11.398109436035156,DSx5,year,dry_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,8.501663208007812,DSx5,year,dry_spell_duration,days,7
07312_Kaiserslautern,9.087696075439453,DSx5,year,dry_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,10.493486404418945,DSx5,year,dry_spell_duration,days,7
07313_Landau in der Pfalz,10.387954711914062,DSx5,year,dry_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,9.381254196166992,DSx5,year,dry_spell_duration,days,7
07314_Ludwigshafen am Rhein,10.290853500366211,DSx5,year,dry_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,11.916091918945312,DSx5,year,dry_spell_duration,days,7
07315_Mainz,14.09846305847168,DSx5,year,dry_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,8.883399963378906,DSx5,year,dry_spell_duration,days,7
07316_Neustadt an der Weinstraße,8.756555557250977,DSx5,year,dry_spell_duration,days,7
07317_07340_Region_um_Pirmasens,8.542022705078125,DSx5,year,dry_spell_duration,days,7
07317_Pirmasens,7.477067947387695,DSx5,year,dry_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,9.36277961730957,DSx5,year,dry_spell_duration,days,7
07318_Speyer,7.774265289306641,DSx5,year,dry_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,9.043251037597656,DSx5,year,dry_spell_duration,days,7
07319_Worms,11.432802200317383,DSx5,year,dry_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,8.96513557434082,DSx5,year,dry_spell_duration,days,7
07320_Zweibrücken,10.414600372314453,DSx5,year,dry_spell_duration,days,7
07331_Alzey-Worms,10.101961135864258,DSx5,year,dry_spell_duration,days,7
07332_Bad Dürkheim,7.596275329589844,DSx5,year,dry_spell_duration,days,7
07333_Donnersbergkreis,8.95062255859375,DSx5,year,dry_spell_duration,days,7
07334_Germersheim,8.586019515991211,DSx5,year,dry_spell_duration,days,7
07335_Kaiserslautern,9.237035751342773,DSx5,year,dry_spell_duration,days,7
07336_Kusel,9.73031234741211,DSx5,year,dry_spell_duration,days,7
07337_Südliche Weinstraße,10.508596420288086,DSx5,year,dry_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,8.526065826416016,DSx5,year,dry_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,9.51070785522461,DSx5,year,dry_spell_duration,days,7
07339_Mainz-Bingen,11.35639762878418,DSx5,year,dry_spell_duration,days,7
