region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08336_Lörrach,4.739810943603516,DSx5,year,dry_spell_duration,days,7
08337_Waldshut,5.45246696472168,DSx5,year,dry_spell_duration,days,7
08415_Reutlingen,3.5017356872558594,DSx5,year,dry_spell_duration,days,7
08416_Tübingen,3.507902145385742,DSx5,year,dry_spell_duration,days,7
08417_Zollernalbkreis,3.621408462524414,DSx5,year,dry_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,4.282062530517578,DSx5,year,dry_spell_duration,days,7
08421_Ulm,5.19795036315918,DSx5,year,dry_spell_duration,days,7
08425_Alb-Donau-Kreis,4.154436111450195,DSx5,year,dry_spell_duration,days,7
08426_Biberach,4.4056549072265625,DSx5,year,dry_spell_duration,days,7
08435_Bodenseekreis,3.7011451721191406,DSx5,year,dry_spell_duration,days,7
08436_Ravensburg,3.752206802368164,DSx5,year,dry_spell_duration,days,7
08437_Sigmaringen,3.475770950317383,DSx5,year,dry_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,4.447267532348633,DSx5,year,dry_spell_duration,days,7
09161_Ingolstadt,5.664499282836914,DSx5,year,dry_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,3.284791946411133,DSx5,year,dry_spell_duration,days,7
09162_München,3.1989288330078125,DSx5,year,dry_spell_duration,days,7
09163_09187_Region_um_Rosenheim,4.204291343688965,DSx5,year,dry_spell_duration,days,7
09163_Rosenheim,4.303812026977539,DSx5,year,dry_spell_duration,days,7
09171_Altötting,3.858919143676758,DSx5,year,dry_spell_duration,days,7
09172_Berchtesgadener Land,2.8178911209106445,DSx5,year,dry_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,2.5624923706054688,DSx5,year,dry_spell_duration,days,7
09174_Dachau,3.6440696716308594,DSx5,year,dry_spell_duration,days,7
09175_Ebersberg,4.377656936645508,DSx5,year,dry_spell_duration,days,7
09176_Eichstätt,3.6825942993164062,DSx5,year,dry_spell_duration,days,7
09177_Erding,3.3712825775146484,DSx5,year,dry_spell_duration,days,7
09178_Freising,3.22686767578125,DSx5,year,dry_spell_duration,days,7
09179_Fürstenfeldbruck,3.096040725708008,DSx5,year,dry_spell_duration,days,7
09180_Garmisch-Partenkirchen,2.667149543762207,DSx5,year,dry_spell_duration,days,7
09181_Landsberg am Lech,2.6459102630615234,DSx5,year,dry_spell_duration,days,7
09182_Miesbach,2.7672119140625,DSx5,year,dry_spell_duration,days,7
09183_Mühldorf a. Inn,4.283916473388672,DSx5,year,dry_spell_duration,days,7
09184_München,3.7003860473632812,DSx5,year,dry_spell_duration,days,7
09185_Neuburg-Schrobenhausen,5.709606170654297,DSx5,year,dry_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,4.235544204711914,DSx5,year,dry_spell_duration,days,7
09187_Rosenheim,4.201533317565918,DSx5,year,dry_spell_duration,days,7
09188_Starnberg,2.72637939453125,DSx5,year,dry_spell_duration,days,7
09189_Traunstein,3.751030921936035,DSx5,year,dry_spell_duration,days,7
09190_Weilheim-Schongau,2.8218040466308594,DSx5,year,dry_spell_duration,days,7
09261_09274_Region_um_Landshut,3.845785140991211,DSx5,year,dry_spell_duration,days,7
09261_Landshut,4.033882141113281,DSx5,year,dry_spell_duration,days,7
09262_09275_Region_um_Passau,4.819103240966797,DSx5,year,dry_spell_duration,days,7
09262_Passau,4.6979827880859375,DSx5,year,dry_spell_duration,days,7
09263_09278_Region_um_Straubing,3.5599403381347656,DSx5,year,dry_spell_duration,days,7
09263_Straubing,4.573093414306641,DSx5,year,dry_spell_duration,days,7
09271_Deggendorf,4.7274017333984375,DSx5,year,dry_spell_duration,days,7
09272_Freyung-Grafenau,4.718437194824219,DSx5,year,dry_spell_duration,days,7
