region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
07231_Bernkastel-Wittlich,-3.4292068481445312,FD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-5.28033447265625,FD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-6.49066162109375,FD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-3.8264923095703125,FD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),0.3871192932128906,FD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-2.752685546875,FD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-1.8241310119628906,FD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,0.15427780151367188,FD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-0.7991065979003906,FD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-0.31578826904296875,FD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-3.2107315063476562,FD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-0.6031150817871094,FD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,0.2188720703125,FD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-2.2461929321289062,FD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-0.8170509338378906,FD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-1.1908111572265625,FD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-2.3706092834472656,FD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-0.887969970703125,FD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-3.1283836364746094,FD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-3.4752578735351562,FD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-1.4732513427734375,FD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,0.017333984375,FD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-1.3902397155761719,FD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-3.379375457763672,FD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-3.9047927856445312,FD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-4.0301971435546875,FD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-5.11395263671875,FD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-5.4122161865234375,FD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-3.1677589416503906,FD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-4.747768402099609,FD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-2.0022354125976562,FD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-2.4025726318359375,FD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-4.323631286621094,FD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-4.877140045166016,FD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-3.4326820373535156,FD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-5.8948822021484375,FD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-5.284431457519531,FD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-3.732677459716797,FD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-0.22156524658203125,FD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-1.1985969543457031,FD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-3.9630966186523438,FD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-2.6024093627929688,FD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-0.40171051025390625,FD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-3.9672584533691406,FD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-2.2072296142578125,FD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-4.3522796630859375,FD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-6.3586883544921875,FD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-3.693714141845703,FD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-7.6275787353515625,FD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-3.0560073852539062,FD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-5.375694274902344,FD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-4.494174957275391,FD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-4.328517913818359,FD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-7.2009124755859375,FD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-7.731727600097656,FD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-7.6682586669921875,FD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-6.269458770751953,FD,year,days_with_air_temperature_below_threshold,days,7
