region,FD_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09276_Regen,-71.48546600341797,FD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-68.32157897949219,FD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-70.59931182861328,FD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-69.6761474609375,FD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-70.32530975341797,FD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-70.11370849609375,FD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-70.81914520263672,FD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-70.46781921386719,FD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-70.76827239990234,FD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-69.9507064819336,FD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-70.67508697509766,FD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-70.07079315185547,FD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-70.0999526977539,FD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-71.3468017578125,FD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-70.33696746826172,FD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-71.8145523071289,FD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-71.84738159179688,FD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-71.79195404052734,FD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-70.36327362060547,FD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-71.3349838256836,FD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-71.91876983642578,FD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-70.48374938964844,FD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-72.47178649902344,FD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-73.1843490600586,FD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-72.23477935791016,FD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-70.99607849121094,FD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-72.37425231933594,FD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-67.6151123046875,FD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-68.45004272460938,FD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-68.468505859375,FD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-68.87626647949219,FD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-67.89178466796875,FD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-67.6666030883789,FD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-69.1437759399414,FD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-67.94092559814453,FD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-69.97879791259766,FD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-68.6794204711914,FD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-68.38475799560547,FD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-69.46562957763672,FD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-67.25758361816406,FD,year,days_with_air_temperature_below_threshold,days,7
09662_Schweinfurt,-70.46180725097656,FD,year,days_with_air_temperature_below_threshold,days,7
09663_Würzburg,-71.80237579345703,FD,year,days_with_air_temperature_below_threshold,days,7
09671_Aschaffenburg,-67.60531616210938,FD,year,days_with_air_temperature_below_threshold,days,7
09672_Bad Kissingen,-71.2451400756836,FD,year,days_with_air_temperature_below_threshold,days,7
09673_Rhön-Grabfeld,-71.6192626953125,FD,year,days_with_air_temperature_below_threshold,days,7
09674_Haßberge,-70.74348449707031,FD,year,days_with_air_temperature_below_threshold,days,7
09675_Kitzingen,-70.03290557861328,FD,year,days_with_air_temperature_below_threshold,days,7
09676_Miltenberg,-67.5965805053711,FD,year,days_with_air_temperature_below_threshold,days,7
09677_Main-Spessart,-69.60148620605469,FD,year,days_with_air_temperature_below_threshold,days,7
09678_Schweinfurt,-69.95835876464844,FD,year,days_with_air_temperature_below_threshold,days,7
