region,FD_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09372_Cham,-26.673624,FD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-26.29963,FD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-26.95553,FD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-26.181595,FD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-26.671986,FD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-27.309147,FD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-24.986734,FD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-26.58479,FD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-25.696684,FD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-27.245523,FD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-25.248425,FD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-26.737995,FD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-26.04923,FD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-25.749187,FD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-27.260174,FD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-27.064953,FD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-26.610985,FD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-25.813675,FD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-27.568363,FD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-25.07745,FD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-24.397081,FD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-24.091503,FD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-24.435831,FD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-24.934364,FD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-25.074396,FD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-24.727318,FD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-24.617989,FD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-25.919746,FD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-24.315401,FD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-25.390404,FD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-25.748413,FD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-22.376572,FD,year,days_with_air_temperature_below_threshold,days,7
