region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09564_Nürnberg,-16.702145,FD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-16.95695,FD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-17.184256,FD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-16.897903,FD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-16.799099,FD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-17.803171,FD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-16.72465,FD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-17.38405,FD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-17.665684,FD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-15.399397,FD,year,days_with_air_temperature_below_threshold,days,7
09662_Schweinfurt,-16.785835,FD,year,days_with_air_temperature_below_threshold,days,7
09663_Würzburg,-16.00611,FD,year,days_with_air_temperature_below_threshold,days,7
09671_Aschaffenburg,-16.247494,FD,year,days_with_air_temperature_below_threshold,days,7
09672_Bad Kissingen,-17.71383,FD,year,days_with_air_temperature_below_threshold,days,7
09673_Rhön-Grabfeld,-18.164488,FD,year,days_with_air_temperature_below_threshold,days,7
09674_Haßberge,-17.250917,FD,year,days_with_air_temperature_below_threshold,days,7
09675_Kitzingen,-16.226305,FD,year,days_with_air_temperature_below_threshold,days,7
09676_Miltenberg,-16.43166,FD,year,days_with_air_temperature_below_threshold,days,7
09677_Main-Spessart,-16.807215,FD,year,days_with_air_temperature_below_threshold,days,7
09678_Schweinfurt,-16.765253,FD,year,days_with_air_temperature_below_threshold,days,7
09679_Würzburg,-16.16531,FD,year,days_with_air_temperature_below_threshold,days,7
09761_Augsburg,-17.015196,FD,year,days_with_air_temperature_below_threshold,days,7
09762_Kaufbeuren,-17.934296,FD,year,days_with_air_temperature_below_threshold,days,7
09763_Kempten (Allgäu),-18.089804,FD,year,days_with_air_temperature_below_threshold,days,7
09764_Memmingen,-18.047949,FD,year,days_with_air_temperature_below_threshold,days,7
09771_Aichach-Friedberg,-17.21777,FD,year,days_with_air_temperature_below_threshold,days,7
09772_Augsburg,-17.275612,FD,year,days_with_air_temperature_below_threshold,days,7
09773_Dillingen a.d. Donau,-17.490402,FD,year,days_with_air_temperature_below_threshold,days,7
09774_Günzburg,-17.350618,FD,year,days_with_air_temperature_below_threshold,days,7
09775_Neu-Ulm,-17.443129,FD,year,days_with_air_temperature_below_threshold,days,7
09776_Lindau (Bodensee),-18.01658,FD,year,days_with_air_temperature_below_threshold,days,7
09777_Ostallgäu,-17.827597,FD,year,days_with_air_temperature_below_threshold,days,7
09778_Unterallgäu,-17.787207,FD,year,days_with_air_temperature_below_threshold,days,7
09779_Donau-Ries,-17.487032,FD,year,days_with_air_temperature_below_threshold,days,7
09780_Oberallgäu,-18.021788,FD,year,days_with_air_temperature_below_threshold,days,7
10041_Regionalverband Saarbrücken,-14.793438,FD,year,days_with_air_temperature_below_threshold,days,7
10042_Merzig-Wadern,-15.867043,FD,year,days_with_air_temperature_below_threshold,days,7
10043_Neunkirchen,-15.606043,FD,year,days_with_air_temperature_below_threshold,days,7
10044_Saarlouis,-15.07276,FD,year,days_with_air_temperature_below_threshold,days,7
10045_Saarpfalz-Kreis,-15.290363,FD,year,days_with_air_temperature_below_threshold,days,7
10046_St. Wendel,-16.630102,FD,year,days_with_air_temperature_below_threshold,days,7
