region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
09363_Weiden i.d. OPf.,-18.34485626220703,FD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-18.57940673828125,FD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-18.521446228027344,FD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-18.39136505126953,FD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-18.6553955078125,FD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-18.741073608398438,FD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-18.440738677978516,FD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-18.850440979003906,FD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-18.46246337890625,FD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-17.93938446044922,FD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-18.5284423828125,FD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-18.885147094726562,FD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-17.9290771484375,FD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-18.32457733154297,FD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-18.874649047851562,FD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-18.09583282470703,FD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-18.298370361328125,FD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-18.701675415039062,FD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-18.735244750976562,FD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-18.656883239746094,FD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-18.902130126953125,FD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-18.22797393798828,FD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-17.957054138183594,FD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-17.823883056640625,FD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-18.264633178710938,FD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-17.639007568359375,FD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-17.942787170410156,FD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-18.0579833984375,FD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-18.118412017822266,FD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-18.08330535888672,FD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-17.78592300415039,FD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-18.572601318359375,FD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-18.397384643554688,FD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-16.0218563079834,FD,year,days_with_air_temperature_below_threshold,days,7
09662_Schweinfurt,-17.69281005859375,FD,year,days_with_air_temperature_below_threshold,days,7
09663_Würzburg,-17.142742156982422,FD,year,days_with_air_temperature_below_threshold,days,7
09671_Aschaffenburg,-16.885986328125,FD,year,days_with_air_temperature_below_threshold,days,7
09672_Bad Kissingen,-18.788772583007812,FD,year,days_with_air_temperature_below_threshold,days,7
09673_Rhön-Grabfeld,-18.833431243896484,FD,year,days_with_air_temperature_below_threshold,days,7
09674_Haßberge,-18.17694091796875,FD,year,days_with_air_temperature_below_threshold,days,7
09675_Kitzingen,-17.178733825683594,FD,year,days_with_air_temperature_below_threshold,days,7
09676_Miltenberg,-17.44550323486328,FD,year,days_with_air_temperature_below_threshold,days,7
09677_Main-Spessart,-17.437381744384766,FD,year,days_with_air_temperature_below_threshold,days,7
09678_Schweinfurt,-17.829391479492188,FD,year,days_with_air_temperature_below_threshold,days,7
