region,SU35_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
08126_Hohenlohekreis,0.741855,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08127_Schwäbisch Hall,0.5185641,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08128_Main-Tauber-Kreis,0.7409797,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08135_Heidenheim,0.31278902,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08136_Ostalbkreis,0.3759042,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_08216_Region_um_Baden-Baden,0.7652571,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_Baden-Baden,0.6184912,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08212_08215_07334_Region_um_Karlsruhe,1.4444642,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08212_Karlsruhe,1.5725238,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08215_Karlsruhe,1.3538376,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08216_Rastatt,0.79269236,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08221_08226_08222_Region_um_Heidelberg,1.297437,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08221_Heidelberg,1.2909455,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,1.3485452,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08222_Mannheim,1.8476454,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08225_Neckar-Odenwald-Kreis,0.7186953,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08226_Rhein-Neckar-Kreis,1.2210358,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08231_08236_08235_Region_um_Pforzheim,0.4222622,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08231_Pforzheim,0.55891705,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08235_Calw,0.2012818,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
