region,SU35_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05916_Herne,0.5156903862953186,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05954_Ennepe-Ruhr-Kreis,0.148512601852417,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05958_Hochsauerlandkreis,0.021565550938248634,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05962_Märkischer Kreis,0.05977962911128998,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05966_Olpe,0.024845294654369354,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05970_Siegen-Wittgenstein,0.019883112981915474,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05974_Soest,0.15585263073444366,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05978_Unna,0.32227569818496704,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_06432_06438_Region_um_Darmstadt,0.9057731628417969,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_Darmstadt,0.9545173645019531,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.5907076597213745,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_Frankfurt am Main,1.0351788997650146,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.6187230944633484,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_Offenbach am Main,1.1002373695373535,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.6696269512176514,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_Wiesbaden,0.6441850662231445,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06431_Bergstraße,0.9250861406326294,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06432_Darmstadt-Dieburg,0.8195382356643677,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06433_Groß-Gerau,1.1915326118469238,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06434_Hochtaunuskreis,0.35560286045074463,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06435_Main-Kinzig-Kreis,0.41503003239631653,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.5854992866516113,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_Main-Taunus-Kreis,0.6838117837905884,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06437_Odenwaldkreis,0.2927784025669098,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,0.7509669661521912,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_Offenbach,1.0549758672714233,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06439_Rheingau-Taunus-Kreis,0.24070103466510773,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06440_Wetteraukreis,0.4748407006263733,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06531_Gießen,0.34929391741752625,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06532_Lahn-Dill-Kreis,0.16019588708877563,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06533_Limburg-Weilburg,0.2909952998161316,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06534_Marburg-Biedenkopf,0.15461789071559906,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06535_Vogelsbergkreis,0.11338795721530914,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_06633_03159_Region_um_Kassel,0.13238579034805298,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_Kassel,0.1713891327381134,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06631_Fulda,0.0776081532239914,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06632_Hersfeld-Rotenburg,0.13392172753810883,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06633_Kassel,0.1400701254606247,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06634_Schwalm-Eder-Kreis,0.1320764422416687,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06635_Waldeck-Frankenberg,0.06549059599637985,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06636_Werra-Meißner-Kreis,0.1293368935585022,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_07137_07141_07143_Region_um_Koblenz,0.21321341395378113,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_Koblenz,0.29370802640914917,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07131_Ahrweiler,0.10758685320615768,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07132_Altenkirchen (Westerwald),0.08072754740715027,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07133_Bad Kreuznach,0.32079777121543884,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07134_Birkenfeld,0.053603947162628174,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07135_Cochem-Zell,0.14977620542049408,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07137_Mayen-Koblenz,0.24428778886795044,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07138_Neuwied,0.27595680952072144,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07140_Rhein-Hunsrück-Kreis,0.1160430759191513,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07141_Rhein-Lahn-Kreis,0.27976658940315247,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07143_Westerwaldkreis,0.09548856317996979,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_07235_Region_um_Trier,0.13563868403434753,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_Trier,0.1582145392894745,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07231_Bernkastel-Wittlich,0.13104650378227234,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,0.07952304184436798,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07233_Vulkaneifel,0.018751423805952072,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07235_Trier-Saarburg,0.14111752808094025,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),1.3849267959594727,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_Frankenthal (Pfalz),1.4302027225494385,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_07335_07332_Region_um_Kaiserslautern,0.5062333941459656,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_Kaiserslautern,0.22891657054424286,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,0.8087704181671143,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_Landau in der Pfalz,0.7288610339164734,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,1.3846265077590942,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_Ludwigshafen am Rhein,1.4441494941711426,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_07339_06414_06433_Region_um_Mainz,0.8747318983078003,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_Mainz,0.8556355237960815,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,0.8252947330474854,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_Neustadt an der Weinstraße,0.9507330060005188,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_07340_Region_um_Pirmasens,0.24893689155578613,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_Pirmasens,0.24897357821464539,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,1.200119972229004,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_Speyer,1.4982800483703613,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,1.047394037246704,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_Worms,1.2669671773910522,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,0.23770494759082794,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_Zweibrücken,0.2666666507720947,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07331_Alzey-Worms,0.786651074886322,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07332_Bad Dürkheim,0.7401577234268188,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07333_Donnersbergkreis,0.33325842022895813,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07334_Germersheim,1.4870681762695312,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07335_Kaiserslautern,0.26001450419425964,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07336_Kusel,0.24894914031028748,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07337_Südliche Weinstraße,0.8111109733581543,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,1.096146583557129,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_Rhein-Pfalz-Kreis,1.3721981048583984,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07339_Mainz-Bingen,0.7214901447296143,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07340_Südwestpfalz,0.2542591691017151,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.3601800203323364,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_Stuttgart,0.43556639552116394,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08115_Böblingen,0.23486118018627167,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08116_Esslingen,0.29819297790527344,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08117_Göppingen,0.13805516064167023,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08118_Ludwigsburg,0.7258116602897644,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08119_Rems-Murr-Kreis,0.3955944776535034,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_08125_Region_um_Heilbronn,0.897235631942749,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_Heilbronn,1.0150361061096191,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08125_Heilbronn,0.8935315012931824,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08126_Hohenlohekreis,0.4320143461227417,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08127_Schwäbisch Hall,0.24430857598781586,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08128_Main-Tauber-Kreis,0.34647804498672485,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08135_Heidenheim,0.15267331898212433,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08136_Ostalbkreis,0.1408313661813736,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_08216_Region_um_Baden-Baden,0.5759929418563843,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
