region,ci_name,ci_frequency,standard_name,units,mid_month,SU35_year_4C_rcp85_ensemble-robustness
06439_Rheingau-Taunus-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06440_Wetteraukreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06531_Gießen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06532_Lahn-Dill-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06533_Limburg-Weilburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06534_Marburg-Biedenkopf,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06535_Vogelsbergkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06611_06633_03159_Region_um_Kassel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06611_Kassel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06631_Fulda,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06632_Hersfeld-Rotenburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06633_Kassel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06634_Schwalm-Eder-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06635_Waldeck-Frankenberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06636_Werra-Meißner-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
07111_07137_07141_07143_Region_um_Koblenz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
07111_Koblenz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
07131_Ahrweiler,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
07132_Altenkirchen (Westerwald),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
07133_Bad Kreuznach,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
07134_Birkenfeld,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
