region,ci_name,ci_frequency,standard_name,units,mid_month,SU35_year_1.5C_rcp85_ensemble-robustness
07319_Worms,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07320_07340_10045_07317_Region_um_Zweibrücken,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07320_Zweibrücken,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07331_Alzey-Worms,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07332_Bad Dürkheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07333_Donnersbergkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07334_Germersheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07335_Kaiserslautern,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07336_Kusel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07337_Südliche Weinstraße,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07338_Rhein-Pfalz-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07339_Mainz-Bingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07340_Südwestpfalz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08111_08115_08116_08118_08119_Region_um_Stuttgart,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08111_Stuttgart,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08115_Böblingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08116_Esslingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08117_Göppingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08118_Ludwigsburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08119_Rems-Murr-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08121_08125_Region_um_Heilbronn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08121_Heilbronn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08125_Heilbronn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08126_Hohenlohekreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08127_Schwäbisch Hall,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08128_Main-Tauber-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08135_Heidenheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08136_Ostalbkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08211_08216_Region_um_Baden-Baden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08211_Baden-Baden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08212_08215_07334_Region_um_Karlsruhe,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08212_Karlsruhe,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08215_Karlsruhe,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08216_Rastatt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08221_08226_08222_Region_um_Heidelberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08221_Heidelberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
