region,SU35_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
06435_Main-Kinzig-Kreis,5.1331635,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,6.135553,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_Main-Taunus-Kreis,6.8992867,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06437_Odenwaldkreis,4.9453793,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,6.671287,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_Offenbach,8.63321,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06439_Rheingau-Taunus-Kreis,4.392685,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06440_Wetteraukreis,5.6835055,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06531_Gießen,4.8322167,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06532_Lahn-Dill-Kreis,3.503893,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06533_Limburg-Weilburg,4.2430396,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06534_Marburg-Biedenkopf,3.6569095,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06535_Vogelsbergkreis,3.2429829,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_06633_03159_Region_um_Kassel,2.8734984,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_Kassel,3.149907,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06631_Fulda,2.9218118,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06632_Hersfeld-Rotenburg,3.3847969,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06633_Kassel,3.011791,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06634_Schwalm-Eder-Kreis,3.3687098,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06635_Waldeck-Frankenberg,2.4809537,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06636_Werra-Meißner-Kreis,3.0005205,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_07137_07141_07143_Region_um_Koblenz,3.7572877,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_Koblenz,4.853378,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07131_Ahrweiler,2.7633474,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07132_Altenkirchen (Westerwald),2.911876,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07133_Bad Kreuznach,5.1141825,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07134_Birkenfeld,3.1415343,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07135_Cochem-Zell,3.56382,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07137_Mayen-Koblenz,3.9712045,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07138_Neuwied,4.0656676,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07140_Rhein-Hunsrück-Kreis,3.3456092,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07141_Rhein-Lahn-Kreis,4.148382,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07143_Westerwaldkreis,3.1492376,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_07235_Region_um_Trier,3.9857123,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_Trier,4.402858,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07231_Bernkastel-Wittlich,3.5661757,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,2.7681816,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07233_Vulkaneifel,2.0094757,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07235_Trier-Saarburg,3.938574,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),10.508972,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_Frankenthal (Pfalz),10.358436,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_07335_07332_Region_um_Kaiserslautern,5.943931,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_Kaiserslautern,5.1731844,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,7.605377,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_Landau in der Pfalz,7.3977795,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,10.491691,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_Ludwigshafen am Rhein,10.519698,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_07339_06414_06433_Region_um_Mainz,7.624141,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_Mainz,7.7288656,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,7.301395,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_Neustadt an der Weinstraße,7.5492916,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_07340_Region_um_Pirmasens,5.6831317,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_Pirmasens,5.474937,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,8.993407,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_Speyer,10.760407,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,7.9981647,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_Worms,9.246807,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,5.6976914,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_Zweibrücken,5.6869044,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07331_Alzey-Worms,7.508886,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07332_Bad Dürkheim,6.895113,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07333_Donnersbergkreis,5.6805534,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07334_Germersheim,10.013512,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07335_Kaiserslautern,5.2073793,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07336_Kusel,5.0147114,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07337_Südliche Weinstraße,7.6350994,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,8.64526,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_Rhein-Pfalz-Kreis,10.464784,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07339_Mainz-Bingen,6.9368796,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07340_Südwestpfalz,5.6975813,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,6.6232924,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_Stuttgart,7.4253616,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08115_Böblingen,5.7208066,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08116_Esslingen,6.106128,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08117_Göppingen,4.407815,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08118_Ludwigsburg,7.86473,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08119_Rems-Murr-Kreis,6.4610806,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_08125_Region_um_Heilbronn,7.968955,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_Heilbronn,8.625671,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08125_Heilbronn,7.90483,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08126_Hohenlohekreis,6.2579894,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08127_Schwäbisch Hall,5.271214,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
