region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08335_Konstanz,-0.026817351579666138,LFD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-0.06179213523864746,LFD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-0.0540614128112793,LFD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-0.0963735580444336,LFD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-0.10699653625488281,LFD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-0.20269393920898438,LFD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-0.27757692337036133,LFD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-0.3903360366821289,LFD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-0.4745417833328247,LFD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-0.025314927101135254,LFD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-0.474521279335022,LFD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-0.2837495803833008,LFD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-0.14250421524047852,LFD,year,days_with_air_temperature_below_threshold,days,7
09162_München,0.006762504577636719,LFD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-0.06582760810852051,LFD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-0.053301095962524414,LFD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-0.05743980407714844,LFD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-0.08514881134033203,LFD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-0.19733572006225586,LFD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-0.16717147827148438,LFD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-0.20459842681884766,LFD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-0.1224445104598999,LFD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-0.16933858394622803,LFD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-0.23372137546539307,LFD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,0.085845947265625,LFD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-0.39472317695617676,LFD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-0.08503532409667969,LFD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-0.08769059181213379,LFD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-0.21661913394927979,LFD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-0.15898293256759644,LFD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-0.15968340635299683,LFD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-0.10971581935882568,LFD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-0.27334868907928467,LFD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-0.11198997497558594,LFD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-0.2506418228149414,LFD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-0.11661875247955322,LFD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-0.3061370849609375,LFD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-0.03137040138244629,LFD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-0.1716470718383789,LFD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-0.4337797164916992,LFD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-0.2545762062072754,LFD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-0.1592332124710083,LFD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-0.26050567626953125,LFD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-0.4445629119873047,LFD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-0.11665099859237671,LFD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-0.24823212623596191,LFD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-0.1716761589050293,LFD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-0.13315141201019287,LFD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-0.2661588191986084,LFD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-0.16433274745941162,LFD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-0.13847088813781738,LFD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-0.34725451469421387,LFD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-0.13344573974609375,LFD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-0.3344998359680176,LFD,year,days_with_air_temperature_below_threshold,days,7
