region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
09562_Erlangen,-1.6963863372802734,LFD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-1.3108656406402588,LFD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-1.5148282051086426,LFD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-1.786189079284668,LFD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-1.966073989868164,LFD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-1.7441661357879639,LFD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-1.8095972537994385,LFD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-2.1233506202697754,LFD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-1.710418701171875,LFD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-2.082091808319092,LFD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-1.949249267578125,LFD,year,days_with_air_temperature_below_threshold,days,7
