region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07331_Alzey-Worms,-5.713274955749512,LFD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-5.395956993103027,LFD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-6.404460906982422,LFD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-4.636407852172852,LFD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-6.628488540649414,LFD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-6.846477508544922,LFD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-5.522759437561035,LFD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-4.32774543762207,LFD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-6.0611772537231445,LFD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-6.601078033447266,LFD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-5.654715061187744,LFD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-7.075937271118164,LFD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-6.6146745681762695,LFD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-7.528564453125,LFD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-6.477278709411621,LFD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-6.432049751281738,LFD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-4.998237609863281,LFD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-6.33475399017334,LFD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-7.1186065673828125,LFD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-7.650676727294922,LFD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-7.557292938232422,LFD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-8.376785278320312,LFD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-7.9142913818359375,LFD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-5.31337833404541,LFD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-4.055953502655029,LFD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-4.03564977645874,LFD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-5.414861679077148,LFD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-4.373697280883789,LFD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-4.158942222595215,LFD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-7.051309585571289,LFD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-4.540513038635254,LFD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-6.160615921020508,LFD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-7.363534927368164,LFD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-5.987897872924805,LFD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-7.897712707519531,LFD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-6.319072723388672,LFD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-8.633100509643555,LFD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-6.581957817077637,LFD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-5.853899002075195,LFD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-8.42552375793457,LFD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-9.584609985351562,LFD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-9.904726028442383,LFD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-9.093055725097656,LFD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-8.775278091430664,LFD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-9.225532531738281,LFD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-8.476560592651367,LFD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-7.404285430908203,LFD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-8.580530166625977,LFD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-8.497377395629883,LFD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-8.533283233642578,LFD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-9.227399826049805,LFD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-9.574468612670898,LFD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-9.438480377197266,LFD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-9.17465591430664,LFD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-8.308235168457031,LFD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-8.175342559814453,LFD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-9.477409362792969,LFD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-8.24715805053711,LFD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-9.351943969726562,LFD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-9.954479217529297,LFD,year,days_with_air_temperature_below_threshold,days,7
