region,LFD_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08437_Sigmaringen,-1.393934726715088,LFD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-0.9372497797012329,LFD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-1.0619715452194214,LFD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-1.0557578802108765,LFD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-0.8317567706108093,LFD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-3.67053484916687,LFD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-3.0031118392944336,LFD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-1.1993972063064575,LFD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-1.1446682214736938,LFD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-1.0859217643737793,LFD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-1.002312421798706,LFD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-1.0511211156845093,LFD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-1.192929744720459,LFD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-4.924051284790039,LFD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-1.7354573011398315,LFD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-3.030733585357666,LFD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-1.0064330101013184,LFD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-1.2749916315078735,LFD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-1.034278392791748,LFD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-1.0608139038085938,LFD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-1.3688302040100098,LFD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-1.1372606754302979,LFD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-1.7212738990783691,LFD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-1.8523911237716675,LFD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-1.16819167137146,LFD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-1.008179783821106,LFD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-0.863660991191864,LFD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-0.7908725738525391,LFD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-2.1397995948791504,LFD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-1.2065839767456055,LFD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-1.1451950073242188,LFD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-1.0834838151931763,LFD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-2.6478943824768066,LFD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-0.9181410670280457,LFD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-0.9851375818252563,LFD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-1.0035159587860107,LFD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-1.5532559156417847,LFD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-1.0181033611297607,LFD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-1.8768644332885742,LFD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-1.6465578079223633,LFD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-2.137490749359131,LFD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-1.697523593902588,LFD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-2.1495440006256104,LFD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-1.1998751163482666,LFD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-1.6492494344711304,LFD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-2.623908281326294,LFD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-0.7381120920181274,LFD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-1.8864095211029053,LFD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-0.8862760066986084,LFD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-3.02236270904541,LFD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-1.0394169092178345,LFD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-2.152663469314575,LFD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-1.0171421766281128,LFD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-1.3540723323822021,LFD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-3.1364517211914062,LFD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-2.288029670715332,LFD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-1.8746095895767212,LFD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-1.438816785812378,LFD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-2.8499717712402344,LFD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-1.4295322895050049,LFD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-0.7637283802032471,LFD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-0.7713085412979126,LFD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-0.824585497379303,LFD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-0.9543445706367493,LFD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-1.54916512966156,LFD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-0.8403167128562927,LFD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-0.9607875347137451,LFD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-1.532752275466919,LFD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-1.193081021308899,LFD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-1.173622727394104,LFD,year,days_with_air_temperature_below_threshold,days,7
