region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
13073_Vorpommern-Rügen,-0.09673698,DSf,year,dry_spell_frequency,,7
13074_Nordwestmecklenburg,-0.054558326,DSf,year,dry_spell_frequency,,7
13075_Vorpommern-Greifswald,-0.08054317,DSf,year,dry_spell_frequency,,7
14511_Chemnitz,-0.08337606,DSf,year,dry_spell_frequency,,7
14522_Mittelsachsen,-0.11464132,DSf,year,dry_spell_frequency,,7
14523_Vogtlandkreis,0.028597305,DSf,year,dry_spell_frequency,,7
14521_Erzgebirgskreis,0.023016227,DSf,year,dry_spell_frequency,,7
14524_Zwickau,-0.060281962,DSf,year,dry_spell_frequency,,7
14612_Dresden,-0.18655442,DSf,year,dry_spell_frequency,,7
14626_Görlitz,-0.1519222,DSf,year,dry_spell_frequency,,7
14625_Bautzen,-0.15365735,DSf,year,dry_spell_frequency,,7
14627_Meißen,-0.19318835,DSf,year,dry_spell_frequency,,7
14628_Sächsische Schweiz-Osterzgebirge,-0.13373733,DSf,year,dry_spell_frequency,,7
14713_Leipzig,-0.19669968,DSf,year,dry_spell_frequency,,7
14729_Leipzig,-0.17791735,DSf,year,dry_spell_frequency,,7
14730_Nordsachsen,-0.22601295,DSf,year,dry_spell_frequency,,7
15001_Dessau-Roßlau,-0.18670319,DSf,year,dry_spell_frequency,,7
15082_Anhalt-Bitterfeld,-0.19409107,DSf,year,dry_spell_frequency,,7
15091_Wittenberg,-0.26659286,DSf,year,dry_spell_frequency,,7
15002_Halle (Saale),-0.29759645,DSf,year,dry_spell_frequency,,7
15084_Burgenlandkreis,-0.21384948,DSf,year,dry_spell_frequency,,7
15088_Saalekreis,-0.24526177,DSf,year,dry_spell_frequency,,7
15087_Mansfeld-Südharz,-0.17462073,DSf,year,dry_spell_frequency,,7
15003_Magdeburg,-0.25518656,DSf,year,dry_spell_frequency,,7
15085_Harz,-0.100420326,DSf,year,dry_spell_frequency,,7
15086_Jerichower Land,-0.18382092,DSf,year,dry_spell_frequency,,7
15083_Börde,-0.21364556,DSf,year,dry_spell_frequency,,7
