region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09762_Kaufbeuren,-1.225935459136963,DSf,year,dry_spell_frequency,,7
09763_Kempten (Allgäu),-1.201737403869629,DSf,year,dry_spell_frequency,,7
09764_Memmingen,-1.124455451965332,DSf,year,dry_spell_frequency,,7
09771_Aichach-Friedberg,-0.8872251510620117,DSf,year,dry_spell_frequency,,7
09772_Augsburg,-0.8110589981079102,DSf,year,dry_spell_frequency,,7
09773_Dillingen a.d. Donau,-1.2162141799926758,DSf,year,dry_spell_frequency,,7
09774_Günzburg,-0.9765338897705078,DSf,year,dry_spell_frequency,,7
09775_Neu-Ulm,-1.100275993347168,DSf,year,dry_spell_frequency,,7
09776_Lindau (Bodensee),-1.301595687866211,DSf,year,dry_spell_frequency,,7
09777_Ostallgäu,-1.2041597366333008,DSf,year,dry_spell_frequency,,7
09778_Unterallgäu,-0.8310575485229492,DSf,year,dry_spell_frequency,,7
09779_Donau-Ries,-1.3232202529907227,DSf,year,dry_spell_frequency,,7
09780_Oberallgäu,-1.3276863098144531,DSf,year,dry_spell_frequency,,7
10041_Regionalverband Saarbrücken,-0.3334169387817383,DSf,year,dry_spell_frequency,,7
10042_Merzig-Wadern,-0.5464391708374023,DSf,year,dry_spell_frequency,,7
10043_Neunkirchen,-0.7775602340698242,DSf,year,dry_spell_frequency,,7
10044_Saarlouis,-0.565180778503418,DSf,year,dry_spell_frequency,,7
10045_Saarpfalz-Kreis,-0.8335294723510742,DSf,year,dry_spell_frequency,,7
10046_St. Wendel,-0.6598081588745117,DSf,year,dry_spell_frequency,,7
11000_Berlin,-1.4225807189941406,DSf,year,dry_spell_frequency,,7
12051_Brandenburg an der Havel,-2.17034912109375,DSf,year,dry_spell_frequency,,7
12052_Cottbus,-1.8760013580322266,DSf,year,dry_spell_frequency,,7
12053_Frankfurt (Oder),-1.8371248245239258,DSf,year,dry_spell_frequency,,7
12054_Potsdam,-1.8930082321166992,DSf,year,dry_spell_frequency,,7
12060_Barnim,-1.6939630508422852,DSf,year,dry_spell_frequency,,7
