region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09475_Hof,1.4843759536743164,DSf,year,dry_spell_frequency,,7
09476_Kronach,1.7222061157226562,DSf,year,dry_spell_frequency,,7
09477_Kulmbach,1.5826969146728516,DSf,year,dry_spell_frequency,,7
09478_Lichtenfels,1.5720529556274414,DSf,year,dry_spell_frequency,,7
09479_Wunsiedel i. Fichtelgebirge,1.0555496215820312,DSf,year,dry_spell_frequency,,7
09561_Ansbach,1.755544662475586,DSf,year,dry_spell_frequency,,7
09562_Erlangen,1.5512266159057617,DSf,year,dry_spell_frequency,,7
09563_Fürth,1.3868045806884766,DSf,year,dry_spell_frequency,,7
09564_Nürnberg,1.6219282150268555,DSf,year,dry_spell_frequency,,7
09565_Schwabach,1.9551410675048828,DSf,year,dry_spell_frequency,,7
09571_Ansbach,1.5678901672363281,DSf,year,dry_spell_frequency,,7
09572_Erlangen-Höchstadt,1.5090351104736328,DSf,year,dry_spell_frequency,,7
09573_Fürth,1.535196304321289,DSf,year,dry_spell_frequency,,7
09574_Nürnberger Land,1.4730615615844727,DSf,year,dry_spell_frequency,,7
09575_Neustadt a.d. Aisch-Bad Windsheim,1.4508962631225586,DSf,year,dry_spell_frequency,,7
09576_Roth,1.8276634216308594,DSf,year,dry_spell_frequency,,7
09577_Weißenburg-Gunzenhausen,1.6921625137329102,DSf,year,dry_spell_frequency,,7
09661_Aschaffenburg,1.9430570602416992,DSf,year,dry_spell_frequency,,7
09662_Schweinfurt,1.6597213745117188,DSf,year,dry_spell_frequency,,7
09663_Würzburg,1.8336753845214844,DSf,year,dry_spell_frequency,,7
09671_Aschaffenburg,1.9342575073242188,DSf,year,dry_spell_frequency,,7
09672_Bad Kissingen,1.8410320281982422,DSf,year,dry_spell_frequency,,7
09673_Rhön-Grabfeld,1.6818351745605469,DSf,year,dry_spell_frequency,,7
09674_Haßberge,1.6258392333984375,DSf,year,dry_spell_frequency,,7
09675_Kitzingen,1.1389656066894531,DSf,year,dry_spell_frequency,,7
09676_Miltenberg,1.9305524826049805,DSf,year,dry_spell_frequency,,7
09677_Main-Spessart,1.7544784545898438,DSf,year,dry_spell_frequency,,7
09678_Schweinfurt,1.6473159790039062,DSf,year,dry_spell_frequency,,7
09679_Würzburg,1.717391014099121,DSf,year,dry_spell_frequency,,7
09761_Augsburg,2.0520315170288086,DSf,year,dry_spell_frequency,,7
09762_Kaufbeuren,1.9675798416137695,DSf,year,dry_spell_frequency,,7
09763_Kempten (Allgäu),1.9563865661621094,DSf,year,dry_spell_frequency,,7
09764_Memmingen,1.8174200057983398,DSf,year,dry_spell_frequency,,7
09771_Aichach-Friedberg,1.5414762496948242,DSf,year,dry_spell_frequency,,7
09772_Augsburg,1.8385839462280273,DSf,year,dry_spell_frequency,,7
09773_Dillingen a.d. Donau,1.7065305709838867,DSf,year,dry_spell_frequency,,7
09774_Günzburg,1.611332893371582,DSf,year,dry_spell_frequency,,7
09775_Neu-Ulm,1.6836977005004883,DSf,year,dry_spell_frequency,,7
09776_Lindau (Bodensee),1.8680105209350586,DSf,year,dry_spell_frequency,,7
09777_Ostallgäu,1.9222497940063477,DSf,year,dry_spell_frequency,,7
09778_Unterallgäu,1.8027257919311523,DSf,year,dry_spell_frequency,,7
09779_Donau-Ries,1.3645381927490234,DSf,year,dry_spell_frequency,,7
09780_Oberallgäu,1.9803972244262695,DSf,year,dry_spell_frequency,,7
10041_Regionalverband Saarbrücken,2.1515398025512695,DSf,year,dry_spell_frequency,,7
10042_Merzig-Wadern,1.8240203857421875,DSf,year,dry_spell_frequency,,7
10043_Neunkirchen,1.8794746398925781,DSf,year,dry_spell_frequency,,7
10044_Saarlouis,2.1313467025756836,DSf,year,dry_spell_frequency,,7
10045_Saarpfalz-Kreis,2.1021299362182617,DSf,year,dry_spell_frequency,,7
10046_St. Wendel,1.9700965881347656,DSf,year,dry_spell_frequency,,7
11000_Berlin,1.6598663330078125,DSf,year,dry_spell_frequency,,7
12051_Brandenburg an der Havel,1.3117427825927734,DSf,year,dry_spell_frequency,,7
12052_Cottbus,1.262690544128418,DSf,year,dry_spell_frequency,,7
12053_Frankfurt (Oder),1.5693206787109375,DSf,year,dry_spell_frequency,,7
12054_Potsdam,1.7641658782958984,DSf,year,dry_spell_frequency,,7
12060_Barnim,1.5340452194213867,DSf,year,dry_spell_frequency,,7
12061_Dahme-Spreewald,0.9826431274414062,DSf,year,dry_spell_frequency,,7
12062_Elbe-Elster,0.946624755859375,DSf,year,dry_spell_frequency,,7
12063_Havelland,1.361323356628418,DSf,year,dry_spell_frequency,,7
12064_Märkisch-Oderland,1.2945146560668945,DSf,year,dry_spell_frequency,,7
12065_Oberhavel,1.3962163925170898,DSf,year,dry_spell_frequency,,7
12066_Oberspreewald-Lausitz,1.117112159729004,DSf,year,dry_spell_frequency,,7
12067_Oder-Spree,1.331451416015625,DSf,year,dry_spell_frequency,,7
12068_Ostprignitz-Ruppin,1.548990249633789,DSf,year,dry_spell_frequency,,7
12069_Potsdam-Mittelmark,0.9156265258789062,DSf,year,dry_spell_frequency,,7
12070_Prignitz,1.3961448669433594,DSf,year,dry_spell_frequency,,7
12071_Spree-Neiße,1.180607795715332,DSf,year,dry_spell_frequency,,7
12072_Teltow-Fläming,0.7404870986938477,DSf,year,dry_spell_frequency,,7
12073_Uckermark,1.648726463317871,DSf,year,dry_spell_frequency,,7
13003_Rostock,1.6533269882202148,DSf,year,dry_spell_frequency,,7
13004_Schwerin,1.8840150833129883,DSf,year,dry_spell_frequency,,7
13072_Rostock,1.7698345184326172,DSf,year,dry_spell_frequency,,7
13076_Ludwigslust-Parchim,1.5136346817016602,DSf,year,dry_spell_frequency,,7
13071_Mecklenburgische Seenplatte,1.5997333526611328,DSf,year,dry_spell_frequency,,7
13073_Vorpommern-Rügen,2.0543298721313477,DSf,year,dry_spell_frequency,,7
13074_Nordwestmecklenburg,1.560002326965332,DSf,year,dry_spell_frequency,,7
13075_Vorpommern-Greifswald,1.798396110534668,DSf,year,dry_spell_frequency,,7
