region,ci_name,ci_frequency,standard_name,units,mid_month,DSf_year_1.5C_rcp85_ensemble-robustness
09574_Nürnberger Land,DSf,year,dry_spell_frequency,,7,
09575_Neustadt a.d. Aisch-Bad Windsheim,DSf,year,dry_spell_frequency,,7,
09576_Roth,DSf,year,dry_spell_frequency,,7,
09577_Weißenburg-Gunzenhausen,DSf,year,dry_spell_frequency,,7,
09661_Aschaffenburg,DSf,year,dry_spell_frequency,,7,1.0
09662_Schweinfurt,DSf,year,dry_spell_frequency,,7,
09663_Würzburg,DSf,year,dry_spell_frequency,,7,
09671_Aschaffenburg,DSf,year,dry_spell_frequency,,7,1.0
09672_Bad Kissingen,DSf,year,dry_spell_frequency,,7,
09673_Rhön-Grabfeld,DSf,year,dry_spell_frequency,,7,
09674_Haßberge,DSf,year,dry_spell_frequency,,7,
09675_Kitzingen,DSf,year,dry_spell_frequency,,7,
09676_Miltenberg,DSf,year,dry_spell_frequency,,7,1.0
09677_Main-Spessart,DSf,year,dry_spell_frequency,,7,1.0
09678_Schweinfurt,DSf,year,dry_spell_frequency,,7,
09679_Würzburg,DSf,year,dry_spell_frequency,,7,
09761_Augsburg,DSf,year,dry_spell_frequency,,7,
09762_Kaufbeuren,DSf,year,dry_spell_frequency,,7,
09763_Kempten (Allgäu),DSf,year,dry_spell_frequency,,7,1.0
09764_Memmingen,DSf,year,dry_spell_frequency,,7,
09771_Aichach-Friedberg,DSf,year,dry_spell_frequency,,7,
09772_Augsburg,DSf,year,dry_spell_frequency,,7,
09773_Dillingen a.d. Donau,DSf,year,dry_spell_frequency,,7,
09774_Günzburg,DSf,year,dry_spell_frequency,,7,
09775_Neu-Ulm,DSf,year,dry_spell_frequency,,7,
09776_Lindau (Bodensee),DSf,year,dry_spell_frequency,,7,
09777_Ostallgäu,DSf,year,dry_spell_frequency,,7,
09778_Unterallgäu,DSf,year,dry_spell_frequency,,7,
09779_Donau-Ries,DSf,year,dry_spell_frequency,,7,
09780_Oberallgäu,DSf,year,dry_spell_frequency,,7,
10041_Regionalverband Saarbrücken,DSf,year,dry_spell_frequency,,7,1.0
10042_Merzig-Wadern,DSf,year,dry_spell_frequency,,7,1.0
10043_Neunkirchen,DSf,year,dry_spell_frequency,,7,1.0
10044_Saarlouis,DSf,year,dry_spell_frequency,,7,1.0
10045_Saarpfalz-Kreis,DSf,year,dry_spell_frequency,,7,1.0
10046_St. Wendel,DSf,year,dry_spell_frequency,,7,1.0
11000_Berlin,DSf,year,dry_spell_frequency,,7,
12051_Brandenburg an der Havel,DSf,year,dry_spell_frequency,,7,
12052_Cottbus,DSf,year,dry_spell_frequency,,7,
12053_Frankfurt (Oder),DSf,year,dry_spell_frequency,,7,
12054_Potsdam,DSf,year,dry_spell_frequency,,7,
12060_Barnim,DSf,year,dry_spell_frequency,,7,
12061_Dahme-Spreewald,DSf,year,dry_spell_frequency,,7,
12062_Elbe-Elster,DSf,year,dry_spell_frequency,,7,
12063_Havelland,DSf,year,dry_spell_frequency,,7,
12064_Märkisch-Oderland,DSf,year,dry_spell_frequency,,7,
12065_Oberhavel,DSf,year,dry_spell_frequency,,7,
12066_Oberspreewald-Lausitz,DSf,year,dry_spell_frequency,,7,-1.0
12067_Oder-Spree,DSf,year,dry_spell_frequency,,7,
12068_Ostprignitz-Ruppin,DSf,year,dry_spell_frequency,,7,
12069_Potsdam-Mittelmark,DSf,year,dry_spell_frequency,,7,
12070_Prignitz,DSf,year,dry_spell_frequency,,7,
12071_Spree-Neiße,DSf,year,dry_spell_frequency,,7,-1.0
12072_Teltow-Fläming,DSf,year,dry_spell_frequency,,7,
12073_Uckermark,DSf,year,dry_spell_frequency,,7,
13003_Rostock,DSf,year,dry_spell_frequency,,7,
13004_Schwerin,DSf,year,dry_spell_frequency,,7,
13072_Rostock,DSf,year,dry_spell_frequency,,7,
13076_Ludwigslust-Parchim,DSf,year,dry_spell_frequency,,7,
13071_Mecklenburgische Seenplatte,DSf,year,dry_spell_frequency,,7,
13073_Vorpommern-Rügen,DSf,year,dry_spell_frequency,,7,
13074_Nordwestmecklenburg,DSf,year,dry_spell_frequency,,7,
13075_Vorpommern-Greifswald,DSf,year,dry_spell_frequency,,7,
