region,DSf_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09663_Würzburg,-0.15806839,DSf,year,dry_spell_frequency,,7
09671_Aschaffenburg,0.016059265,DSf,year,dry_spell_frequency,,7
09672_Bad Kissingen,-0.032962028,DSf,year,dry_spell_frequency,,7
09673_Rhön-Grabfeld,-0.08548292,DSf,year,dry_spell_frequency,,7
09674_Haßberge,-0.18949094,DSf,year,dry_spell_frequency,,7
09675_Kitzingen,-0.20026836,DSf,year,dry_spell_frequency,,7
09676_Miltenberg,-0.00922649,DSf,year,dry_spell_frequency,,7
09677_Main-Spessart,-0.06401407,DSf,year,dry_spell_frequency,,7
09678_Schweinfurt,-0.16678093,DSf,year,dry_spell_frequency,,7
09679_Würzburg,-0.14754108,DSf,year,dry_spell_frequency,,7
09761_Augsburg,-0.22351551,DSf,year,dry_spell_frequency,,7
09762_Kaufbeuren,-0.2687274,DSf,year,dry_spell_frequency,,7
09763_Kempten (Allgäu),-0.15183988,DSf,year,dry_spell_frequency,,7
09764_Memmingen,-0.18904038,DSf,year,dry_spell_frequency,,7
09771_Aichach-Friedberg,-0.19712903,DSf,year,dry_spell_frequency,,7
09772_Augsburg,-0.22429152,DSf,year,dry_spell_frequency,,7
09773_Dillingen a.d. Donau,-0.21601792,DSf,year,dry_spell_frequency,,7
09774_Günzburg,-0.22859742,DSf,year,dry_spell_frequency,,7
09775_Neu-Ulm,-0.2120012,DSf,year,dry_spell_frequency,,7
09776_Lindau (Bodensee),-0.12952073,DSf,year,dry_spell_frequency,,7
09777_Ostallgäu,-0.19539557,DSf,year,dry_spell_frequency,,7
09778_Unterallgäu,-0.18287808,DSf,year,dry_spell_frequency,,7
09779_Donau-Ries,-0.18886426,DSf,year,dry_spell_frequency,,7
09780_Oberallgäu,-0.1438432,DSf,year,dry_spell_frequency,,7
10041_Regionalverband Saarbrücken,0.26522058,DSf,year,dry_spell_frequency,,7
10042_Merzig-Wadern,0.19973138,DSf,year,dry_spell_frequency,,7
10043_Neunkirchen,0.22461712,DSf,year,dry_spell_frequency,,7
10044_Saarlouis,0.22491029,DSf,year,dry_spell_frequency,,7
10045_Saarpfalz-Kreis,0.22394359,DSf,year,dry_spell_frequency,,7
10046_St. Wendel,0.18016449,DSf,year,dry_spell_frequency,,7
11000_Berlin,-0.44527552,DSf,year,dry_spell_frequency,,7
12051_Brandenburg an der Havel,-0.48055956,DSf,year,dry_spell_frequency,,7
12052_Cottbus,-0.52835464,DSf,year,dry_spell_frequency,,7
12053_Frankfurt (Oder),-0.47042513,DSf,year,dry_spell_frequency,,7
12054_Potsdam,-0.49732083,DSf,year,dry_spell_frequency,,7
12060_Barnim,-0.41066796,DSf,year,dry_spell_frequency,,7
12061_Dahme-Spreewald,-0.5055363,DSf,year,dry_spell_frequency,,7
12062_Elbe-Elster,-0.4731599,DSf,year,dry_spell_frequency,,7
12063_Havelland,-0.42729354,DSf,year,dry_spell_frequency,,7
12064_Märkisch-Oderland,-0.47489145,DSf,year,dry_spell_frequency,,7
12065_Oberhavel,-0.3785634,DSf,year,dry_spell_frequency,,7
