realization,region,LFD_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_LFD,05562_Recklinghausen,3.003406,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05566_Steinfurt,3.7299368,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05570_Warendorf,3.9246075,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05711_05754_05758_05766_Region_um_Bielefeld,4.545657,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05711_Bielefeld,4.182966,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05754_Gütersloh,4.3649487,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05758_Herford,4.131442,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05762_Höxter,6.411713,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05766_Lippe,4.914493,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05770_Minden-Lübbecke,4.410884,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05774_Paderborn,6.016909,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,2.931641,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05911_Bochum,2.3750503,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,3.2514298,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05913_Dortmund,2.8197904,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05914_05954_05913_05978_05962_Region_um_Hagen,4.65795,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05914_Hagen,4.1810656,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05915_05978_05974_05570_05558_Region_um_Hamm,4.496011,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05915_Hamm,3.6860108,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05916_05513_05562_05911_Region_um_Herne,2.8387666,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05916_Herne,2.709699,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05954_Ennepe-Ruhr-Kreis,3.8223836,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05958_Hochsauerlandkreis,10.896203,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05962_Märkischer Kreis,6.1573844,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05966_Olpe,9.94306,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05970_Siegen-Wittgenstein,10.87567,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05974_Soest,6.291302,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,05978_Unna,3.3925438,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06411_06432_06438_Region_um_Darmstadt,3.845366,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06411_Darmstadt,3.483821,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,4.817145,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06412_Frankfurt am Main,2.4378679,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06413_06438_06435_06412_Region_um_Offenbach_am_Main,5.486617,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06413_Offenbach am Main,2.258792,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,3.7524714,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06414_Wiesbaden,3.37516,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06431_Bergstraße,3.171871,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06432_Darmstadt-Dieburg,4.2093654,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06433_Groß-Gerau,2.6169581,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06434_Hochtaunuskreis,5.4642115,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06435_Main-Kinzig-Kreis,6.682433,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,4.306733,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06436_Main-Taunus-Kreis,3.456365,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06437_Odenwaldkreis,5.592985,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,5.10144,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06438_Offenbach,3.2721903,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06439_Rheingau-Taunus-Kreis,5.5794773,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06440_Wetteraukreis,4.451966,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06531_Gießen,5.2934237,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06532_Lahn-Dill-Kreis,9.092458,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06533_Limburg-Weilburg,6.374622,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06534_Marburg-Biedenkopf,8.300121,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06535_Vogelsbergkreis,8.765376,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06611_06633_03159_Region_um_Kassel,7.228331,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06611_Kassel,5.490045,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06631_Fulda,9.958892,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06632_Hersfeld-Rotenburg,8.65475,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06633_Kassel,7.259101,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06634_Schwalm-Eder-Kreis,7.5990744,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06635_Waldeck-Frankenberg,9.170154,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,06636_Werra-Meißner-Kreis,9.152396,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,07111_07137_07141_07143_Region_um_Koblenz,6.1848273,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,07111_Koblenz,3.1472168,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,07131_Ahrweiler,5.738221,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,07132_Altenkirchen (Westerwald),5.840957,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,07133_Bad Kreuznach,5.7314973,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,07134_Birkenfeld,9.1718645,LFD,year,days_with_air_temperature_below_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_LFD,07135_Cochem-Zell,5.765032,LFD,year,days_with_air_temperature_below_threshold,days,7
