region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08317_Ortenaukreis,1.3353135585784912,HSx3,year,hot_spell_duration,days,7
08325_Rottweil,0.6523222923278809,HSx3,year,hot_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,0.45751702785491943,HSx3,year,hot_spell_duration,days,7
08327_Tuttlingen,0.5064563751220703,HSx3,year,hot_spell_duration,days,7
08335_Konstanz,1.1568593978881836,HSx3,year,hot_spell_duration,days,7
08336_Lörrach,1.1798927783966064,HSx3,year,hot_spell_duration,days,7
08337_Waldshut,0.9655085206031799,HSx3,year,hot_spell_duration,days,7
08415_Reutlingen,0.6407646536827087,HSx3,year,hot_spell_duration,days,7
08416_Tübingen,1.2282713651657104,HSx3,year,hot_spell_duration,days,7
08417_Zollernalbkreis,0.5254117846488953,HSx3,year,hot_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,1.0394964218139648,HSx3,year,hot_spell_duration,days,7
08421_Ulm,1.0923142433166504,HSx3,year,hot_spell_duration,days,7
08425_Alb-Donau-Kreis,0.9247794151306152,HSx3,year,hot_spell_duration,days,7
08426_Biberach,1.2069674730300903,HSx3,year,hot_spell_duration,days,7
08435_Bodenseekreis,0.8631958365440369,HSx3,year,hot_spell_duration,days,7
08436_Ravensburg,0.8026635646820068,HSx3,year,hot_spell_duration,days,7
08437_Sigmaringen,0.7904419302940369,HSx3,year,hot_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,1.2270232439041138,HSx3,year,hot_spell_duration,days,7
09161_Ingolstadt,1.4211618900299072,HSx3,year,hot_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,1.1993075609207153,HSx3,year,hot_spell_duration,days,7
09162_München,1.3372975587844849,HSx3,year,hot_spell_duration,days,7
09163_09187_Region_um_Rosenheim,0.9063847064971924,HSx3,year,hot_spell_duration,days,7
09163_Rosenheim,1.1140316724777222,HSx3,year,hot_spell_duration,days,7
09171_Altötting,1.5842962265014648,HSx3,year,hot_spell_duration,days,7
09172_Berchtesgadener Land,0.36358463764190674,HSx3,year,hot_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,0.4366697669029236,HSx3,year,hot_spell_duration,days,7
09174_Dachau,1.3152117729187012,HSx3,year,hot_spell_duration,days,7
09175_Ebersberg,1.2998777627944946,HSx3,year,hot_spell_duration,days,7
09176_Eichstätt,1.1990137100219727,HSx3,year,hot_spell_duration,days,7
09177_Erding,1.349745273590088,HSx3,year,hot_spell_duration,days,7
09178_Freising,1.3208093643188477,HSx3,year,hot_spell_duration,days,7
09179_Fürstenfeldbruck,1.039783239364624,HSx3,year,hot_spell_duration,days,7
09180_Garmisch-Partenkirchen,0.14803731441497803,HSx3,year,hot_spell_duration,days,7
09181_Landsberg am Lech,0.8895809650421143,HSx3,year,hot_spell_duration,days,7
09182_Miesbach,0.3009088933467865,HSx3,year,hot_spell_duration,days,7
09183_Mühldorf a. Inn,1.4339501857757568,HSx3,year,hot_spell_duration,days,7
09184_München,1.071793556213379,HSx3,year,hot_spell_duration,days,7
09185_Neuburg-Schrobenhausen,1.254321575164795,HSx3,year,hot_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,1.194583535194397,HSx3,year,hot_spell_duration,days,7
09187_Rosenheim,0.9010618329048157,HSx3,year,hot_spell_duration,days,7
09188_Starnberg,0.8306288719177246,HSx3,year,hot_spell_duration,days,7
09189_Traunstein,0.7925059199333191,HSx3,year,hot_spell_duration,days,7
09190_Weilheim-Schongau,0.634609580039978,HSx3,year,hot_spell_duration,days,7
09261_09274_Region_um_Landshut,1.3661576509475708,HSx3,year,hot_spell_duration,days,7
09261_Landshut,1.3117188215255737,HSx3,year,hot_spell_duration,days,7
09262_09275_Region_um_Passau,1.4200544357299805,HSx3,year,hot_spell_duration,days,7
