region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09161_Ingolstadt,5.717421054840088,HSx3,year,hot_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,4.225098609924316,HSx3,year,hot_spell_duration,days,7
09162_München,5.053384304046631,HSx3,year,hot_spell_duration,days,7
09163_09187_Region_um_Rosenheim,3.5812315940856934,HSx3,year,hot_spell_duration,days,7
09163_Rosenheim,4.064544200897217,HSx3,year,hot_spell_duration,days,7
09171_Altötting,6.191278457641602,HSx3,year,hot_spell_duration,days,7
09172_Berchtesgadener Land,2.39151930809021,HSx3,year,hot_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,2.1957311630249023,HSx3,year,hot_spell_duration,days,7
09174_Dachau,5.194458961486816,HSx3,year,hot_spell_duration,days,7
09175_Ebersberg,4.382680892944336,HSx3,year,hot_spell_duration,days,7
09176_Eichstätt,4.955385208129883,HSx3,year,hot_spell_duration,days,7
09177_Erding,5.289587020874023,HSx3,year,hot_spell_duration,days,7
09178_Freising,5.638331413269043,HSx3,year,hot_spell_duration,days,7
09179_Fürstenfeldbruck,4.211851119995117,HSx3,year,hot_spell_duration,days,7
09180_Garmisch-Partenkirchen,1.2694238424301147,HSx3,year,hot_spell_duration,days,7
09181_Landsberg am Lech,3.532958984375,HSx3,year,hot_spell_duration,days,7
09182_Miesbach,2.1541383266448975,HSx3,year,hot_spell_duration,days,7
09183_Mühldorf a. Inn,5.797322750091553,HSx3,year,hot_spell_duration,days,7
09184_München,4.035828590393066,HSx3,year,hot_spell_duration,days,7
09185_Neuburg-Schrobenhausen,5.5220417976379395,HSx3,year,hot_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,5.678927421569824,HSx3,year,hot_spell_duration,days,7
09187_Rosenheim,3.5832667350769043,HSx3,year,hot_spell_duration,days,7
09188_Starnberg,3.765120506286621,HSx3,year,hot_spell_duration,days,7
09189_Traunstein,3.55745005607605,HSx3,year,hot_spell_duration,days,7
09190_Weilheim-Schongau,2.6218926906585693,HSx3,year,hot_spell_duration,days,7
09261_09274_Region_um_Landshut,5.984463691711426,HSx3,year,hot_spell_duration,days,7
09261_Landshut,5.7941789627075195,HSx3,year,hot_spell_duration,days,7
09262_09275_Region_um_Passau,5.719039440155029,HSx3,year,hot_spell_duration,days,7
09262_Passau,5.649962425231934,HSx3,year,hot_spell_duration,days,7
09263_09278_Region_um_Straubing,5.814868927001953,HSx3,year,hot_spell_duration,days,7
09263_Straubing,6.222286224365234,HSx3,year,hot_spell_duration,days,7
09271_Deggendorf,5.817880630493164,HSx3,year,hot_spell_duration,days,7
09272_Freyung-Grafenau,3.8976659774780273,HSx3,year,hot_spell_duration,days,7
