region,HSx3_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08225_Neckar-Odenwald-Kreis,12.675857543945312,HSx3,year,hot_spell_duration,days,7
08226_Rhein-Neckar-Kreis,17.041730880737305,HSx3,year,hot_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,10.658173561096191,HSx3,year,hot_spell_duration,days,7
08231_Pforzheim,12.121070861816406,HSx3,year,hot_spell_duration,days,7
08235_Calw,8.955289840698242,HSx3,year,hot_spell_duration,days,7
08236_Enzkreis,14.09230899810791,HSx3,year,hot_spell_duration,days,7
08237_Freudenstadt,8.894996643066406,HSx3,year,hot_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,11.762519836425781,HSx3,year,hot_spell_duration,days,7
08311_Freiburg im Breisgau,14.1211519241333,HSx3,year,hot_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,10.13439655303955,HSx3,year,hot_spell_duration,days,7
08316_Emmendingen,14.539694786071777,HSx3,year,hot_spell_duration,days,7
08317_Ortenaukreis,14.051103591918945,HSx3,year,hot_spell_duration,days,7
08325_Rottweil,9.090874671936035,HSx3,year,hot_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,8.045709609985352,HSx3,year,hot_spell_duration,days,7
08327_Tuttlingen,8.99609375,HSx3,year,hot_spell_duration,days,7
08335_Konstanz,12.021997451782227,HSx3,year,hot_spell_duration,days,7
08336_Lörrach,12.091300964355469,HSx3,year,hot_spell_duration,days,7
08337_Waldshut,10.807640075683594,HSx3,year,hot_spell_duration,days,7
08415_Reutlingen,8.775609016418457,HSx3,year,hot_spell_duration,days,7
08416_Tübingen,11.543731689453125,HSx3,year,hot_spell_duration,days,7
08417_Zollernalbkreis,8.575559616088867,HSx3,year,hot_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,10.077412605285645,HSx3,year,hot_spell_duration,days,7
08421_Ulm,10.601600646972656,HSx3,year,hot_spell_duration,days,7
08425_Alb-Donau-Kreis,9.670563697814941,HSx3,year,hot_spell_duration,days,7
08426_Biberach,10.1226806640625,HSx3,year,hot_spell_duration,days,7
08435_Bodenseekreis,11.976436614990234,HSx3,year,hot_spell_duration,days,7
08436_Ravensburg,9.861187934875488,HSx3,year,hot_spell_duration,days,7
08437_Sigmaringen,8.953886032104492,HSx3,year,hot_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,13.587106704711914,HSx3,year,hot_spell_duration,days,7
09161_Ingolstadt,15.066230773925781,HSx3,year,hot_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,11.184694290161133,HSx3,year,hot_spell_duration,days,7
09162_München,11.773772239685059,HSx3,year,hot_spell_duration,days,7
09163_09187_Region_um_Rosenheim,9.348346710205078,HSx3,year,hot_spell_duration,days,7
09163_Rosenheim,10.530878067016602,HSx3,year,hot_spell_duration,days,7
09171_Altötting,12.458792686462402,HSx3,year,hot_spell_duration,days,7
09172_Berchtesgadener Land,6.604881763458252,HSx3,year,hot_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,6.803640365600586,HSx3,year,hot_spell_duration,days,7
09174_Dachau,13.178638458251953,HSx3,year,hot_spell_duration,days,7
09175_Ebersberg,10.382136344909668,HSx3,year,hot_spell_duration,days,7
09176_Eichstätt,12.349739074707031,HSx3,year,hot_spell_duration,days,7
09177_Erding,12.468984603881836,HSx3,year,hot_spell_duration,days,7
09178_Freising,14.418055534362793,HSx3,year,hot_spell_duration,days,7
09179_Fürstenfeldbruck,10.957818984985352,HSx3,year,hot_spell_duration,days,7
09180_Garmisch-Partenkirchen,5.106914043426514,HSx3,year,hot_spell_duration,days,7
09181_Landsberg am Lech,9.43480396270752,HSx3,year,hot_spell_duration,days,7
09182_Miesbach,6.728654384613037,HSx3,year,hot_spell_duration,days,7
09183_Mühldorf a. Inn,12.044504165649414,HSx3,year,hot_spell_duration,days,7
09184_München,10.451982498168945,HSx3,year,hot_spell_duration,days,7
09185_Neuburg-Schrobenhausen,14.351564407348633,HSx3,year,hot_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,14.556934356689453,HSx3,year,hot_spell_duration,days,7
09187_Rosenheim,9.31556224822998,HSx3,year,hot_spell_duration,days,7
09188_Starnberg,9.246438980102539,HSx3,year,hot_spell_duration,days,7
09189_Traunstein,8.826653480529785,HSx3,year,hot_spell_duration,days,7
09190_Weilheim-Schongau,8.165230751037598,HSx3,year,hot_spell_duration,days,7
09261_09274_Region_um_Landshut,14.10440444946289,HSx3,year,hot_spell_duration,days,7
09261_Landshut,14.506077766418457,HSx3,year,hot_spell_duration,days,7
09262_09275_Region_um_Passau,13.668373107910156,HSx3,year,hot_spell_duration,days,7
09262_Passau,14.149768829345703,HSx3,year,hot_spell_duration,days,7
09263_09278_Region_um_Straubing,13.67729377746582,HSx3,year,hot_spell_duration,days,7
09263_Straubing,14.709222793579102,HSx3,year,hot_spell_duration,days,7
09271_Deggendorf,13.638435363769531,HSx3,year,hot_spell_duration,days,7
09272_Freyung-Grafenau,8.714502334594727,HSx3,year,hot_spell_duration,days,7
09273_Kelheim,14.095563888549805,HSx3,year,hot_spell_duration,days,7
09274_Landshut,14.082898139953613,HSx3,year,hot_spell_duration,days,7
