region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
06437_Odenwaldkreis,0.0443364754319191,HSx3,year,hot_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,0.01711297035217285,HSx3,year,hot_spell_duration,days,7
06438_Offenbach,-0.20275211334228516,HSx3,year,hot_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,-0.06993084400892258,HSx3,year,hot_spell_duration,days,7
06440_Wetteraukreis,-0.17388510704040527,HSx3,year,hot_spell_duration,days,7
06531_Gießen,-0.30003249645233154,HSx3,year,hot_spell_duration,days,7
06532_Lahn-Dill-Kreis,-0.10838437080383301,HSx3,year,hot_spell_duration,days,7
06533_Limburg-Weilburg,-0.13901185989379883,HSx3,year,hot_spell_duration,days,7
06534_Marburg-Biedenkopf,-0.36495256423950195,HSx3,year,hot_spell_duration,days,7
06535_Vogelsbergkreis,-0.42836666107177734,HSx3,year,hot_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,-0.22211050987243652,HSx3,year,hot_spell_duration,days,7
06611_Kassel,-0.35872650146484375,HSx3,year,hot_spell_duration,days,7
06631_Fulda,-0.48810875415802,HSx3,year,hot_spell_duration,days,7
06632_Hersfeld-Rotenburg,-0.725525975227356,HSx3,year,hot_spell_duration,days,7
06633_Kassel,-0.29173338413238525,HSx3,year,hot_spell_duration,days,7
06634_Schwalm-Eder-Kreis,-0.45869624614715576,HSx3,year,hot_spell_duration,days,7
06635_Waldeck-Frankenberg,-0.17077279090881348,HSx3,year,hot_spell_duration,days,7
06636_Werra-Meißner-Kreis,-0.5019733905792236,HSx3,year,hot_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,-0.13186269998550415,HSx3,year,hot_spell_duration,days,7
07111_Koblenz,-0.04496109485626221,HSx3,year,hot_spell_duration,days,7
07131_Ahrweiler,-0.10985031723976135,HSx3,year,hot_spell_duration,days,7
07132_Altenkirchen (Westerwald),-0.21383315324783325,HSx3,year,hot_spell_duration,days,7
07133_Bad Kreuznach,-0.15147876739501953,HSx3,year,hot_spell_duration,days,7
07134_Birkenfeld,-0.12107302248477936,HSx3,year,hot_spell_duration,days,7
07135_Cochem-Zell,-0.32406771183013916,HSx3,year,hot_spell_duration,days,7
07137_Mayen-Koblenz,-0.17869865894317627,HSx3,year,hot_spell_duration,days,7
07138_Neuwied,-0.11702549457550049,HSx3,year,hot_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,-0.09845888614654541,HSx3,year,hot_spell_duration,days,7
07141_Rhein-Lahn-Kreis,-0.21892571449279785,HSx3,year,hot_spell_duration,days,7
07143_Westerwaldkreis,-0.0862475112080574,HSx3,year,hot_spell_duration,days,7
07211_07235_Region_um_Trier,-0.10031142830848694,HSx3,year,hot_spell_duration,days,7
07211_Trier,-0.10000000149011612,HSx3,year,hot_spell_duration,days,7
07231_Bernkastel-Wittlich,-0.13766193389892578,HSx3,year,hot_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,-0.11836030334234238,HSx3,year,hot_spell_duration,days,7
07233_Vulkaneifel,-0.12691986560821533,HSx3,year,hot_spell_duration,days,7
07235_Trier-Saarburg,-0.10034660995006561,HSx3,year,hot_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),0.0853271484375,HSx3,year,hot_spell_duration,days,7
07311_Frankenthal (Pfalz),0.08117842674255371,HSx3,year,hot_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,-0.03730654716491699,HSx3,year,hot_spell_duration,days,7
07312_Kaiserslautern,-0.011402055621147156,HSx3,year,hot_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,0.17462560534477234,HSx3,year,hot_spell_duration,days,7
07313_Landau in der Pfalz,0.16271638870239258,HSx3,year,hot_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,0.08274173736572266,HSx3,year,hot_spell_duration,days,7
07314_Ludwigshafen am Rhein,0.08458757400512695,HSx3,year,hot_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,0.10901784896850586,HSx3,year,hot_spell_duration,days,7
07315_Mainz,0.054471492767333984,HSx3,year,hot_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,0.16878589987754822,HSx3,year,hot_spell_duration,days,7
07316_Neustadt an der Weinstraße,0.06645452976226807,HSx3,year,hot_spell_duration,days,7
07317_07340_Region_um_Pirmasens,-0.21748864650726318,HSx3,year,hot_spell_duration,days,7
07317_Pirmasens,-0.396665096282959,HSx3,year,hot_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,0.10329508781433105,HSx3,year,hot_spell_duration,days,7
07318_Speyer,0.1229557991027832,HSx3,year,hot_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,0.07559370994567871,HSx3,year,hot_spell_duration,days,7
