region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
06439_Rheingau-Taunus-Kreis,1.26668119430542,HSx3,year,hot_spell_duration,days,7
06440_Wetteraukreis,1.4213197231292725,HSx3,year,hot_spell_duration,days,7
06531_Gießen,1.3831006288528442,HSx3,year,hot_spell_duration,days,7
06532_Lahn-Dill-Kreis,1.1184806823730469,HSx3,year,hot_spell_duration,days,7
06533_Limburg-Weilburg,1.181139349937439,HSx3,year,hot_spell_duration,days,7
06534_Marburg-Biedenkopf,1.2860774993896484,HSx3,year,hot_spell_duration,days,7
06535_Vogelsbergkreis,1.0693870782852173,HSx3,year,hot_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,0.9435047507286072,HSx3,year,hot_spell_duration,days,7
06611_Kassel,0.968223512172699,HSx3,year,hot_spell_duration,days,7
06631_Fulda,0.8177167773246765,HSx3,year,hot_spell_duration,days,7
06632_Hersfeld-Rotenburg,1.0623021125793457,HSx3,year,hot_spell_duration,days,7
06633_Kassel,0.947795033454895,HSx3,year,hot_spell_duration,days,7
06634_Schwalm-Eder-Kreis,1.0234407186508179,HSx3,year,hot_spell_duration,days,7
06635_Waldeck-Frankenberg,0.7932048439979553,HSx3,year,hot_spell_duration,days,7
06636_Werra-Meißner-Kreis,1.0461130142211914,HSx3,year,hot_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,1.1174352169036865,HSx3,year,hot_spell_duration,days,7
07111_Koblenz,1.337167501449585,HSx3,year,hot_spell_duration,days,7
07131_Ahrweiler,0.8343420028686523,HSx3,year,hot_spell_duration,days,7
07132_Altenkirchen (Westerwald),0.9378300905227661,HSx3,year,hot_spell_duration,days,7
07133_Bad Kreuznach,1.3557292222976685,HSx3,year,hot_spell_duration,days,7
07134_Birkenfeld,1.0294950008392334,HSx3,year,hot_spell_duration,days,7
07135_Cochem-Zell,1.1559438705444336,HSx3,year,hot_spell_duration,days,7
07137_Mayen-Koblenz,1.152974247932434,HSx3,year,hot_spell_duration,days,7
07138_Neuwied,1.102220892906189,HSx3,year,hot_spell_duration,days,7
