region,ci_name,ci_frequency,standard_name,units,mid_month,HSx3_year_2C_rcp85_ensemble-robustness
07320_07340_10045_07317_Region_um_Zweibrücken,HSx3,year,hot_spell_duration,days,7,1
07320_Zweibrücken,HSx3,year,hot_spell_duration,days,7,2
07331_Alzey-Worms,HSx3,year,hot_spell_duration,days,7,2
07332_Bad Dürkheim,HSx3,year,hot_spell_duration,days,7,2
07333_Donnersbergkreis,HSx3,year,hot_spell_duration,days,7,2
07334_Germersheim,HSx3,year,hot_spell_duration,days,7,2
07335_Kaiserslautern,HSx3,year,hot_spell_duration,days,7,2
07336_Kusel,HSx3,year,hot_spell_duration,days,7,2
07337_Südliche Weinstraße,HSx3,year,hot_spell_duration,days,7,2
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,HSx3,year,hot_spell_duration,days,7,2
07338_Rhein-Pfalz-Kreis,HSx3,year,hot_spell_duration,days,7,2
07339_Mainz-Bingen,HSx3,year,hot_spell_duration,days,7,2
07340_Südwestpfalz,HSx3,year,hot_spell_duration,days,7,1
08111_08115_08116_08118_08119_Region_um_Stuttgart,HSx3,year,hot_spell_duration,days,7,2
08111_Stuttgart,HSx3,year,hot_spell_duration,days,7,2
08115_Böblingen,HSx3,year,hot_spell_duration,days,7,2
08116_Esslingen,HSx3,year,hot_spell_duration,days,7,2
08117_Göppingen,HSx3,year,hot_spell_duration,days,7,2
08118_Ludwigsburg,HSx3,year,hot_spell_duration,days,7,2
08119_Rems-Murr-Kreis,HSx3,year,hot_spell_duration,days,7,2
08121_08125_Region_um_Heilbronn,HSx3,year,hot_spell_duration,days,7,2
08121_Heilbronn,HSx3,year,hot_spell_duration,days,7,2
08125_Heilbronn,HSx3,year,hot_spell_duration,days,7,2
08126_Hohenlohekreis,HSx3,year,hot_spell_duration,days,7,2
08127_Schwäbisch Hall,HSx3,year,hot_spell_duration,days,7,2
08128_Main-Tauber-Kreis,HSx3,year,hot_spell_duration,days,7,2
08135_Heidenheim,HSx3,year,hot_spell_duration,days,7,2
08136_Ostalbkreis,HSx3,year,hot_spell_duration,days,7,2
08211_08216_Region_um_Baden-Baden,HSx3,year,hot_spell_duration,days,7,2
08211_Baden-Baden,HSx3,year,hot_spell_duration,days,7,2
08212_08215_07334_Region_um_Karlsruhe,HSx3,year,hot_spell_duration,days,7,2
08212_Karlsruhe,HSx3,year,hot_spell_duration,days,7,2
08215_Karlsruhe,HSx3,year,hot_spell_duration,days,7,2
08216_Rastatt,HSx3,year,hot_spell_duration,days,7,2
08221_08226_08222_Region_um_Heidelberg,HSx3,year,hot_spell_duration,days,7,2
08221_Heidelberg,HSx3,year,hot_spell_duration,days,7,2
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,HSx3,year,hot_spell_duration,days,7,2
08222_Mannheim,HSx3,year,hot_spell_duration,days,7,2
08225_Neckar-Odenwald-Kreis,HSx3,year,hot_spell_duration,days,7,2
08226_Rhein-Neckar-Kreis,HSx3,year,hot_spell_duration,days,7,2
08231_08236_08235_Region_um_Pforzheim,HSx3,year,hot_spell_duration,days,7,2
08231_Pforzheim,HSx3,year,hot_spell_duration,days,7,2
08235_Calw,HSx3,year,hot_spell_duration,days,7,2
08236_Enzkreis,HSx3,year,hot_spell_duration,days,7,2
08237_Freudenstadt,HSx3,year,hot_spell_duration,days,7,2
08311_08316_08315_Region_um_Freiburg_im_Breisgau,HSx3,year,hot_spell_duration,days,7,2
08311_Freiburg im Breisgau,HSx3,year,hot_spell_duration,days,7,2
08315_Breisgau-Hochschwarzwald,HSx3,year,hot_spell_duration,days,7,2
08316_Emmendingen,HSx3,year,hot_spell_duration,days,7,2
08317_Ortenaukreis,HSx3,year,hot_spell_duration,days,7,2
08325_Rottweil,HSx3,year,hot_spell_duration,days,7,2
08326_Schwarzwald-Baar-Kreis,HSx3,year,hot_spell_duration,days,7,2
08327_Tuttlingen,HSx3,year,hot_spell_duration,days,7,2
08335_Konstanz,HSx3,year,hot_spell_duration,days,7,2
08336_Lörrach,HSx3,year,hot_spell_duration,days,7,2
08337_Waldshut,HSx3,year,hot_spell_duration,days,7,2
08415_Reutlingen,HSx3,year,hot_spell_duration,days,7,2
08416_Tübingen,HSx3,year,hot_spell_duration,days,7,2
08417_Zollernalbkreis,HSx3,year,hot_spell_duration,days,7,2
08421_08425_09775_Region_um_Ulm,HSx3,year,hot_spell_duration,days,7,2
08421_Ulm,HSx3,year,hot_spell_duration,days,7,2
08425_Alb-Donau-Kreis,HSx3,year,hot_spell_duration,days,7,2
08426_Biberach,HSx3,year,hot_spell_duration,days,7,2
08435_Bodenseekreis,HSx3,year,hot_spell_duration,days,7,2
08436_Ravensburg,HSx3,year,hot_spell_duration,days,7,2
08437_Sigmaringen,HSx3,year,hot_spell_duration,days,7,2
09161_09176_09185_09186_Region_um_Ingolstadt,HSx3,year,hot_spell_duration,days,7,2
09161_Ingolstadt,HSx3,year,hot_spell_duration,days,7,2
09162_09184_09179_09174_Region_um_München,HSx3,year,hot_spell_duration,days,7,2
09162_München,HSx3,year,hot_spell_duration,days,7,2
09163_09187_Region_um_Rosenheim,HSx3,year,hot_spell_duration,days,7,2
09163_Rosenheim,HSx3,year,hot_spell_duration,days,7,2
09171_Altötting,HSx3,year,hot_spell_duration,days,7,2
09172_Berchtesgadener Land,HSx3,year,hot_spell_duration,days,7,2
09173_Bad Tölz-Wolfratshausen,HSx3,year,hot_spell_duration,days,7,2
09174_Dachau,HSx3,year,hot_spell_duration,days,7,2
09175_Ebersberg,HSx3,year,hot_spell_duration,days,7,2
09176_Eichstätt,HSx3,year,hot_spell_duration,days,7,2
09177_Erding,HSx3,year,hot_spell_duration,days,7,2
09178_Freising,HSx3,year,hot_spell_duration,days,7,2
