region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07231_Bernkastel-Wittlich,-0.018353842198848724,HSx3,year,hot_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,-0.055788978934288025,HSx3,year,hot_spell_duration,days,7
07233_Vulkaneifel,-0.06719090044498444,HSx3,year,hot_spell_duration,days,7
07235_Trier-Saarburg,-0.0017329305410385132,HSx3,year,hot_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),-0.034784793853759766,HSx3,year,hot_spell_duration,days,7
07311_Frankenthal (Pfalz),0.0594480037689209,HSx3,year,hot_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,0.10038188099861145,HSx3,year,hot_spell_duration,days,7
07312_Kaiserslautern,0.04617869853973389,HSx3,year,hot_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,0.05250728130340576,HSx3,year,hot_spell_duration,days,7
07313_Landau in der Pfalz,0.027244210243225098,HSx3,year,hot_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,-0.0381169319152832,HSx3,year,hot_spell_duration,days,7
07314_Ludwigshafen am Rhein,-0.007799625396728516,HSx3,year,hot_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,0.15342259407043457,HSx3,year,hot_spell_duration,days,7
07315_Mainz,0.013959884643554688,HSx3,year,hot_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,0.12285685539245605,HSx3,year,hot_spell_duration,days,7
07316_Neustadt an der Weinstraße,0.18522918224334717,HSx3,year,hot_spell_duration,days,7
07317_07340_Region_um_Pirmasens,-0.0548848956823349,HSx3,year,hot_spell_duration,days,7
07317_Pirmasens,-0.0002105236053466797,HSx3,year,hot_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,0.040952086448669434,HSx3,year,hot_spell_duration,days,7
07318_Speyer,0.013689756393432617,HSx3,year,hot_spell_duration,days,7
