realization,region,HSf3_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_HSf3,06634_Schwalm-Eder-Kreis,0.35215634,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06635_Waldeck-Frankenberg,0.21890333,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06636_Werra-Meißner-Kreis,0.260539,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07111_07137_07141_07143_Region_um_Koblenz,0.5203895,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07111_Koblenz,0.8981688,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07131_Ahrweiler,0.38721958,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07132_Altenkirchen (Westerwald),0.4932693,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07133_Bad Kreuznach,0.5024598,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07134_Birkenfeld,0.26855022,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07135_Cochem-Zell,0.4295078,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07137_Mayen-Koblenz,0.58005077,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07138_Neuwied,0.6167564,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07140_Rhein-Hunsrück-Kreis,0.32055235,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07141_Rhein-Lahn-Kreis,0.54881614,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07143_Westerwaldkreis,0.4066019,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07211_07235_Region_um_Trier,0.5718407,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07211_Trier,0.88488865,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07231_Bernkastel-Wittlich,0.45105228,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07232_Eifelkreis Bitburg-Prüm,0.27677965,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07233_Vulkaneifel,0.21377449,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07235_Trier-Saarburg,0.53646576,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),1.4545541,HSf3,year,hot_spell_frequency,,7
