realization,region,RRm_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_RRm,05914_05954_05913_05978_05962_Region_um_Hagen,2.7227697,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05914_Hagen,2.74112,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05915_05978_05974_05570_05558_Region_um_Hamm,2.1429446,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05915_Hamm,2.0294511,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05916_05513_05562_05911_Region_um_Herne,2.2248883,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05916_Herne,2.2366173,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05954_Ennepe-Ruhr-Kreis,2.796668,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05958_Hochsauerlandkreis,2.8228528,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05962_Märkischer Kreis,3.1301637,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05966_Olpe,3.262564,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05970_Siegen-Wittgenstein,3.0841675,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05974_Soest,2.2446516,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,05978_Unna,2.1385684,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06411_06432_06438_Region_um_Darmstadt,1.9711381,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06411_Darmstadt,1.9335264,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,2.0204027,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06412_Frankfurt am Main,1.7787588,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06413_06438_06435_06412_Region_um_Offenbach_am_Main,2.1502643,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06413_Offenbach am Main,1.8053039,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,1.7172989,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06414_Wiesbaden,1.7746959,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06431_Bergstraße,2.3462539,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06432_Darmstadt-Dieburg,2.0562692,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06433_Groß-Gerau,1.6170336,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06434_Hochtaunuskreis,2.0989444,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06435_Main-Kinzig-Kreis,2.3092198,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,1.8549606,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06436_Main-Taunus-Kreis,1.9236605,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06437_Odenwaldkreis,2.6056798,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,2.1074307,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06438_Offenbach,1.8200277,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06439_Rheingau-Taunus-Kreis,1.8676643,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06440_Wetteraukreis,1.9280696,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06531_Gießen,1.858191,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06532_Lahn-Dill-Kreis,2.338337,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06533_Limburg-Weilburg,2.0307424,RRm,year,precipitation,mm day-1,7
