region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08116_Esslingen,3.3615710735321045,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08117_Göppingen,2.1333274841308594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08118_Ludwigsburg,3.8345813751220703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08119_Rems-Murr-Kreis,3.33095645904541,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_Heilbronn,3.925382614135742,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08125_Heilbronn,3.7302513122558594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08126_Hohenlohekreis,3.1128416061401367,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08127_Schwäbisch Hall,2.700758218765259,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08128_Main-Tauber-Kreis,2.8094420433044434,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08135_Heidenheim,2.3438944816589355,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08136_Ostalbkreis,2.351296901702881,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_Baden-Baden,2.4701762199401855,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08212_Karlsruhe,4.127313613891602,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08215_Karlsruhe,4.174066543579102,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08216_Rastatt,2.980991840362549,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08221_Heidelberg,3.831667900085449,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08222_Mannheim,5.072233200073242,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08225_Neckar-Odenwald-Kreis,2.8914451599121094,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08226_Rhein-Neckar-Kreis,3.7518649101257324,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08231_Pforzheim,2.8757808208465576,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08235_Calw,2.0447897911071777,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08236_Enzkreis,3.0541272163391113,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08237_Freudenstadt,1.835270881652832,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08311_Freiburg im Breisgau,3.062746047973633,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08315_Breisgau-Hochschwarzwald,2.3631067276000977,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08316_Emmendingen,3.502291202545166,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08317_Ortenaukreis,3.645753860473633,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08325_Rottweil,1.7754545211791992,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08326_Schwarzwald-Baar-Kreis,1.1244192123413086,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08327_Tuttlingen,1.2204489707946777,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08335_Konstanz,3.079660415649414,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08336_Lörrach,3.2924695014953613,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08337_Waldshut,2.2610325813293457,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08415_Reutlingen,1.594976782798767,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08416_Tübingen,3.080594539642334,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08417_Zollernalbkreis,1.4371228218078613,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08421_Ulm,2.62306547164917,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08425_Alb-Donau-Kreis,2.0822815895080566,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08426_Biberach,2.334796905517578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08435_Bodenseekreis,2.1150870323181152,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08436_Ravensburg,2.1044013500213623,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08437_Sigmaringen,1.7840921878814697,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09161_Ingolstadt,3.914264678955078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09162_München,3.719153881072998,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09163_Rosenheim,3.210847854614258,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09171_Altötting,3.9443790912628174,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09172_Berchtesgadener Land,1.2072625160217285,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09173_Bad Tölz-Wolfratshausen,1.3120592832565308,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09174_Dachau,3.3753209114074707,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09175_Ebersberg,3.307746410369873,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09176_Eichstätt,2.9178998470306396,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
