region,SU30_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08416_Tübingen,30.97286033630371,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08417_Zollernalbkreis,23.019922256469727,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08421_Ulm,28.833646774291992,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08425_Alb-Donau-Kreis,25.919178009033203,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08426_Biberach,27.150005340576172,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08435_Bodenseekreis,30.404232025146484,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08436_Ravensburg,24.785247802734375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08437_Sigmaringen,24.824129104614258,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09161_Ingolstadt,36.220951080322266,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09162_München,30.274869918823242,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09163_Rosenheim,28.559993743896484,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09171_Altötting,33.215850830078125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09172_Berchtesgadener Land,17.253625869750977,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09173_Bad Tölz-Wolfratshausen,18.0853271484375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09174_Dachau,31.41377067565918,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09175_Ebersberg,28.543685913085938,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09176_Eichstätt,32.62040328979492,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09177_Erding,31.53311538696289,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09178_Freising,33.19395446777344,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09179_Fürstenfeldbruck,28.412965774536133,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09180_Garmisch-Partenkirchen,12.010136604309082,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09181_Landsberg am Lech,23.28571891784668,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09182_Miesbach,16.646013259887695,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09183_Mühldorf a. Inn,31.99435043334961,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09184_München,26.592960357666016,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09185_Neuburg-Schrobenhausen,34.67594909667969,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,34.75300598144531,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09187_Rosenheim,24.433311462402344,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09188_Starnberg,23.012300491333008,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09189_Traunstein,23.7133846282959,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
