region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07233_Vulkaneifel,-0.005413472652435303,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07235_Trier-Saarburg,0.07133612781763077,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_Frankenthal (Pfalz),0.4922279417514801,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_Kaiserslautern,0.07447731494903564,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_Landau in der Pfalz,0.19739167392253876,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_Ludwigshafen am Rhein,0.46654415130615234,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_Mainz,0.41173064708709717,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_Neustadt an der Weinstraße,0.2826014459133148,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_Pirmasens,0.12606170773506165,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_Speyer,0.3720659613609314,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_Worms,0.346329927444458,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_Zweibrücken,0.042294979095458984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07331_Alzey-Worms,0.31842106580734253,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07332_Bad Dürkheim,0.20957127213478088,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07333_Donnersbergkreis,0.13207918405532837,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07334_Germersheim,0.29478704929351807,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07335_Kaiserslautern,0.0965874120593071,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07336_Kusel,0.10426123440265656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07337_Südliche Weinstraße,0.21611353754997253,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_Rhein-Pfalz-Kreis,0.4117506146430969,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07339_Mainz-Bingen,0.3024563491344452,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07340_Südwestpfalz,0.13099996745586395,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_Stuttgart,0.34742242097854614,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
