region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
03453_Cloppenburg,0.48107290267944336,RRm,sem,precipitation,mm day-1,4
03453_Cloppenburg,0.47207021713256836,RRm,sem,precipitation,mm day-1,7
03453_Cloppenburg,0.33443617820739746,RRm,sem,precipitation,mm day-1,10
03454_Emsland,0.33777332305908203,RRm,sem,precipitation,mm day-1,1
03454_Emsland,0.4366934299468994,RRm,sem,precipitation,mm day-1,4
03454_Emsland,0.5025637149810791,RRm,sem,precipitation,mm day-1,7
03454_Emsland,0.3389854431152344,RRm,sem,precipitation,mm day-1,10
03455_Friesland,0.35926294326782227,RRm,sem,precipitation,mm day-1,1
03455_Friesland,0.5786962509155273,RRm,sem,precipitation,mm day-1,4
03455_Friesland,0.5313029289245605,RRm,sem,precipitation,mm day-1,7
03455_Friesland,0.460681676864624,RRm,sem,precipitation,mm day-1,10
03456_Grafschaft Bentheim,0.3909447193145752,RRm,sem,precipitation,mm day-1,1
03456_Grafschaft Bentheim,0.44101953506469727,RRm,sem,precipitation,mm day-1,4
03456_Grafschaft Bentheim,0.6120774745941162,RRm,sem,precipitation,mm day-1,7
03456_Grafschaft Bentheim,0.33649420738220215,RRm,sem,precipitation,mm day-1,10
03457_Leer,0.3521707057952881,RRm,sem,precipitation,mm day-1,1
03457_Leer,0.54526686668396,RRm,sem,precipitation,mm day-1,4
03457_Leer,0.44121885299682617,RRm,sem,precipitation,mm day-1,7
03457_Leer,0.43514084815979004,RRm,sem,precipitation,mm day-1,10
03458_Oldenburg,0.36835575103759766,RRm,sem,precipitation,mm day-1,1
03458_Oldenburg,0.47371768951416016,RRm,sem,precipitation,mm day-1,4
03458_Oldenburg,0.5212135314941406,RRm,sem,precipitation,mm day-1,7
03458_Oldenburg,0.33283424377441406,RRm,sem,precipitation,mm day-1,10
03459_Osnabrück,0.3657698631286621,RRm,sem,precipitation,mm day-1,1
03459_Osnabrück,0.45345044136047363,RRm,sem,precipitation,mm day-1,4
03459_Osnabrück,0.5046432018280029,RRm,sem,precipitation,mm day-1,7
03459_Osnabrück,0.32538294792175293,RRm,sem,precipitation,mm day-1,10
03460_Vechta,0.3385024070739746,RRm,sem,precipitation,mm day-1,1
03460_Vechta,0.45409464836120605,RRm,sem,precipitation,mm day-1,4
03460_Vechta,0.4623117446899414,RRm,sem,precipitation,mm day-1,7
03460_Vechta,0.35308289527893066,RRm,sem,precipitation,mm day-1,10
03461_Wesermarsch,0.40900611877441406,RRm,sem,precipitation,mm day-1,1
03461_Wesermarsch,0.49911928176879883,RRm,sem,precipitation,mm day-1,4
03461_Wesermarsch,0.5624780654907227,RRm,sem,precipitation,mm day-1,7
03461_Wesermarsch,0.5517129898071289,RRm,sem,precipitation,mm day-1,10
03462_Wittmund,0.3641873598098755,RRm,sem,precipitation,mm day-1,1
03462_Wittmund,0.6304218769073486,RRm,sem,precipitation,mm day-1,4
03462_Wittmund,0.4582192897796631,RRm,sem,precipitation,mm day-1,7
03462_Wittmund,0.6500346660614014,RRm,sem,precipitation,mm day-1,10
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.3653743267059326,RRm,sem,precipitation,mm day-1,1
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.4677412509918213,RRm,sem,precipitation,mm day-1,4
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.5851345062255859,RRm,sem,precipitation,mm day-1,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.4625678062438965,RRm,sem,precipitation,mm day-1,10
04011_Bremen,0.3554046154022217,RRm,sem,precipitation,mm day-1,1
04011_Bremen,0.4504106044769287,RRm,sem,precipitation,mm day-1,4
04011_Bremen,0.633173942565918,RRm,sem,precipitation,mm day-1,7
04011_Bremen,0.32794904708862305,RRm,sem,precipitation,mm day-1,10
04012_03352_03461_Region_um_Bremerhaven,0.425067663192749,RRm,sem,precipitation,mm day-1,1
04012_03352_03461_Region_um_Bremerhaven,0.4899775981903076,RRm,sem,precipitation,mm day-1,4
04012_03352_03461_Region_um_Bremerhaven,0.6276295185089111,RRm,sem,precipitation,mm day-1,7
04012_03352_03461_Region_um_Bremerhaven,0.7795047760009766,RRm,sem,precipitation,mm day-1,10
04012_Bremerhaven,0.5214588642120361,RRm,sem,precipitation,mm day-1,1
04012_Bremerhaven,0.4860951900482178,RRm,sem,precipitation,mm day-1,4
04012_Bremerhaven,0.5937111377716064,RRm,sem,precipitation,mm day-1,7
04012_Bremerhaven,1.376478672027588,RRm,sem,precipitation,mm day-1,10
05111_05162_05158_05112_Region_um_Düsseldorf,0.6931240558624268,RRm,sem,precipitation,mm day-1,1
