region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
03459_Osnabrück,-0.4110839366912842,RRm,sem,precipitation,mm day-1,7
03459_Osnabrück,-0.46423935890197754,RRm,sem,precipitation,mm day-1,10
03460_Vechta,-0.3708958625793457,RRm,sem,precipitation,mm day-1,1
03460_Vechta,-0.25257408618927,RRm,sem,precipitation,mm day-1,4
03460_Vechta,-0.3547024726867676,RRm,sem,precipitation,mm day-1,7
03460_Vechta,-0.383988618850708,RRm,sem,precipitation,mm day-1,10
03461_Wesermarsch,-0.4385368824005127,RRm,sem,precipitation,mm day-1,1
03461_Wesermarsch,-0.23858344554901123,RRm,sem,precipitation,mm day-1,4
03461_Wesermarsch,-0.331773042678833,RRm,sem,precipitation,mm day-1,7
03461_Wesermarsch,-0.25167274475097656,RRm,sem,precipitation,mm day-1,10
03462_Wittmund,-0.5203719139099121,RRm,sem,precipitation,mm day-1,1
03462_Wittmund,-0.25939130783081055,RRm,sem,precipitation,mm day-1,4
03462_Wittmund,-0.39174318313598633,RRm,sem,precipitation,mm day-1,7
03462_Wittmund,-0.2868688106536865,RRm,sem,precipitation,mm day-1,10
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-0.4317359924316406,RRm,sem,precipitation,mm day-1,1
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-0.2354295253753662,RRm,sem,precipitation,mm day-1,4
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-0.3148183822631836,RRm,sem,precipitation,mm day-1,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-0.2869546413421631,RRm,sem,precipitation,mm day-1,10
04011_Bremen,-0.44026827812194824,RRm,sem,precipitation,mm day-1,1
04011_Bremen,-0.27008533477783203,RRm,sem,precipitation,mm day-1,4
04011_Bremen,-0.3492238521575928,RRm,sem,precipitation,mm day-1,7
04011_Bremen,-0.2719312906265259,RRm,sem,precipitation,mm day-1,10
04012_03352_03461_Region_um_Bremerhaven,-0.4963059425354004,RRm,sem,precipitation,mm day-1,1
04012_03352_03461_Region_um_Bremerhaven,-0.22208750247955322,RRm,sem,precipitation,mm day-1,4
04012_03352_03461_Region_um_Bremerhaven,-0.32105398178100586,RRm,sem,precipitation,mm day-1,7
04012_03352_03461_Region_um_Bremerhaven,-0.25505733489990234,RRm,sem,precipitation,mm day-1,10
04012_Bremerhaven,-0.5233325958251953,RRm,sem,precipitation,mm day-1,1
04012_Bremerhaven,-0.19522953033447266,RRm,sem,precipitation,mm day-1,4
04012_Bremerhaven,-0.4275846481323242,RRm,sem,precipitation,mm day-1,7
04012_Bremerhaven,-0.22833335399627686,RRm,sem,precipitation,mm day-1,10
05111_05162_05158_05112_Region_um_Düsseldorf,-0.6753458976745605,RRm,sem,precipitation,mm day-1,1
05111_05162_05158_05112_Region_um_Düsseldorf,-0.31890439987182617,RRm,sem,precipitation,mm day-1,4
05111_05162_05158_05112_Region_um_Düsseldorf,-0.4115753173828125,RRm,sem,precipitation,mm day-1,7
05111_05162_05158_05112_Region_um_Düsseldorf,-0.4219851493835449,RRm,sem,precipitation,mm day-1,10
05111_Düsseldorf,-0.7884607315063477,RRm,sem,precipitation,mm day-1,1
05111_Düsseldorf,-0.34884190559387207,RRm,sem,precipitation,mm day-1,4
05111_Düsseldorf,-0.42072176933288574,RRm,sem,precipitation,mm day-1,7
05111_Düsseldorf,-0.4669978618621826,RRm,sem,precipitation,mm day-1,10
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,-0.70281982421875,RRm,sem,precipitation,mm day-1,1
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,-0.3054184913635254,RRm,sem,precipitation,mm day-1,4
