region,RRm_sem_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
03356_Osterholz,0.7461719512939453,RRm,sem,precipitation,mm day-1,7
03356_Osterholz,0.6507234573364258,RRm,sem,precipitation,mm day-1,10
03357_Rotenburg (Wümme),0.5815253257751465,RRm,sem,precipitation,mm day-1,1
03357_Rotenburg (Wümme),0.4073023796081543,RRm,sem,precipitation,mm day-1,4
03357_Rotenburg (Wümme),0.7693793773651123,RRm,sem,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.7001867294311523,RRm,sem,precipitation,mm day-1,10
03358_Heidekreis,0.6137745380401611,RRm,sem,precipitation,mm day-1,1
03358_Heidekreis,0.46107912063598633,RRm,sem,precipitation,mm day-1,4
03358_Heidekreis,0.7064566612243652,RRm,sem,precipitation,mm day-1,7
03358_Heidekreis,0.6944513320922852,RRm,sem,precipitation,mm day-1,10
03359_Stade,0.5831408500671387,RRm,sem,precipitation,mm day-1,1
03359_Stade,0.46190333366394043,RRm,sem,precipitation,mm day-1,4
03359_Stade,0.7335495948791504,RRm,sem,precipitation,mm day-1,7
03359_Stade,0.695608377456665,RRm,sem,precipitation,mm day-1,10
03360_Uelzen,0.5220365524291992,RRm,sem,precipitation,mm day-1,1
03360_Uelzen,0.4679694175720215,RRm,sem,precipitation,mm day-1,4
03360_Uelzen,0.5531229972839355,RRm,sem,precipitation,mm day-1,7
03360_Uelzen,0.5699295997619629,RRm,sem,precipitation,mm day-1,10
03361_Verden,0.5707056522369385,RRm,sem,precipitation,mm day-1,1
03361_Verden,0.36298680305480957,RRm,sem,precipitation,mm day-1,4
03361_Verden,0.72678542137146,RRm,sem,precipitation,mm day-1,7
03361_Verden,0.7206284999847412,RRm,sem,precipitation,mm day-1,10
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.5495395660400391,RRm,sem,precipitation,mm day-1,1
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.43965983390808105,RRm,sem,precipitation,mm day-1,4
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.5982096195220947,RRm,sem,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.6271541118621826,RRm,sem,precipitation,mm day-1,10
03401_Delmenhorst,0.547722578048706,RRm,sem,precipitation,mm day-1,1
03401_Delmenhorst,0.46037721633911133,RRm,sem,precipitation,mm day-1,4
03401_Delmenhorst,0.6630427837371826,RRm,sem,precipitation,mm day-1,7
03401_Delmenhorst,0.646888256072998,RRm,sem,precipitation,mm day-1,10
03402_03452_03457_Region_um_Emden,0.6383199691772461,RRm,sem,precipitation,mm day-1,1
03402_03452_03457_Region_um_Emden,0.5778036117553711,RRm,sem,precipitation,mm day-1,4
03402_03452_03457_Region_um_Emden,0.6069374084472656,RRm,sem,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,1.1002988815307617,RRm,sem,precipitation,mm day-1,10
03402_Emden,0.7398858070373535,RRm,sem,precipitation,mm day-1,1
03402_Emden,0.5634102821350098,RRm,sem,precipitation,mm day-1,4
03402_Emden,0.6648664474487305,RRm,sem,precipitation,mm day-1,7
03402_Emden,1.5255794525146484,RRm,sem,precipitation,mm day-1,10
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.5589888095855713,RRm,sem,precipitation,mm day-1,1
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.5259716510772705,RRm,sem,precipitation,mm day-1,4
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.6138923168182373,RRm,sem,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.6176180839538574,RRm,sem,precipitation,mm day-1,10
03403_Oldenburg (Oldb),0.5362329483032227,RRm,sem,precipitation,mm day-1,1
03403_Oldenburg (Oldb),0.5236616134643555,RRm,sem,precipitation,mm day-1,4
03403_Oldenburg (Oldb),0.6417319774627686,RRm,sem,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.6028270721435547,RRm,sem,precipitation,mm day-1,10
03404_03459_05566_Region_um_Osnabrück,0.5602881908416748,RRm,sem,precipitation,mm day-1,1
03404_03459_05566_Region_um_Osnabrück,0.38579630851745605,RRm,sem,precipitation,mm day-1,4
03404_03459_05566_Region_um_Osnabrück,0.4540708065032959,RRm,sem,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.6301758289337158,RRm,sem,precipitation,mm day-1,10
03404_Osnabrück,0.5847325325012207,RRm,sem,precipitation,mm day-1,1
03404_Osnabrück,0.46134305000305176,RRm,sem,precipitation,mm day-1,4
03404_Osnabrück,0.4873185157775879,RRm,sem,precipitation,mm day-1,7
03404_Osnabrück,0.6645464897155762,RRm,sem,precipitation,mm day-1,10
03405_03455_Region_um_Wilhelmshaven,0.611253023147583,RRm,sem,precipitation,mm day-1,1
03405_03455_Region_um_Wilhelmshaven,0.6329574584960938,RRm,sem,precipitation,mm day-1,4
03405_03455_Region_um_Wilhelmshaven,0.6115396022796631,RRm,sem,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.747061014175415,RRm,sem,precipitation,mm day-1,10
03405_Wilhelmshaven,0.748896598815918,RRm,sem,precipitation,mm day-1,1
03405_Wilhelmshaven,0.6367614269256592,RRm,sem,precipitation,mm day-1,4
03405_Wilhelmshaven,0.5865480899810791,RRm,sem,precipitation,mm day-1,7
03405_Wilhelmshaven,1.1818203926086426,RRm,sem,precipitation,mm day-1,10
03451_Ammerland,0.5477821826934814,RRm,sem,precipitation,mm day-1,1
03451_Ammerland,0.5580294132232666,RRm,sem,precipitation,mm day-1,4
03451_Ammerland,0.6280860900878906,RRm,sem,precipitation,mm day-1,7
03451_Ammerland,0.5742325782775879,RRm,sem,precipitation,mm day-1,10
03452_Aurich,0.6898715496063232,RRm,sem,precipitation,mm day-1,1
03452_Aurich,0.5990793704986572,RRm,sem,precipitation,mm day-1,4
03452_Aurich,0.6770999431610107,RRm,sem,precipitation,mm day-1,7
03452_Aurich,1.4094829559326172,RRm,sem,precipitation,mm day-1,10
03453_Cloppenburg,0.5294034481048584,RRm,sem,precipitation,mm day-1,1
03453_Cloppenburg,0.45304250717163086,RRm,sem,precipitation,mm day-1,4
03453_Cloppenburg,0.5916566848754883,RRm,sem,precipitation,mm day-1,7
03453_Cloppenburg,0.6808550357818604,RRm,sem,precipitation,mm day-1,10
03454_Emsland,0.5449168682098389,RRm,sem,precipitation,mm day-1,1
03454_Emsland,0.41464996337890625,RRm,sem,precipitation,mm day-1,4
03454_Emsland,0.47114038467407227,RRm,sem,precipitation,mm day-1,7
03454_Emsland,0.6769721508026123,RRm,sem,precipitation,mm day-1,10
03455_Friesland,0.5870046615600586,RRm,sem,precipitation,mm day-1,1
03455_Friesland,0.6322879791259766,RRm,sem,precipitation,mm day-1,4
03455_Friesland,0.6159417629241943,RRm,sem,precipitation,mm day-1,7
03455_Friesland,0.6704721450805664,RRm,sem,precipitation,mm day-1,10
03456_Grafschaft Bentheim,0.5669040679931641,RRm,sem,precipitation,mm day-1,1
03456_Grafschaft Bentheim,0.41077136993408203,RRm,sem,precipitation,mm day-1,4
03456_Grafschaft Bentheim,0.5196456909179688,RRm,sem,precipitation,mm day-1,7
03456_Grafschaft Bentheim,0.7119235992431641,RRm,sem,precipitation,mm day-1,10
03457_Leer,0.5645067691802979,RRm,sem,precipitation,mm day-1,1
03457_Leer,0.5532422065734863,RRm,sem,precipitation,mm day-1,4
03457_Leer,0.5327074527740479,RRm,sem,precipitation,mm day-1,7
03457_Leer,0.6768593788146973,RRm,sem,precipitation,mm day-1,10
03458_Oldenburg,0.5421018600463867,RRm,sem,precipitation,mm day-1,1
03458_Oldenburg,0.46901750564575195,RRm,sem,precipitation,mm day-1,4
03458_Oldenburg,0.6529519557952881,RRm,sem,precipitation,mm day-1,7
03458_Oldenburg,0.6525750160217285,RRm,sem,precipitation,mm day-1,10
03459_Osnabrück,0.5685784816741943,RRm,sem,precipitation,mm day-1,1
03459_Osnabrück,0.4091801643371582,RRm,sem,precipitation,mm day-1,4
03459_Osnabrück,0.4492790699005127,RRm,sem,precipitation,mm day-1,7
03459_Osnabrück,0.641636848449707,RRm,sem,precipitation,mm day-1,10
03460_Vechta,0.5419144630432129,RRm,sem,precipitation,mm day-1,1
03460_Vechta,0.38876795768737793,RRm,sem,precipitation,mm day-1,4
03460_Vechta,0.5489368438720703,RRm,sem,precipitation,mm day-1,7
03460_Vechta,0.6685688495635986,RRm,sem,precipitation,mm day-1,10
03461_Wesermarsch,0.5929136276245117,RRm,sem,precipitation,mm day-1,1
03461_Wesermarsch,0.569793701171875,RRm,sem,precipitation,mm day-1,4
03461_Wesermarsch,0.6192531585693359,RRm,sem,precipitation,mm day-1,7
03461_Wesermarsch,0.7675704956054688,RRm,sem,precipitation,mm day-1,10
03462_Wittmund,0.6509103775024414,RRm,sem,precipitation,mm day-1,1
03462_Wittmund,0.670360803604126,RRm,sem,precipitation,mm day-1,4
03462_Wittmund,0.5872976779937744,RRm,sem,precipitation,mm day-1,7
03462_Wittmund,0.9334909915924072,RRm,sem,precipitation,mm day-1,10
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.592254638671875,RRm,sem,precipitation,mm day-1,1
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.45583152770996094,RRm,sem,precipitation,mm day-1,4
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.6640825271606445,RRm,sem,precipitation,mm day-1,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.7152681350708008,RRm,sem,precipitation,mm day-1,10
04011_Bremen,0.5552890300750732,RRm,sem,precipitation,mm day-1,1
04011_Bremen,0.45314764976501465,RRm,sem,precipitation,mm day-1,4
04011_Bremen,0.7489757537841797,RRm,sem,precipitation,mm day-1,7
04011_Bremen,0.6668014526367188,RRm,sem,precipitation,mm day-1,10
04012_03352_03461_Region_um_Bremerhaven,0.6485304832458496,RRm,sem,precipitation,mm day-1,1
04012_03352_03461_Region_um_Bremerhaven,0.5367214679718018,RRm,sem,precipitation,mm day-1,4
04012_03352_03461_Region_um_Bremerhaven,0.6935036182403564,RRm,sem,precipitation,mm day-1,7
04012_03352_03461_Region_um_Bremerhaven,1.0335278511047363,RRm,sem,precipitation,mm day-1,10
04012_Bremerhaven,0.7255923748016357,RRm,sem,precipitation,mm day-1,1
04012_Bremerhaven,0.5600173473358154,RRm,sem,precipitation,mm day-1,4
04012_Bremerhaven,0.6325702667236328,RRm,sem,precipitation,mm day-1,7
04012_Bremerhaven,1.733388900756836,RRm,sem,precipitation,mm day-1,10
05111_05162_05158_05112_Region_um_Düsseldorf,0.6983709335327148,RRm,sem,precipitation,mm day-1,1
05111_05162_05158_05112_Region_um_Düsseldorf,0.453143835067749,RRm,sem,precipitation,mm day-1,4
05111_05162_05158_05112_Region_um_Düsseldorf,0.7829856872558594,RRm,sem,precipitation,mm day-1,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.8633098602294922,RRm,sem,precipitation,mm day-1,10
05111_Düsseldorf,0.8217949867248535,RRm,sem,precipitation,mm day-1,1
05111_Düsseldorf,0.47176456451416016,RRm,sem,precipitation,mm day-1,4
05111_Düsseldorf,1.013023853302002,RRm,sem,precipitation,mm day-1,7
05111_Düsseldorf,0.9677157402038574,RRm,sem,precipitation,mm day-1,10
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.632237434387207,RRm,sem,precipitation,mm day-1,1
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.4237518310546875,RRm,sem,precipitation,mm day-1,4
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.6410262584686279,RRm,sem,precipitation,mm day-1,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.8970546722412109,RRm,sem,precipitation,mm day-1,10
05112_Duisburg,0.6413841247558594,RRm,sem,precipitation,mm day-1,1
05112_Duisburg,0.42113161087036133,RRm,sem,precipitation,mm day-1,4
05112_Duisburg,0.7976865768432617,RRm,sem,precipitation,mm day-1,7
05112_Duisburg,0.9454264640808105,RRm,sem,precipitation,mm day-1,10
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.6169493198394775,RRm,sem,precipitation,mm day-1,1
