realization,region,TG_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_TG,06533_Limburg-Weilburg,281.9925,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06534_Marburg-Biedenkopf,281.4875,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06535_Vogelsbergkreis,281.0414,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06611_06633_03159_Region_um_Kassel,281.37408,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06611_Kassel,281.8448,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06631_Fulda,280.8593,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06632_Hersfeld-Rotenburg,281.4612,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06633_Kassel,281.42474,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06634_Schwalm-Eder-Kreis,281.4915,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06635_Waldeck-Frankenberg,280.93195,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06636_Werra-Meißner-Kreis,281.26288,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07111_07137_07141_07143_Region_um_Koblenz,281.88898,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07111_Koblenz,283.03683,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07131_Ahrweiler,281.8638,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07132_Altenkirchen (Westerwald),281.80072,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07133_Bad Kreuznach,281.98456,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07134_Birkenfeld,281.03986,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07135_Cochem-Zell,282.00244,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07137_Mayen-Koblenz,282.2574,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07138_Neuwied,282.33417,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07140_Rhein-Hunsrück-Kreis,281.6027,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07141_Rhein-Lahn-Kreis,282.01553,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07143_Westerwaldkreis,281.35843,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07211_07235_Region_um_Trier,282.15002,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07211_Trier,282.6747,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07231_Bernkastel-Wittlich,281.95993,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07232_Eifelkreis Bitburg-Prüm,281.27057,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07233_Vulkaneifel,280.9106,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07235_Trier-Saarburg,282.09076,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),283.78714,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07311_Frankenthal (Pfalz),283.74246,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07312_07335_07332_Region_um_Kaiserslautern,282.48032,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07312_Kaiserslautern,282.46268,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07313_07337_Region_um_Landau_in_der_Pfalz,283.20062,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07313_Landau in der Pfalz,283.15002,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,283.7786,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07314_Ludwigshafen am Rhein,283.7581,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07315_07339_06414_06433_Region_um_Mainz,283.26236,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07315_Mainz,283.54544,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,283.0459,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07316_Neustadt an der Weinstraße,283.2247,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07317_07340_Region_um_Pirmasens,282.0172,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07317_Pirmasens,281.6942,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,283.28738,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07318_Speyer,283.91156,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,283.13956,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07319_Worms,283.6522,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07320_07340_10045_07317_Region_um_Zweibrücken,282.12714,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07320_Zweibrücken,282.1229,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07331_Alzey-Worms,283.1226,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07332_Bad Dürkheim,282.82962,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07333_Donnersbergkreis,282.41006,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07334_Germersheim,283.82614,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07335_Kaiserslautern,282.14813,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07336_Kusel,281.82297,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,07337_Südliche Weinstraße,283.2079,TG,year,air_temperature,K,7
