region,DD_sem_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
08327_Tuttlingen,-0.19250897,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08335_Konstanz,-0.26824635,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08336_Lörrach,0.16572808,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08337_Waldshut,-0.048657835,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08415_Reutlingen,-0.13682696,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08416_Tübingen,-0.32260895,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08417_Zollernalbkreis,-0.15802678,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08421_Ulm,-0.42896914,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08425_Alb-Donau-Kreis,-0.32016292,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08426_Biberach,-0.2990274,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08435_Bodenseekreis,-0.07766215,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08436_Ravensburg,-0.005154894,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08437_Sigmaringen,-0.21267378,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09161_Ingolstadt,-0.33194926,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09162_München,-0.22784886,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09163_Rosenheim,-0.21459787,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09171_Altötting,-0.15677442,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09172_Berchtesgadener Land,0.20746545,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09173_Bad Tölz-Wolfratshausen,0.08901121,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09174_Dachau,-0.2222084,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09175_Ebersberg,-0.14511904,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09176_Eichstätt,-0.23006667,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09177_Erding,-0.20008187,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09178_Freising,-0.23976772,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09179_Fürstenfeldbruck,-0.2179131,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09180_Garmisch-Partenkirchen,0.0365359,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09181_Landsberg am Lech,-0.2101759,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09182_Miesbach,0.101167046,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09183_Mühldorf a. Inn,-0.13911143,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09184_München,-0.099761024,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09185_Neuburg-Schrobenhausen,-0.3885866,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09186_Pfaffenhofen a.d. Ilm,-0.28361604,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09187_Rosenheim,-0.029831335,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09188_Starnberg,-0.2163709,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09189_Traunstein,0.06913041,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09190_Weilheim-Schongau,-0.11111303,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09261_Landshut,-0.25240406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09262_Passau,0.24258576,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09263_Straubing,-0.16539209,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09271_Deggendorf,0.1102572,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09272_Freyung-Grafenau,0.37029555,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09273_Kelheim,-0.24753718,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09274_Landshut,-0.23614475,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09275_Passau,0.14954537,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09276_Regen,0.37551633,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09277_Rottal-Inn,-0.12841496,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09278_Straubing-Bogen,-0.10145408,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09279_Dingolfing-Landau,-0.29352725,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09361_Amberg,0.018802509,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09362_Regensburg,-0.37294757,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09363_Weiden i.d. OPf.,0.33580393,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09371_Amberg-Sulzbach,0.102160536,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09372_Cham,0.23897345,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09373_Neumarkt i.d. OPf.,0.056898016,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09374_Neustadt a.d. Waldnaab,0.34309655,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09375_Regensburg,-0.23232538,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09376_Schwandorf,0.094405256,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09377_Tirschenreuth,0.45744285,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09461_Bamberg,0.04815085,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09462_Bayreuth,0.31926164,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09463_Coburg,0.3717251,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09464_Hof,0.22942302,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09471_Bamberg,0.14677215,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09472_Bayreuth,0.44906312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09473_Coburg,0.38266012,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09474_Forchheim,0.34005713,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09475_Hof,0.52761936,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09476_Kronach,0.7309206,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09477_Kulmbach,0.5214682,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09478_Lichtenfels,0.33588317,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09479_Wunsiedel i. Fichtelgebirge,0.37423348,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09561_Ansbach,-0.117431305,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09562_Erlangen,-0.039993756,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09563_Fürth,-0.10514691,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09564_Nürnberg,-0.01978496,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09565_Schwabach,-0.12859511,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09571_Ansbach,-0.09846764,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09572_Erlangen-Höchstadt,-0.06480127,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09573_Fürth,-0.1907014,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09574_Nürnberger Land,0.2966082,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09575_Neustadt a.d. Aisch-Bad Windsheim,-0.12014898,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09576_Roth,-0.16862112,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09577_Weißenburg-Gunzenhausen,-0.18763378,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09661_Aschaffenburg,0.16705137,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09662_Schweinfurt,0.03441941,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09663_Würzburg,-0.25152132,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09671_Aschaffenburg,0.33622545,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09672_Bad Kissingen,0.23604275,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09673_Rhön-Grabfeld,0.11718405,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09674_Haßberge,0.09237898,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09675_Kitzingen,-0.0789457,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09676_Miltenberg,0.14972031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
