region,DD_sem_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08436_Ravensburg,3.2842979431152344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08437_Sigmaringen,3.347431182861328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09161_Ingolstadt,2.285053253173828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09162_München,4.250644683837891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09163_Rosenheim,5.028602600097656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09171_Altötting,3.8680343627929688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09172_Berchtesgadener Land,5.797271728515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09173_Bad Tölz-Wolfratshausen,4.888313293457031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09174_Dachau,3.1108741760253906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09175_Ebersberg,4.66033935546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09176_Eichstätt,3.2157554626464844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09177_Erding,4.207008361816406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09178_Freising,3.252552032470703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09179_Fürstenfeldbruck,3.93548583984375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09180_Garmisch-Partenkirchen,4.967327117919922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09181_Landsberg am Lech,4.0435638427734375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09182_Miesbach,5.4112701416015625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09183_Mühldorf a. Inn,4.014808654785156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09184_München,4.619747161865234,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09185_Neuburg-Schrobenhausen,2.3293533325195312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09186_Pfaffenhofen a.d. Ilm,2.43768310546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09187_Rosenheim,4.979763031005859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09188_Starnberg,4.5147705078125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09189_Traunstein,5.140541076660156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09190_Weilheim-Schongau,4.133430480957031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09261_Landshut,3.635089874267578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09262_Passau,5.556613922119141,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09263_Straubing,3.3575820922851562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09271_Deggendorf,4.478050231933594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09272_Freyung-Grafenau,5.305950164794922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09273_Kelheim,2.990283966064453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09274_Landshut,3.6413841247558594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09275_Passau,5.042957305908203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09276_Regen,5.118740081787109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09277_Rottal-Inn,4.112834930419922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09278_Straubing-Bogen,3.411571502685547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09279_Dingolfing-Landau,3.019573211669922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09361_Amberg,4.0515594482421875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09362_Regensburg,2.8827972412109375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09363_Weiden i.d. OPf.,3.9841232299804688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09371_Amberg-Sulzbach,4.126533508300781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09372_Cham,4.3574066162109375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09373_Neumarkt i.d. OPf.,3.8462867736816406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09374_Neustadt a.d. Waldnaab,4.204746246337891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09375_Regensburg,2.855457305908203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09376_Schwandorf,3.623371124267578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09377_Tirschenreuth,4.6904449462890625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09461_Bamberg,3.5801734924316406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
