region,DD_sem_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09177_Erding,4.663913726806641,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09178_Freising,4.805751800537109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09179_Fürstenfeldbruck,4.704372406005859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09180_Garmisch-Partenkirchen,5.053813934326172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09181_Landsberg am Lech,4.708202362060547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09182_Miesbach,5.7480316162109375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09183_Mühldorf a. Inn,4.274929046630859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09184_München,4.758857727050781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09185_Neuburg-Schrobenhausen,4.946769714355469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09186_Pfaffenhofen a.d. Ilm,5.013523101806641,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09187_Rosenheim,5.271022796630859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09188_Starnberg,5.131805419921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09189_Traunstein,5.024486541748047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09190_Weilheim-Schongau,5.305084228515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09261_Landshut,5.140789031982422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09262_Passau,6.871158599853516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09263_Straubing,5.529941558837891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09271_Deggendorf,6.548450469970703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09272_Freyung-Grafenau,7.266765594482422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09273_Kelheim,5.4466400146484375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09274_Landshut,4.671836853027344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09275_Passau,6.095043182373047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09276_Regen,7.133625030517578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09277_Rottal-Inn,5.240318298339844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09278_Straubing-Bogen,5.7772674560546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09279_Dingolfing-Landau,4.8311309814453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09361_Amberg,6.145282745361328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09362_Regensburg,5.220737457275391,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09363_Weiden i.d. OPf.,7.176868438720703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09371_Amberg-Sulzbach,6.28326416015625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09372_Cham,6.108818054199219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09373_Neumarkt i.d. OPf.,5.829776763916016,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09374_Neustadt a.d. Waldnaab,6.303226470947266,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09375_Regensburg,5.166511535644531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09376_Schwandorf,5.9134063720703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09377_Tirschenreuth,6.259716033935547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09461_Bamberg,5.9333343505859375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09462_Bayreuth,6.580780029296875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09463_Coburg,6.844570159912109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09464_Hof,6.268604278564453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09471_Bamberg,6.0487823486328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09472_Bayreuth,6.931373596191406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09473_Coburg,6.794258117675781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09474_Forchheim,7.235942840576172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09475_Hof,6.429752349853516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09476_Kronach,7.1896209716796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09477_Kulmbach,6.875770568847656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09478_Lichtenfels,6.6657562255859375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09479_Wunsiedel i. Fichtelgebirge,6.459388732910156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09561_Ansbach,5.654541015625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09562_Erlangen,5.558341979980469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09563_Fürth,5.217128753662109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09564_Nürnberg,5.685977935791016,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09565_Schwabach,5.42596435546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09571_Ansbach,5.767692565917969,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09572_Erlangen-Höchstadt,5.509960174560547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09573_Fürth,5.172840118408203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09574_Nürnberger Land,6.8798675537109375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
